candidate_id,projector_preserved_from_backbone,phase_moved_toward_target,mechanism_classification
LP_H500_D4_B120_A_CM-1,False,True,PROJECTOR_MANIFOLD_LOST
LP_H500_D4_B120_A_CM-2,False,True,PROJECTOR_MANIFOLD_LOST
LP_H500_D4_B120_A_CM-3,False,True,PROJECTOR_MANIFOLD_LOST
LP_H500_D4_B120_A_CM-4,False,True,PROJECTOR_MANIFOLD_LOST
LP_H500_D4_B120_A_CM-5,False,True,PROJECTOR_MANIFOLD_LOST
LP_H500_D4_B120_B_CM-1,False,True,PROJECTOR_MANIFOLD_LOST
LP_H500_D4_B120_B_CM-2,False,True,PROJECTOR_MANIFOLD_LOST
LP_H500_D4_B120_B_CM-3,False,True,PROJECTOR_MANIFOLD_LOST
