axis,polarization,wavelength_nm,baseline_eta_target,jacobian_d_eta_target_per_nm,jacobian_d_total_transmission_per_nm
A,x,450.0,0.006362962286339091,0.00011600993538757158,-0.0019846244045845923
A,x,450.5,0.005446144828036948,-0.00017138673140517692,-0.0024899577669307144
A,x,451.0,0.002233842599958575,-3.755169993388465e-05,-0.0027381036937546566
A,x,451.5,0.004316631773891798,-0.00063626955155442,0.006278539710991543
A,x,452.0,0.01794448059851481,-0.0015078241243971034,0.011924796233484108
A,x,452.5,0.041798395789705414,-0.0016491253732721497,0.008975718401531926
A,x,453.0,0.05554299591227202,0.00024939930780158454,-0.006027219399366561
A,x,453.5,0.05362577004875178,0.0016453092352203286,-0.012471433859290823
A,x,454.0,0.04710161094733863,0.0020805128256899067,-0.011092640949051297
A,y,450.0,0.01035527012766346,-0.0005783662551510269,0.0004647791294043746
A,y,450.5,0.011436981451624488,-0.0005730104568477054,-0.0006857739640749247
A,y,451.0,0.013910609670632314,-0.0006444157516076699,-0.002030552026386589
A,y,451.5,0.01577498330801858,-0.0007150077020786551,-0.0023810721573815086
A,y,452.0,0.017105157486444873,-0.0006961366067225112,-0.0025360051498152236
A,y,452.5,0.0200782092242493,-0.000659263790412284,-0.003028561310628286
A,y,453.0,0.02391611922377932,-0.0007060723708688216,-0.0031173873051757936
A,y,453.5,0.021420634898387834,-0.0006287484159986693,-0.0016068368938750664
A,y,454.0,0.027826250819462297,-0.0009901364466250694,-0.0018322965703550433
B,x,450.0,0.006362962286339091,0.0003960295872801786,0.001399399707533805
B,x,450.5,0.005446144828036948,0.0006881260617607612,-0.0002194514198970432
B,x,451.0,0.002233842599958575,0.00029176129623407663,-0.0017829995231503915
B,x,451.5,0.004316631773891798,-0.00015640023382818772,0.00435341855318383
B,x,452.0,0.01794448059851481,-0.0008884674119005122,0.0059318865479312255
B,x,452.5,0.041798395789705414,-0.0017714109513529749,-0.0015841006737002047
B,x,453.0,0.05554299591227202,-0.0018152848849110944,-0.012521203105145547
B,x,453.5,0.05362577004875178,-0.0016282843600054792,-0.011345258134307229
B,x,454.0,0.04710161094733863,-0.001725672060472654,-0.007555253103963794
B,y,450.0,0.01035527012766346,-0.00018095581000703064,-0.0030151343206427303
B,y,450.5,0.011436981451624488,-0.0001961602442543803,-0.003243517710524904
B,y,451.0,0.013910609670632314,-0.00022219647403788623,-0.0033965215858129706
B,y,451.5,0.01577498330801858,-0.00024514332528271,-0.0037264566574288713
B,y,452.0,0.017105157486444873,-0.0002678040479611723,-0.0036882063041887778
B,y,452.5,0.0200782092242493,-0.0002889073570284538,-0.0031347521517540965
B,y,453.0,0.02391611922377932,-0.0002959495023946773,-0.0025350178753322447
B,y,453.5,0.021420634898387834,-0.0001870810680930212,-0.0012654547787742526
B,y,454.0,0.027826250819462297,-0.0004789614768057498,1.4127039971920802e-05
