candidate_uid,base_candidate_uid,a_D_nm,b_D_nm,wavelength_nm,target_order_n,target_order_m,basis,txx_re,txx_im,txy_re,txy_im,tyx_re,tyx_im,tyy_re,tyy_im,eta_x_plus1,eta_y_plus1,theta_deg,alpha_star_from_alpha_re,alpha_star_from_alpha_im,beta_star_from_alpha_re,beta_star_from_alpha_im,alpha_star_from_beta_re,alpha_star_from_beta_im,beta_star_from_beta_re,beta_star_from_beta_im,target_projector_error,target_phase_deg,target_x_input_cross_power,target_y_input_leakage_power,target_alpha_star_from_alpha_power
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,450.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.07982774932891397,0.023058976794495246,0.006216227372265844,0.0031680682071158596,-0.0014397629070023181,0.0005417578318130074,0.044711631985087076,-0.07813729436516162,0.007121211848178797,0.008154758406341401,10.000000005514977,0.0055555516876482,-0.04897811906410887,0.02323004400528894,0.06708977661848425,0.030886034284557103,0.06971608699378709,0.03376386680389515,0.025201693652826186,0.7358998211833653,-83.52864159811556,0.005040673071205776,0.005814279899552127,0.002429720301612156
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,450.5,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",-0.06920540027040505,-0.02372320963108372,-0.004583682924290375,-0.0074772803566524396,-0.0004212861909877926,0.0018033019680489767,-0.07661209825243663,0.06095096650492567,0.005522394669686473,0.009663750801783628,10.011225523725704,-0.0326533609578553,0.048207812807278226,-0.007977884525950153,-0.06666402928508114,-0.012140281259252728,-0.07594461160978255,-0.030955082189602467,-0.015677979924765578,0.8022413205030448,124.11158526288185,0.0045077394420315504,0.005914970461614482,0.0033902351975055676
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,451.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",-0.047899036760172806,0.006845171582117235,-0.0009409949972934966,-0.01117499385733202,9.92017336108684e-05,0.006059296223468212,-0.0961014115486241,0.04436382927329675,0.002451022915997789,0.011333324765293185,10.022451430195186,-0.0595556009107488,0.0454396787752864,-0.005323975502839808,-0.05039544172045541,-0.006364172233744168,-0.06762973180125564,-0.02606661255364654,0.01529263701343149,0.910605476672879,142.6571253043851,0.002568045261354656,0.004614283311730529,0.005611634007041596
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,451.5,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.04615698088182416,0.004675097481041942,0.001675586333884955,0.012512595574631642,-0.005618774205578818,-0.004033025701102085,0.09973769159205229,-0.05298883269189865,0.002267538522342899,0.012919785363782731,10.0336777253947,0.05962323543156356,-0.05287612431279346,0.0010249239166585725,0.05560483555962008,0.008319284456122346,0.07215045683535382,0.01894769666399929,-0.006105606898521708,0.9260686040037228,-41.567816170847976,0.0030929482066473276,0.005274898915412133,0.006350814725669645
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,452.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.08396019230568326,-0.0678747289498334,0.008474652838630897,0.01016313167611701,-0.004134640562828651,0.0010657367410594285,0.06990005218230963,-0.10033339305772473,0.012040261813151511,0.015133410416599064,10.044904409795663,0.04258492592539963,-0.07248639515009803,0.05559593712226232,0.05515656257138987,0.06820523052372186,0.06425395750644745,0.0555957984617228,-0.04159464464831477,0.7517335275504776,-59.56625269003564,0.006133154619194193,0.008780524526034394,0.007067753397927928
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,452.5,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.09610553590330251,0.1529342380290145,-0.013523321233929271,0.0013309084016748902,-0.0002339631000640847,-0.0011015567122753735,0.04920673782817088,0.123854337276679,0.033652436070644914,0.01795165846102069,10.056131483869633,0.0324457152542733,0.10266117430256126,-0.07605083960759579,0.05737205178133919,-0.08934019774146099,0.059804516895289456,0.055880304359419326,0.12338594545562045,0.5957185640958128,72.461036201838,0.009075282530620926,0.011558251173562312,0.011592041147542247
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,453.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.11331804697863078,-0.19974403816271002,0.00031856360690546534,0.012186570611408806,0.000768570060333793,-0.0008062348162311395,0.12971882832261827,-0.05987051552234427,0.0544022368021976,0.020564751385687415,10.06735894808831,0.1291541679693023,-0.05073038257826582,0.08764063017661793,0.04161664397924545,0.0871906237231896,0.0546094494068854,0.11832578385237198,-0.14158878633276842,0.5296310930327504,-21.444371677565307,0.00941282511384998,0.01058439682976201,0.019254370820379965
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,453.5,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.19622173144685248,-0.1356947609705102,-0.0085482327414939,0.009048711150331318,0.0046904583745854935,-0.0007507209371582367,0.14127378761352333,0.03822432200305251,0.058736695114719614,0.021579228552168185,10.078586802923537,0.14681385072967867,0.03879632426969884,0.0557817792876585,0.068868700733404,0.04254308817157911,0.07866813282089356,0.18294005601135466,-0.0783154735286989,0.5244753479860628,14.802346233161506,0.007854504841204207,0.007998589472700506,0.02305946154291599
H1F4A_K6_L1_C_POS_PLUS10_A_PLUS,K6_L1_C_POS_PLUS10,4.0,0.0,454.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",-0.14439759834472593,0.1768521996943126,0.00958723493839741,-0.01090642417176105,-0.004002170121104028,0.0038591189046688827,-0.15103420693151956,-0.037309269666545034,0.05380883663586779,0.02442085525720756,10.089815048847298,-0.16407412417223444,-0.02362715296823023,-0.055867692632012834,-0.04176595124930601,-0.042278287572511376,-0.05653149432573594,-0.15543209603075725,0.12282467694225471,0.5650144054443084,-171.80557276357786,0.004865593763784468,0.004983263450764685,0.027478560580269953
H1F4A_K6_L1_C_POS_PLUS10_A_MINUS,K6_L1_C_POS_PLUS10,-4.0,0.0,450.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.07728829968122691,-0.0037986939429510546,0.002901625069437009,-0.0026234762096311484,-0.00417797190269491,0.0012626157374527917,0.08736868020732609,-0.07164233630740233,0.006193132365078224,0.012781688447549617,10.000000005514977,0.044929117279233086,-0.05237865341215868,0.020931625125585884,0.07745920520714578,0.02801122209771781,0.07357311326006183,0.036898698351344905,-0.005368227503986297,0.8254051079041758,-49.37782137136977,0.006438061401720777,0.00619763155818556,0.004762148912762124
H1F4A_K6_L1_C_POS_PLUS10_A_MINUS,K6_L1_C_POS_PLUS10,-4.0,0.0,450.5,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",-0.08172388578572536,0.0004919896802479378,-0.00610626806761828,0.0006662969151615912,0.0023829509861221293,0.0007994596543414148,-0.1131297237672409,0.037557872950408154,0.006893488520927888,0.01424783445656527,10.011225523725704,-0.06904549349124435,0.03482149221099719,-0.00042575965205364497,-0.07845748291711502,-0.008914978705794043,-0.07859064565629485,-0.0494709952425023,0.009648401209862198,0.8251773435499801,153.23696674240335,0.006155757896970711,0.006255966429998059,0.005979816491250005
H1F4A_K6_L1_C_POS_PLUS10_A_MINUS,K6_L1_C_POS_PLUS10,-4.0,0.0,451.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",-0.0506846372050826,0.008868288415985304,-0.006874631662812139,0.001940397452734962,0.001877051802115848,0.004200010503870934,-0.12735002858727323,0.014764876039508169,0.0027514365154688663,0.016488650778154545,10.022451430195186,-0.08527390859881954,0.028685124728952793,0.016435999119497564,-0.06482420210349193,0.00768431565456958,-0.06708381515462793,-0.03459711307917152,0.02885753173986698,0.9283248781574988,161.40767511620172,0.004472319245410494,0.004559286962779351,0.008094475868435409
H1F4A_K6_L1_C_POS_PLUS10_A_MINUS,K6_L1_C_POS_PLUS10,-4.0,0.0,451.5,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.08310795816694412,0.01385817086879658,0.0036278545549196786,0.0011022900620930914,-0.005579390367152514,-0.002312532922608182,0.13431557009391873,-0.02417329480482344,0.007357694934778259,0.018639846980411972,10.0336777253947,0.08585499540209231,-0.028979234242021222,-0.013270694447749408,0.08497384125256369,-0.004063449525677207,0.08838866423726495,0.0482658015536012,-0.002942697899293925,0.8512210368724276,-18.651439892932732,0.0073966650283414205,0.007829067587695686,0.008210876252747227
H1F4A_K6_L1_C_POS_PLUS10_A_MINUS,K6_L1_C_POS_PLUS10,-4.0,0.0,452.0,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.10908666366934332,-0.10702354558326266,0.0049532684930505624,-0.0003256555143626479,-0.0032798487393914566,0.0023203991708628485,0.114469451434813,-0.08702777650399814,0.024102854808328338,0.020702503270379154,10.044904409795663,0.08584811030440968,-0.06400723118046664,0.06272689237705528,0.07486442164160621,0.0709600096094973,0.07221836695638072,0.08322519102934195,-0.07673587832521472,0.6856336445896767,-36.70773131229681,0.009539344655014872,0.010250815489626414,0.011466823686227793
H1F4A_K6_L1_C_POS_PLUS10_A_MINUS,K6_L1_C_POS_PLUS10,-4.0,0.0,452.5,1,0,"Cartesian transverse Ex,Ey -> authoritative alpha/beta transform",0.13937096309635158,0.16120855269068468,-0.0011789173228809774,0.00535767759343093,-0.0021443266600299467,-0.00047280640342941855,0.012609886182899759,0.1517752238358572,0.04684543905682211,0.02322576878431896,10.056131483869633,0.008954365791639315,0.138115307442695,-0.07861809983613019,0.05195521698570092,-0.0776526904989812,0.057785700982561285,0.09623809451179693,0.1482398037887791,0.581736046292446,86.29056068065867,0.008880150193875,0.009369127579776551,0.01915601881672064
