axis,polarization,wavelength_nm,delta_D_nm,d_eta_target_per_nm,antisymmetry_residual_eta_target,d_total_transmission_per_nm,antisymmetry_residual_total_transmission,d_Ex_real_per_nm,antisymmetry_residual_Ex_real,d_Ex_imag_per_nm,antisymmetry_residual_Ex_imag,d_Ey_real_per_nm,antisymmetry_residual_Ey_real,d_Ey_imag_per_nm,antisymmetry_residual_Ey_imag,d_Ez_real_per_nm,antisymmetry_residual_Ez_real,d_Ez_imag_per_nm,antisymmetry_residual_Ez_imag
A,x,450.0,8.0,0.00011600993538757158,0.013314344213257022,-0.0019846244045845923,1.8596670257774641,0.000317431205960882,0.15711604901014087,0.0033572088421807873,0.019260282851544193,0.000342276124461574,-0.005617734809697229,-9.010723820497304e-05,0.0018043735692657992,-5.597168616123388e-05,-0.027703798558394676,-0.0005919664990826933,-0.003396107524715339
A,x,450.5,8.0,-0.00017138673140517692,0.01241588319061436,-0.0024899577669307144,1.8105785674903547,0.0015648106894150388,-0.1509292860561304,-0.003026899913916457,-0.023231219950835783,-0.00035052964713874025,0.0019616647951343365,0.00012548028921344524,0.0026027616223903913,-0.00027623446854079187,0.026643396164772945,0.0005343356194476452,0.004100984061575068
A,x,451.0,8.0,-3.755169993388465e-05,0.005202459431466655,-0.0027381036937546566,1.819190451546026,0.00034820005561372446,-0.09858367396525541,-0.00025288960423350856,0.015713459998102537,-0.00022223125856312244,0.0019762535357267163,0.00023241071494965976,0.010259306727339147,-6.153775905604866e-05,0.017422795538160153,4.4693443559828326e-05,-0.0027770561770753916
A,x,451.5,8.0,-0.00063626955155442,0.009625233457121157,0.006278539710991543,1.6704036533372986,-0.004618872160639995,0.1292649390487683,-0.0011478841734693297,0.01853326834983852,-4.9229798032879605e-06,-0.011198164572731331,-0.0002150615973117379,-0.006345558623710267,0.0008172313966892631,-0.022871247137340102,0.00020309871191409175,-0.0032791487298182353
A,x,452.0,8.0,-0.0015078241243971034,0.03614311662147985,0.011924796233484108,1.2512922814610605,-0.0031408089204575072,0.19304685597502658,0.004893602079178657,-0.17489827453309606,-0.0001068489779296493,-0.007414489302220108,-0.0001568328037254275,0.003386135911922277,0.0005563477831994708,-0.03419539140881229,-0.0008668291314629839,0.030980638996569936
A,x,452.5,8.0,-0.0016491253732721497,0.08049787512746703,0.008975718401531926,0.8064951270560711,-0.005408178399131134,0.2354764989996541,-0.001034289332708771,0.3141427907196992,0.00023879544499573276,-0.0023782897600940316,-7.859378860574437e-05,-0.0015743631157047922,0.0009590717236955732,-0.04175876517344178,0.00018341807165242734,-0.05570923248953542
A,x,453.0,8.0,0.00024939930780158454,0.10680927914198252,-0.006027219399366561,0.7596630735059262,0.004758027738218356,0.1885718720515147,0.001587522906447529,-0.4121882595770003,-0.0002719530813039422,0.0037127647710991233,-0.00025870416807521624,0.00045716371213945105,-0.0008447374847347206,-0.033478940782333794,-0.0002818478959631691,0.07317966451423777
A,x,453.5,8.0,0.0016453092352203286,0.1043109163476766,-0.012471433859290823,1.0117131045904801,0.005389398970465777,0.3493282711299788,0.0010237184044693919,-0.27957926917677556,-0.0001510126460385605,0.01058901791747947,-0.00017791862009469066,-7.80929135589482e-05,-0.0009579202172300414,-0.06209015424525221,-0.0001819573131931181,0.04969285735394104
A,x,454.0,8.0,0.0020805128256899067,0.09097357066621632,-0.011092640949051297,1.2612387766483835,-0.00518313316565493,-0.24733013136421242,0.002182099151172741,0.33624760617924326,9.437766862853837e-05,-0.008759361591236362,0.00043649802556499034,0.004226253604817843,0.0009223060735548405,0.04401084730793436,-0.00038829087270251085,-0.05983315486709198
A,y,450.0,8.0,-0.0005783662551510269,0.020936446853891018,0.0004647791294043746,0.6232946805493188,0.00041432528785360445,0.009117852441702854,0.000723943052093376,0.0005445919974847112,-0.005332131027779877,0.13208031219241317,-0.0008118697572199116,-0.14977963067256395,-7.305672707951233e-05,-0.0016077233924956906,-0.0001276506926523453,-9.602626268852038e-05
A,y,450.5,8.0,-0.0005730104568477054,0.023911585258348897,-0.0006857739640749247,0.5746817647004707,0.00019032314291598813,-0.010689950991908654,-0.0010179471589767538,-0.006810983441490849,0.004564703189350533,-0.18974182201967754,0.00292413669431469,0.09850883945533383,-3.359755438152358e-05,0.001887086374698062,0.0001796971955551177,0.0012023361061673727
A,y,451.0,8.0,-0.0006444157516076699,0.02782197554344773,-0.002030552026386589,0.5153047289028762,0.0007417045831898303,-0.007815626660105636,-0.0016394239137583729,-0.009234596404597058,0.0039060771298311415,-0.22345144013589735,0.003699869154223572,0.05912870531280492,-0.0001310822247016997,0.0013812638525685852,0.000289737098455564,0.0016320398557212214
A,y,451.5,8.0,-0.0007150077020786551,0.031559632344194705,-0.0023810721573815086,0.44841871982432047,-0.00024403352762934045,0.005303440888804634,0.0014262881890673188,0.013614885636724734,-0.0043222348127333055,0.23405326168597101,-0.0036019422358844013,-0.07716212749672209,4.3177609963532804e-05,-0.0009383542678990743,-0.00025235759906188385,-0.002408924000858999
