static_structure_id,candidate_id,topology,seed_id,N_GaN,N_Air,geometry_hash,sequence_hash,sequence_GaN_to_Air,selection_reason
P1_EXPLICIT_FAB_G2_A4,EX_N3_L79_H45_C156,Explicit,explicit_fab,2,4,6d51714ae169577d60d7896597fbac4bcf890accf7e30597bdbe929f58338a72,dfb481b0d4d486f574038760cfb893d3de03474b071a8e20a4480545ebfe55ac,L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79 H45 L79,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_EXPLICIT_FAB_G3_A3,EX_N3_L79_H45_C156,Explicit,explicit_fab,3,3,d44569052e0f3a8a152560418bd816b72732300d993a080fe75186331599ebdf,b9e36efe180e91309a5b25d830192573c74d76fca7b48f8945cd36eab8a1cb58,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_EXPLICIT_FAB_G4_A2,EX_N3_L79_H45_C156,Explicit,explicit_fab,4,2,badf7bc630384f2b9373bc63cb6cfe1935880d3b6c20086c472e2fc8e6d333c0,caacb521a6db5d662b955d3dfab6d7b1820ff561d67ef3b2f33df5195ed38b05,L79 H45 L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_ZL1_NOMINAL_G2_A4,ZL1_N3_M3_L78_H46,ZL-1 nominal,zl1_nominal,2,4,4e8905d9cec0a4950184eaba57b8ca8950c141770e8c7e25fea53d41468f5eea,bf69c502889c43aa1ceb251fa6e24919dce071ea6ae08c2bfefbf938c485df22,H46 L78 H46 L312 H46 L78 H46 L78 H46 L78 H46 L78,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_ZL1_NOMINAL_G3_A3,ZL1_N3_M3_L78_H46,ZL-1 nominal,zl1_nominal,3,3,ad8cbef5a96144d8d7d0e2d9bdba185905a6250f90a83b945bfb99b967482af5,e111e88a5a13e61d7bcb89f48307f6e54fc850b296565ea03bba57c3fd1f2747,H46 L78 H46 L78 H46 L312 H46 L78 H46 L78 H46 L78,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_ZL1_NOMINAL_G4_A2,ZL1_N3_M3_L78_H46,ZL-1 nominal,zl1_nominal,4,2,44203e2cd5a64df02c972a92ec737fa0c78d7cb9c4cfadeb9bdf1ab71df3db03,376ccd3c6a40f8fe326a61ed294a53e55c8f070dc48eaa027c75f5750834d33a,H46 L78 H46 L78 H46 L78 H46 L312 H46 L78 H46 L78,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_ZL1_ALTERNATIVE_G2_A4,ZL1_N3_M3_L79_H44_C316,ZL-1 alternative,zl1_alternative,2,4,91030a75af5ca667306fda9f0ae613feaa38d4409073355156b001c38d2df607,5a2b1e7544a31faf837e526a0a0b01ecc46125811e43816389643659ef590ac5,H44 L79 H44 L316 H44 L79 H44 L79 H44 L79 H44 L79,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_ZL1_ALTERNATIVE_G3_A3,ZL1_N3_M3_L79_H44_C316,ZL-1 alternative,zl1_alternative,3,3,c38694d6f162c04322ae8a87def91622d4fd4f272e4ec286e85acc978f74d888,07a8ecbcb195f5620d693d95fb485c416395b380d1cb60b1e76aac0ef0127730,H44 L79 H44 L79 H44 L316 H44 L79 H44 L79 H44 L79,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
P1_ZL1_ALTERNATIVE_G4_A2,ZL1_N3_M3_L79_H44_C316,ZL-1 alternative,zl1_alternative,4,2,91fc7a179a01b58054762449669eb965f08fe71224de48342c610210be6464db,7039535d8a97cd7d2131eb7dab93070951666b3256fc6086a6e220e84ddb9f2d,H44 L79 H44 L79 H44 L79 H44 L316 H44 L79 H44 L79,"frozen P1 representative: G2/A4, G3/A3 control, or G4/A2"
