candidate_id,static_structure_id,reference_source,replay_status,checks
EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G3_A3,frozen integer-tolerance nominal summary,pass,"[{""metric"":""spectral_peak_nm"",""reference_value"":450.1599999999938,""replay_value"":450.20000000000687,""absolute_delta"":0.04000000001309445,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""spectral_FWHM_nm"",""reference_value"":7.53737877707249,""replay_value"":7.500000000001705,""absolute_delta"":-0.03737877707078496,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""T450"",""reference_value"":0.8278414914430887,""replay_value"":0.8278414914432128,""absolute_delta"":1.241229341530925e-13,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""angular_FWHM_450_deg"",""reference_value"":26.509348207112062,""replay_value"":26.509348207112062,""absolute_delta"":0.0,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""max_angle_450_abs_deg"",""reference_value"":3.0,""replay_value"":3.0,""absolute_delta"":0.0,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""}]"
ZL1_N3_M3_L78_H46,P1_ZL1_NOMINAL_G3_A3,frozen integer-tolerance nominal summary,pass,"[{""metric"":""spectral_peak_nm"",""reference_value"":450.2999999999938,""replay_value"":450.3000000000069,""absolute_delta"":1.3073986337985843e-11,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""spectral_FWHM_nm"",""reference_value"":3.3664630286809256,""replay_value"":3.3000000000007503,""absolute_delta"":-0.06646302868017528,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""T450"",""reference_value"":0.9604979466108747,""replay_value"":0.9604979466122574,""absolute_delta"":1.38267175486817e-12,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""angular_FWHM_450_deg"",""reference_value"":17.726413267750956,""replay_value"":17.726413267750956,""absolute_delta"":0.0,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""max_angle_450_abs_deg"",""reference_value"":3.0,""replay_value"":3.0,""absolute_delta"":0.0,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""}]"
ZL1_N3_M3_L79_H44_C316,P1_ZL1_ALTERNATIVE_G3_A3,frozen integer-tolerance nominal summary,pass,"[{""metric"":""spectral_peak_nm"",""reference_value"":449.7000000000022,""replay_value"":449.70000000000675,""absolute_delta"":4.547473508864641e-12,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""spectral_FWHM_nm"",""reference_value"":3.3288264345748075,""replay_value"":3.2000000000007276,""absolute_delta"":-0.12882643457407994,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""T450"",""reference_value"":0.960593300342243,""replay_value"":0.960593300340866,""absolute_delta"":-1.3770096174425817e-12,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""angular_FWHM_450_deg"",""reference_value"":14.92088273169665,""replay_value"":14.92088273169665,""absolute_delta"":0.0,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""},{""metric"":""max_angle_450_abs_deg"",""reference_value"":0.0,""replay_value"":0.0,""absolute_delta"":0.0,""allowed_tolerance_source"":""same formal evaluator/grid and frozen source precision"",""status"":""pass""}]"
