candidate_id,static_structure_id,peak_lambda_0deg_nm,Tpeak_0deg,peak_lambda_5deg_nm,Tpeak_5deg,peak_lambda_10deg_nm,Tpeak_10deg,peak_lambda_15deg_nm,Tpeak_15deg,peak_lambda_20deg_nm,Tpeak_20deg,delta_lambda_10deg_nm,delta_lambda_20deg_nm
EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,450.0000000000068,0.15316224558370503,449.4000000000067,0.15295624328105212,447.8000000000063,0.1524046901593098,445.0000000000057,0.15168773426027532,441.2000000000048,0.1510443834140137,-2.2000000000005002,-8.800000000002001
EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G3_A3,450.20000000000687,0.8291374354681493,449.60000000000673,0.8292530000615915,447.90000000000634,0.8291863066339837,445.20000000000573,0.8289493283077776,441.40000000000487,0.8281227070559802,-2.300000000000523,-8.800000000002001
EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G4_A2,450.10000000000684,0.6258558479977896,449.60000000000673,0.6253377147682779,447.90000000000634,0.6236688313930203,445.1000000000057,0.6208524436565577,441.40000000000487,0.6168290666997291,-2.2000000000005002,-8.700000000001978
ZL1_N3_M3_L78_H46,P1_ZL1_NOMINAL_G2_A4,450.20000000000687,0.28826349074518076,449.60000000000673,0.28800354725945493,447.7000000000063,0.28706599565261737,444.6000000000056,0.28560064278716846,440.3000000000046,0.2835067264776222,-2.5000000000005684,-9.900000000002251
ZL1_N3_M3_L78_H46,P1_ZL1_NOMINAL_G3_A3,450.3000000000069,0.9927797869341091,449.70000000000675,0.9925168738067225,447.8000000000063,0.9924023839052193,444.7000000000056,0.9906286196447752,440.40000000000464,0.9853570590665257,-2.5000000000005684,-9.900000000002251
ZL1_N3_M3_L78_H46,P1_ZL1_NOMINAL_G4_A2,450.20000000000687,0.38063588708716545,449.60000000000673,0.3802412588560565,447.7000000000063,0.37907793537506396,444.6000000000056,0.37718241844045647,440.3000000000046,0.37466380517867237,-2.5000000000005684,-9.900000000002251
ZL1_N3_M3_L79_H44_C316,P1_ZL1_ALTERNATIVE_G2_A4,449.70000000000675,0.28649101192819004,449.1000000000066,0.2860293305919874,447.2000000000062,0.28468006375105304,444.00000000000546,0.28265944137573124,439.7000000000045,0.2799284645743805,-2.5000000000005684,-10.000000000002274
ZL1_N3_M3_L79_H44_C316,P1_ZL1_ALTERNATIVE_G3_A3,449.70000000000675,0.992832126910459,449.1000000000066,0.9921224425238032,447.10000000000616,0.9919384435491044,444.00000000000546,0.992741306030734,439.7000000000045,0.99183544029065,-2.600000000000591,-10.000000000002274
ZL1_N3_M3_L79_H44_C316,P1_ZL1_ALTERNATIVE_G4_A2,449.70000000000675,0.37810788466771406,449.1000000000066,0.377511646965338,447.2000000000062,0.3757561149685371,444.00000000000546,0.37323693373060923,439.7000000000045,0.36990604018677187,-2.5000000000005684,-10.000000000002274
