topology,candidate_id,view,primary_metric,secondary_metric,status
Explicit,EX_N3_L79_H45_C156,angular450_vs_T450,26.509348207112062,0.8278414914432128,local_pareto
Explicit,EX_N3_L79_H45_C156,angular450_vs_spectralFWHM,42.04452790476123,19.500000000004434,local_pareto
Explicit,EX_N3_L79_H45_C156,angular450_vs_spectralFWHM,26.509348207112062,7.500000000001705,local_pareto
Explicit,EX_N3_L79_H45_C156,angular450_vs_spectralFWHM,28.29205972762923,8.700000000001978,local_pareto
Explicit,EX_N3_L79_H45_C156,angular450_vs_edge,26.509348207112062,0.5341455660831329,local_pareto
Explicit,EX_N3_L79_H45_C156,blueshift20_vs_T450,8.800000000002001,0.8278414914432128,local_pareto
ZL-1 nominal,ZL1_N3_M3_L78_H46,angular450_vs_T450,17.726413267750956,0.9604979466122574,local_pareto
ZL-1 nominal,ZL1_N3_M3_L78_H46,angular450_vs_spectralFWHM,23.312436602913188,6.400000000001455,local_pareto
ZL-1 nominal,ZL1_N3_M3_L78_H46,angular450_vs_spectralFWHM,17.726413267750956,3.3000000000007503,local_pareto
ZL-1 nominal,ZL1_N3_M3_L78_H46,angular450_vs_spectralFWHM,21.616028689585924,5.5000000000012506,local_pareto
ZL-1 nominal,ZL1_N3_M3_L78_H46,angular450_vs_edge,17.726413267750956,0.2849281422208938,local_pareto
ZL-1 nominal,ZL1_N3_M3_L78_H46,blueshift20_vs_T450,9.900000000002251,0.9604979466122574,local_pareto
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,angular450_vs_T450,14.92088273169665,0.960593300340866,local_pareto
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,angular450_vs_spectralFWHM,21.422919863418187,6.20000000000141,local_pareto
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,angular450_vs_spectralFWHM,14.92088273169665,3.2000000000007276,local_pareto
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,angular450_vs_spectralFWHM,19.7133031506699,5.400000000001228,local_pareto
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,angular450_vs_edge,14.92088273169665,0.20923240732891202,local_pareto
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,blueshift20_vs_T450,10.000000000002274,0.960593300340866,local_pareto
