topology,candidate_id,relative_to,delta_angular_FWHM_450_deg,delta_angular_FWHM_at_peak_deg,delta_max_angle_450_deg,delta_T0_over_Tmax_450,delta_peak_shift_10deg_nm,delta_peak_shift_20deg_nm,delta_T450_0deg,delta_spectral_FWHM
Explicit,EX_N3_L79_H45_C156,EX_N3_L79_H45_C156,15.53517969764917,16.228854212657023,-3.0,0.00154738675211874,0.0,0.0,-0.6746792458595078,12.000000000002728
Explicit,EX_N3_L79_H45_C156,EX_N3_L79_H45_C156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Explicit,EX_N3_L79_H45_C156,EX_N3_L79_H45_C156,1.782711520517168,2.148938787819251,-1.0,0.0007453563929424867,0.0,0.0,-0.20260948782739907,1.2000000000002728
ZL-1 nominal,ZL1_N3_M3_L78_H46,ZL1_N3_M3_L78_H46,5.586023335162231,6.300155487706114,0.0,0.02478775422009627,0.0,0.0,-0.6739137347568294,3.100000000000705
ZL-1 nominal,ZL1_N3_M3_L78_H46,ZL1_N3_M3_L78_H46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZL-1 nominal,ZL1_N3_M3_L78_H46,ZL1_N3_M3_L78_H46,3.889615421834968,4.559952184118526,0.0,0.024329412570552655,0.0,0.0,-0.5823013332599717,2.2000000000005002
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,ZL1_N3_M3_L79_H44_C316,6.502037131721536,6.261770580002356,0.0,0.0,0.0,0.0,-0.6762935509497301,3.000000000000682
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,ZL1_N3_M3_L79_H44_C316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZL-1 alternative,ZL1_N3_M3_L79_H44_C316,ZL1_N3_M3_L79_H44_C316,4.792420418973251,4.633390657029132,0.0,0.0,0.0,0.0,-0.586351113019673,2.2000000000005002
