evaluation_label,wavelength_nm,angle_deg,T_TE,T_TM,T_unpolarized,energy_residual,candidate_id,static_structure_id,topology
448nm,448.0,-31.0,0.02127441108688188,0.05260286721699818,0.03693863915194003,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-30.0,0.02419476249036379,0.056154361881649684,0.040174562186006735,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-29.0,0.02755772857122085,0.06014163476865656,0.0438496816699387,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-28.0,0.03142239076483461,0.06459598988064669,0.04800919032274065,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-27.0,0.03584900368515124,0.06954355767953384,0.05269628068234254,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-26.0,0.04089507696222652,0.07500116381135448,0.0579481203867905,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-25.0,0.04660951000222217,0.08097101045587335,0.06379026022904775,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-24.0,0.05302448950403628,0.08743427045963285,0.07022937998183457,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-23.0,0.06014520687206438,0.09434402463299683,0.07724461575253061,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-22.0,0.06793810561955656,0.10161845146863302,0.08477827854409478,5.551115123125783e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-21.0,0.076319339451072,0.10913574899367161,0.09272754422237181,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-20.0,0.08514624279107319,0.11673276371042392,0.10093950325074855,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-19.0,0.09421544560415161,0.12420943155302251,0.10921243857858706,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-18.0,0.10327112128156264,0.13134055775352133,0.11730583951754198,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,-17.0,0.11202511638280623,0.13789497249844876,0.1249600444406275,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
