case_id,source_x_um,candidate_id,dipole_orientation,wavelength_nm
E1_0236_xm0p7_xdipole_453,-0.7,E1_0236,x,453.0
E1_0236_x0p0_xdipole_453,0.0,E1_0236,x,453.0
E1_0236_xp0p7_xdipole_453,0.7,E1_0236,x,453.0
