geometry_id,geometry_hash,role,wavelength_nm,eta_plus1_p,eta_plus1_s,abs_delta_eta_plus1_p_minus_s,T_p,T_s,R_p,R_s
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,445,0.3227897805508666,0.15835046590334068,0.16443931464752592,0.770603222238625,0.7166995221316108,0.22859179204624352,0.2832057334331585
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,446,0.3354150603173346,0.16074878350450988,0.1746662768128247,0.7739665534764071,0.7004803588647642,0.225377859614592,0.2994255416324644
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,447,0.3469740447091463,0.18065703477497166,0.16631700993417461,0.7741718458862562,0.7015567658503212,0.2251932171473588,0.2983167144008209
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,448,0.35931244545355767,0.2221905551623468,0.13712189029121089,0.7688779720983367,0.7213688434603281,0.2306006763852497,0.2785068777581623
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,449,0.3283527646043923,0.2697898707914276,0.0585628938129647,0.7890027174679973,0.7476268066951367,0.2104869049975426,0.2522650515852709
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,450,0.3454872539968436,0.30197119225616226,0.043516061740681344,0.7885297674135227,0.7656752096030007,0.21115519319723977,0.23418425121403058
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,451,0.35253773305539843,0.31162832851325556,0.04090940454214287,0.784806431712031,0.7722929521700401,0.214821873690027,0.22749224421761702
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,452,0.3544485664245071,0.3025706071078893,0.05187795931661782,0.7822304935553278,0.7714983964927258,0.2175629343070206,0.2282307676910129
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,453,0.35308238870872566,0.2829247782914944,0.07015761041723123,0.7801490489179235,0.7685193752155375,0.2197219079001806,0.23122537597605938
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,454,0.34790702358505454,0.2635360496458676,0.08437097393918697,0.7779259577295777,0.767772429200908,0.22195043659373556,0.23206366276663296
K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,TAIL-LOCALIZATION,455,0.3369148624397291,0.2535821652741963,0.08333269716553282,0.7747620411309196,0.7712871598229382,0.22529511750130693,0.22867266154134636
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,445,0.22300229648508693,0.1540216395143959,0.06898065697069103,0.9055814175851535,0.8129929389508684,0.09384439456901011,0.18918830524045152
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,446,0.22728560307114257,0.16806828865724657,0.059217314413895994,0.9036917413263702,0.8216791734989571,0.09573596438256383,0.17791205074995248
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,447,0.23171422136621525,0.19021678696250388,0.04149743440371137,0.9011637307919695,0.8314645310005335,0.09830117434240468,0.1672751657132707
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,448,0.23525688196425446,0.21880706446296394,0.016449817501290515,0.8957422774530043,0.845565789977834,0.10367214511550796,0.15559548243505628
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,449,0.23961131703824928,0.2473441308480487,0.007732813809799427,0.8937091657012223,0.8584833800657455,0.10575392412753108,0.14080578028887988
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,450,0.24487211288244914,0.27183261427346905,0.02696050139101991,0.8907732963057643,0.8710996341296152,0.10870684019657949,0.12881380693410482
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,451,0.24967629333831204,0.28887670975094787,0.03920041641263583,0.8871207274779485,0.8819377920625576,0.11234544610160528,0.11867236427584059
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,452,0.25452734878626887,0.2983176000059694,0.04379025121970054,0.8834322839250208,0.8895556512737011,0.11606288502696424,0.1098675933547815
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,453,0.25982309803152953,0.30165529417262293,0.0418321961410934,0.8794983732166187,0.8988653376897631,0.11997376531088844,0.10160177355303708
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,454,0.2665631866594489,0.2984088675222062,0.0318456808627573,0.8743149236111587,0.9085215971398058,0.12517453463425213,0.09143325030605415
K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,RANKING-DISAMBIGUATION,455,0.27808668583892504,0.2921893978938502,0.014102712054925137,0.8617420975248343,0.9189877944842835,0.13776949829275392,0.08088393444717466
