case_id,geometry_id,polarization,rows,quality_gate_pass,exact_11_points,max_abs_closure_residual,max_order_sum_mismatch,normalization_mismatch_max,structure_anomaly_gate_pass,post_fsp_sha256,run_invocation_count,no_solver_rerun
NP_K6_M8A_PRIMARY2_G01_P,K6X_D100_D140_D165_D190_D225_D230,p,11,True,True,0.0008049857151314899,1.1102230246251565e-16,1.1102230246251565e-16,True,8592fa4a9b61ecaa9f49cfef2e9ab61da4d46d9a035587c77fe492966961beaf,1,True
NP_K6_M8A_PRIMARY2_G01_S,K6X_D100_D140_D165_D190_D225_D230,s,11,True,True,0.00027083581626133335,1.1102230246251565e-16,1.1102230246251565e-16,True,62da0a2e465b8c8febe7d93c234cb1d3daa7e75d91d0176048fb38659a13f99c,1,True
NP_K6_M8A_PRIMARY2_G02_P,K6X_D105_D110_D115_D125_D165_D230,p,11,True,True,0.000585577431487766,2.220446049250313e-16,1.1102230246251565e-16,True,8fa0d20ba149df3eaf58e4b66183ff70897c534fe2aa0906f5b984266bf35e5b,1,True
NP_K6_M8A_PRIMARY2_G02_S,K6X_D105_D110_D115_D125_D165_D230,s,11,True,True,0.0021812441913199587,2.220446049250313e-16,1.1102230246251565e-16,True,af13851ac4fde21e8a05de2287ea522fa98c5e336a24c84ab6b2c1de199b0f4b,1,True
