wavelength_nm,m0_T,m0_R,m0_residual,m1_T,m1_R,m1_residual,m2_T,m2_R,m2_residual,delta12_T,delta12_R,n1_T,n1_R,n1_residual,n1_eta_plus1_abs,n1_eta_0_abs,n1_eta_minus1_abs,n1_directionality,n1_dominant_order
445.0,0.798202425399808,0.19716664201724737,0.0046309325829446135,0.7854676321032746,0.2110780178905813,0.0034543500061440524,0.7813159017068165,0.21388085026365827,0.004803248029525198,-0.004151730396458109,0.0028028323730769633,0.7764262482360513,0.2175192430790344,0.006054508684914278,0.6855683983084135,0.052171422724414156,0.00043945372066157753,0.9987188084819678,1
446.0,0.7941150473261219,0.19827226156441038,0.00761269110946769,0.7871431455238945,0.20958900311346024,0.0032678513626452355,0.7847795078231997,0.21544429429467263,-0.00022380211787234594,-0.0023636377006948095,0.005855291181212391,0.7781393096847421,0.22415117368054416,-0.0022904833652862555,0.6810589234911786,0.05325513471018875,0.0005563920374156028,0.9983674309401802,1
447.0,0.7986076182672975,0.19962158440419256,0.0017707973285099043,0.7781491053329134,0.2169664981539021,0.004884396513184536,0.7727650830493785,0.21929847071668207,0.00793644623393941,-0.005384022283534851,0.002331972562779977,0.7687268099722041,0.2217853668983208,0.009487823129475104,0.6733701921182706,0.04998538283919034,0.000684962632609076,0.9979676362452499,1
448.0,0.7868185947934396,0.20157298253168307,0.0116084226748773,0.7869937185498883,0.21553880140970672,-0.0025325199595950254,0.7754348423830397,0.24868473581253336,-0.024119578195573088,-0.011558876166848586,0.03314593440282665,0.7790656993992268,0.2381051144214313,-0.017170813820658076,0.6845426974172252,0.0431665533871221,0.0005371609521070114,0.9984318296749066,1
449.0,0.8034309855772098,0.2049082352155996,-0.00833922079280941,0.5897838387979802,0.32745908697327863,0.08275707422874112,0.7169769668767384,0.2942513202530947,-0.011228287129833092,0.12719312807875816,-0.03320776672018394,0.747012992285637,0.3037701700332879,-0.05078316231892488,0.6085453573441088,0.06747189416047103,0.004994594044721895,0.9837187650668356,1
450.0,0.7337437248947121,0.2288122661595252,0.03744400894576272,0.5703648932644687,0.3864821448017938,0.043152961933737466,0.7267741680563367,0.26100222615253255,0.012223605791130798,0.15640927479186795,-0.12547991864926128,0.7354313228587809,0.266224210740428,-0.0016555335992088915,0.6204810884290136,0.051163005989474986,0.0026318677888973736,0.9915525178456506,1
451.0,0.7969954584506863,0.22602194818527763,-0.02301740663596394,0.7588533425545482,0.25122566058842416,-0.010079003142972331,0.7481913645955629,0.25323653025683135,-0.0014278948523942514,-0.01066197795898527,0.002010869668407189,0.7386240283276952,0.2567621538562581,0.004613817816046639,0.6254823927117923,0.04852626632910779,0.002921778331887485,0.9907009581841736,1
452.0,0.7681834721673008,0.2636137583578037,-0.03179723052510447,0.7491595583534932,0.2411526206707171,0.009687820975789657,0.7543299677188644,0.24238629297255912,0.0032837393085764777,0.005170409365371165,0.0012336723018420148,0.7574901318778142,0.24418248702559495,-0.0016726189034091676,0.6503066812800768,0.045586092847400186,0.003974220064401896,0.9878516396971538,1
453.0,0.7510947200726475,0.2325838782855594,0.01632140164179305,0.762931707187793,0.23939434768935275,-0.0023260548771457668,0.7550816141201805,0.2428971906938752,0.002021195185944319,-0.007850093067612529,0.0035028430045224435,0.7524377903197703,0.24221899035068922,0.005343219329540461,0.6468568443029437,0.04229358081282003,0.0047932715778788125,0.9852888184592745,1
454.0,0.773979481680557,0.2280908779176495,-0.002070359598206478,0.7626354509426144,0.23282152106027293,0.0045430279971126475,0.7632268159471394,0.23612420655056518,0.0006489775022954503,0.0005913650045249463,0.003302685490292251,0.7653150441663599,0.2368790677348408,-0.0021941119012006682,0.6616594309308594,0.03983740285824319,0.0058041108521868735,0.9826084557766798,1
455.0,0.772424721220395,0.22299064813578606,0.0045846306438189766,0.7666415777198577,0.23191516265919537,0.0014432596209468795,0.7623682575553297,0.23429091572142627,0.003340826723244067,-0.004273320164528083,0.0023757530622308953,0.7640846763133593,0.2314616419042948,0.004453681782345897,0.6628273056347306,0.037233493728846594,0.006985613498373377,0.9791415982020342,1
