item,value
h1j2_decision,monitor_unchanged_requires_manual_gui_audit
monitor_global_safety,requires_manual_gui_audit
monitor_action,unchanged_no_global_unsafe_confirmed
load_succeeded,True
run_called,False
save_called,False
manual_gui_audit_required,True
