operation,status,error
getnamed source_1.3D resolution,failed,"""in getnamed, the requested property '3D resolution' was not found"""
getnamed source_1.Assume structure is periodic,failed,"""in getnamed, the requested property 'Assume structure is periodic' was not found"""
getnamed source_1.override near field mesh,failed,"""in getnamed, the requested property 'override near field mesh' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.monitor type,failed,"""in getnamed, the requested property 'monitor type' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.projection direction,failed,"""in getnamed, the requested property 'projection direction' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.material index,failed,"""in getnamed, the requested property 'material index' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.far field filter,failed,"""in getnamed, the requested property 'far field filter' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.2D resolution,failed,"""in getnamed, the requested property '2D resolution' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.3D resolution,failed,"""in getnamed, the requested property '3D resolution' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.Assume structure is periodic,failed,"""in getnamed, the requested property 'Assume structure is periodic' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_01_TiO2.override near field mesh,failed,"""in getnamed, the requested property 'override near field mesh' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.monitor type,failed,"""in getnamed, the requested property 'monitor type' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.projection direction,failed,"""in getnamed, the requested property 'projection direction' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.material index,failed,"""in getnamed, the requested property 'material index' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.far field filter,failed,"""in getnamed, the requested property 'far field filter' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.2D resolution,failed,"""in getnamed, the requested property '2D resolution' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.3D resolution,failed,"""in getnamed, the requested property '3D resolution' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.Assume structure is periodic,failed,"""in getnamed, the requested property 'Assume structure is periodic' was not found"""
getnamed H1J_bottom_DBR_QWexact10pair_20_SiO2.override near field mesh,failed,"""in getnamed, the requested property 'override near field mesh' was not found"""
getnamed dbr::tio22.x,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.x span,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.y,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.y span,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.z,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.z span,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.enabled,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.monitor type,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.projection direction,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.material index,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.far field filter,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::tio22.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::tio22' can be found"""
getnamed dbr::sio222.x,failed,"""In getnamed, no items matching the name 'dbr::sio222' can be found"""
