run_id,wavelength_nm,T_path_A,R_path_A,residual_path_A,T_path_B,R_path_B,residual_path_B,T_path_C,R_path_C,residual_path_C,C_minus_A_T,C_minus_A_R,C_minus_A_residual,field_path_type,sourcepower,extraction_status
RUN2,445.0,0.9767040658761833,0.020393400701506175,0.002902533422310505,0.9767040658761841,0.02039340070150619,0.0029025334223097277,0.9767040658761839,0.02039340070150619,0.0029025334223099497,5.551115123125783e-16,1.3877787807814457e-17,-5.551115123125783e-16,Pz_and_E_cross_H,9.117367225106235e-16,OK
RUN2,445.99999999999994,0.9767138407897014,0.02040037336856913,0.0028857858417294935,0.9767138407897018,0.020400373368569136,0.0028857858417290494,0.9767138407897018,0.020400373368569136,0.0028857858417290494,4.440892098500626e-16,6.938893903907228e-18,-4.440892098500626e-16,Pz_and_E_cross_H,9.119289125760428e-16,OK
RUN2,446.99999999999994,0.9767147395632688,0.020424331383307022,0.002860929053424166,0.9767147395632688,0.02042433138330702,0.002860929053424166,0.9767147395632688,0.02042433138330702,0.002860929053424166,0.0,-3.469446951953614e-18,0.0,Pz_and_E_cross_H,9.121198272574595e-16,OK
RUN2,448.00000000000006,0.9767098359027383,0.02045669023498004,0.0028334738622816102,0.9767098359027384,0.020456690234980035,0.0028334738622814992,0.9767098359027384,0.020456690234980035,0.0028334738622814992,1.1102230246251565e-16,-3.469446951953614e-18,-1.1102230246251565e-16,Pz_and_E_cross_H,9.123094777851613e-16,OK
RUN2,449.0,0.976711294070272,0.020477890578983665,0.0028108153507443445,0.9767112940702721,0.02047789057898366,0.0028108153507442335,0.9767112940702721,0.02047789057898366,0.0028108153507442335,1.1102230246251565e-16,-3.469446951953614e-18,-1.1102230246251565e-16,Pz_and_E_cross_H,9.12497875266428e-16,OK
RUN2,450.0,0.9767201049145585,0.020490590956797155,0.00278930412864431,0.9767201049145579,0.02049059095679716,0.002789304128644976,0.9767201049145579,0.02049059095679716,0.002789304128644976,-6.661338147750939e-16,3.469446951953614e-18,6.661338147750939e-16,Pz_and_E_cross_H,9.126850306871428e-16,OK
RUN2,450.9999999999999,0.9767250041015216,0.02051344497434732,0.0027615509241309955,0.9767250041015213,0.020513444974347317,0.0027615509241314395,0.9767250041015213,0.020513444974347317,0.0027615509241314395,-3.3306690738754696e-16,-3.469446951953614e-18,4.440892098500626e-16,Pz_and_E_cross_H,9.128709549133736e-16,OK
RUN2,451.99999999999994,0.9767207518378677,0.020549546580943802,0.0027297015811885705,0.9767207518378672,0.020549546580943802,0.0027297015811890146,0.9767207518378672,0.020549546580943802,0.0027297015811890146,-4.440892098500626e-16,0.0,4.440892098500626e-16,Pz_and_E_cross_H,9.13055658692935e-16,OK
RUN2,453.00000000000006,0.9767157441605989,0.020582820906132875,0.002701434933268243,0.9767157441605994,0.020582820906132875,0.002701434933267799,0.9767157441605994,0.020582820906132875,0.002701434933267799,4.440892098500626e-16,0.0,-4.440892098500626e-16,Pz_and_E_cross_H,9.13239152656925e-16,OK
RUN2,453.9999999999999,0.9767179682485309,0.02060538364245011,0.0026766481090190197,0.9767179682485301,0.02060538364245012,0.002676648109019797,0.9767179682485301,0.02060538364245012,0.002676648109019797,-7.771561172376096e-16,1.0408340855860843e-17,7.771561172376096e-16,Pz_and_E_cross_H,9.134214473212381e-16,OK
RUN2,455.00000000000006,0.9767225485397556,0.020629436798077813,0.0026480146621665757,0.9767225485397553,0.020629436798077806,0.0026480146621669087,0.9767225485397553,0.020629436798077806,0.0026480146621669087,-3.3306690738754696e-16,-6.938893903907228e-18,3.3306690738754696e-16,Pz_and_E_cross_H,9.136025530880566e-16,OK
RUN3A,445.0,0.772601038089443,0.2266336126787597,0.0007653492317972743,0.7726010380894432,0.2266336126787599,0.0007653492317968302,0.7726010380894432,0.2266336126787599,0.0007653492317968302,2.220446049250313e-16,1.942890293094024e-16,-4.440892098500626e-16,Pz_and_E_cross_H,9.117367225106237e-16,OK
RUN3A,445.99999999999994,0.7767999810940471,0.2149066546396288,0.0082933642663241,0.7767999810940474,0.2149066546396289,0.008293364266323766,0.7767999810940474,0.2149066546396289,0.008293364266323766,2.220446049250313e-16,1.1102230246251565e-16,-3.3306690738754696e-16,Pz_and_E_cross_H,9.119289125760428e-16,OK
RUN3A,446.99999999999994,0.7914984128212268,0.20654356207749197,0.00195802510128118,0.7914984128212271,0.2065435620774922,0.001958025101280736,0.7914984128212271,0.2065435620774922,0.001958025101280736,3.3306690738754696e-16,2.220446049250313e-16,-4.440892098500626e-16,Pz_and_E_cross_H,9.121198272574597e-16,OK
RUN3A,448.00000000000006,0.7966918265220448,0.1969305464388587,0.006377627039096501,0.7966918265220443,0.19693054643885868,0.006377627039097056,0.7966918265220443,0.19693054643885868,0.006377627039097056,-5.551115123125783e-16,-2.7755575615628914e-17,5.551115123125783e-16,Pz_and_E_cross_H,9.123094777851611e-16,OK
RUN3A,449.0,0.8074936515259246,0.1904595757454484,0.0020467727286270776,0.8074936515259246,0.1904595757454484,0.0020467727286270776,0.8074936515259246,0.1904595757454484,0.0020467727286270776,0.0,0.0,0.0,Pz_and_E_cross_H,9.12497875266428e-16,OK
RUN3A,450.0,0.8132458269390839,0.1815062781284073,0.005247894932508768,0.8132458269390842,0.1815062781284072,0.0052478949325085456,0.8132458269390842,0.1815062781284072,0.0052478949325085456,3.3306690738754696e-16,-1.1102230246251565e-16,-2.220446049250313e-16,Pz_and_E_cross_H,9.126850306871428e-16,OK
RUN3A,450.9999999999999,0.8209431943348905,0.17723757639117793,0.001819229273931633,0.8209431943348896,0.17723757639117785,0.001819229273932521,0.8209431943348896,0.17723757639117782,0.001819229273932521,-8.881784197001252e-16,-1.1102230246251565e-16,8.881784197001252e-16,Pz_and_E_cross_H,9.128709549133734e-16,OK
RUN3A,451.99999999999994,0.8277712248262012,0.16784701803745,0.004381757136348696,0.8277712248262008,0.16784701803744997,0.004381757136349251,0.8277712248262008,0.16784701803744997,0.004381757136349251,-4.440892098500626e-16,-2.7755575615628914e-17,5.551115123125783e-16,Pz_and_E_cross_H,9.130556586929349e-16,OK
RUN3A,453.00000000000006,0.8326023563213449,0.16545810062432678,0.0019395430543283076,0.8326023563213448,0.16545810062432692,0.0019395430543283076,0.8326023563213448,0.16545810062432692,0.0019395430543283076,-1.1102230246251565e-16,1.3877787807814457e-16,0.0,Pz_and_E_cross_H,9.13239152656925e-16,OK
RUN3A,453.9999999999999,0.844053019856823,0.15380443459201404,0.002142545551163,0.8440530198568228,0.15380443459201404,0.002142545551163222,0.8440530198568228,0.15380443459201404,0.002142545551163222,-2.220446049250313e-16,0.0,2.220446049250313e-16,Pz_and_E_cross_H,9.134214473212383e-16,OK
RUN3A,455.00000000000006,0.8693911227850826,0.11403130769514702,0.016577569519770408,0.8693911227850829,0.114031307695147,0.016577569519770075,0.8693911227850829,0.114031307695147,0.016577569519770075,3.3306690738754696e-16,-2.7755575615628914e-17,-3.3306690738754696e-16,Pz_and_E_cross_H,9.136025530880568e-16,OK
RUN3B,445.0,0.622990259536397,0.3687450812394079,0.008264659224195059,0.622990259536397,0.36874508123940786,0.00826465922419517,0.622990259536397,0.36874508123940786,0.00826465922419517,0.0,-5.551115123125783e-17,1.1102230246251565e-16,Pz_and_E_cross_H,9.117367225106233e-16,OK
