stage,job_id,candidate_id,role,priority,wavelength_nm,source_x_nm,source_y_or_z_note,dipole,design_side_layers,physical_emission_stack,noncoherent_average_group,planned_metrics,run_status
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_001,BARE_GaN_Air,bare_reference,0,450.0,0.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,bare GaN/Air,GaN -> Air,BARE_GaN_Air_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_002,BARE_GaN_Air,bare_reference,0,450.0,-500.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,bare GaN/Air,GaN -> Air,BARE_GaN_Air_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_003,BARE_GaN_Air,bare_reference,0,450.0,500.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,bare GaN/Air,GaN -> Air,BARE_GaN_Air_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_004,MDC1B_FAB_0126,baseline_fab_primary,1,450.0,0.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:156nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm,GaN -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:156nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> Air,MDC1B_FAB_0126_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_005,MDC1B_FAB_0126,baseline_fab_primary,1,450.0,-500.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:156nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm,GaN -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:156nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> Air,MDC1B_FAB_0126_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_006,MDC1B_FAB_0126,baseline_fab_primary,1,450.0,500.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:156nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm / TiO2:45nm / SiO2:79nm,GaN -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:156nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> TiO2:45nm -> SiO2:79nm -> Air,MDC1B_FAB_0126_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_007,MDC-A0-INT,rounded_reference,2,450.0,0.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:158nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm,GaN -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:158nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> Air,MDC-A0-INT_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_008,MDC-A0-INT,rounded_reference,2,450.0,-500.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:158nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm,GaN -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:158nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> Air,MDC-A0-INT_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_009,MDC-A0-INT,rounded_reference,2,450.0,500.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:158nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm / TiO2:44nm / SiO2:79nm,GaN -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:158nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> TiO2:44nm -> SiO2:79nm -> Air,MDC-A0-INT_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
MDC1D0_FDTD_2D_incoherent_average_plan,MDC1D0_JOB_010,MDC1B_PERF_0890,performance_anchor,3,450.0,0.0,to be placed inside GaN below MDC; exact 2D coordinate decided by FDTD template,x,SiO2:81nm / TiO2:44nm / SiO2:81nm / TiO2:44nm / SiO2:81nm / TiO2:44nm / SiO2:81nm / TiO2:44nm / SiO2:157nm / TiO2:44nm / SiO2:81nm / TiO2:44nm / SiO2:81nm / TiO2:44nm / SiO2:81nm / TiO2:44nm / SiO2:81nm,GaN -> SiO2:81nm -> TiO2:44nm -> SiO2:81nm -> TiO2:44nm -> SiO2:81nm -> TiO2:44nm -> SiO2:81nm -> TiO2:44nm -> SiO2:157nm -> TiO2:44nm -> SiO2:81nm -> TiO2:44nm -> SiO2:81nm -> TiO2:44nm -> SiO2:81nm -> TiO2:44nm -> SiO2:81nm -> Air,MDC1B_PERF_0890_450.0nm_xdipole,upward_power;angular_spectrum;cone_20deg_power;large_angle_40_60deg_leakage;normal_to_large_angle_ratio;center_side_sensitivity,planned_not_run
