variable,p05,median,p95
top_pair_count,4.0,7.0,10.0
bottom_pair_count,4.0,8.0,12.0
cavity_spacer_nm,189.0,270.0,352.0
top_termination_nm,5.0,46.0,86.0
bottom_termination_nm,4.45,46.0,86.0
top_high_scale,0.7706,0.9896,1.2227
top_low_scale,0.7704,0.9872,1.2251
bottom_high_scale,0.7725,0.9872,1.2229
bottom_low_scale,0.7719,0.9879,1.2238
top_chirp,-0.1358,0.0021,0.1372
bottom_chirp,-0.1338,-0.0015,0.1348
