rule,count,mean_peak_abs,mean_spectral_peak,mean_offaxis_20_60
30_40_resonance_risk,3265,17.7213,452.8407,1.4004894
30_40_to_normal_above_threshold,8491,11.7428,452.712,0.93705783
angular_fwhm_gt15,8202,8.7278,453.2133,0.72523265
angular_fwhm_rule,8201,8.7269,453.2143,0.72532065
invalid_thickness_or_stack_height,13,nan,nan,nan
normal10_below_population_threshold,8002,12.4464,453.202,1.1e-07
normal5_below_population_threshold,8002,12.4451,453.2102,1.1e-07
normal_offaxis_ratio_below_threshold,9336,14.2234,453.1776,0.51020085
offaxis20_60_above_threshold,6754,11.6923,452.8831,1.17805123
offaxis30_40_above_threshold,6659,11.7172,452.8971,1.19485779
peak_angle_gt7,7892,16.0393,453.0539,0.67860651
peak_angle_rule,7892,16.0393,453.0539,0.67860651
spectral_fwhm_gt8,12686,12.0539,453.1285,0.50763487
spectral_fwhm_rule,12686,12.0539,453.1285,0.50763487
spectral_peak_outside_450_456,12406,12.0139,453.1185,0.26340364
spectral_peak_rule,12406,12.0139,453.1185,0.26340364
