asset_id,category,source_worktree,source_branch,source_commit,source_path,source_sha256,copied_or_referenced,destination_path,destination_sha256,production_or_reference,immutable_source
mqw_contract,source,D:\project\worktrees\blue_apcd_mdc_np_coupling_v1,work/mdc-np-coupling-v1,92ccb15441d4c5b9bfe6853743738db8747800f5,configs/mdc_realistic_mqw_source_module_v1.json,5A80910C7DCFBC636D16926B223D070F32907B18EC18273222ADC23E9B634806,copied,paper_a_broadband/references/source/mqw/mdc_realistic_mqw_source_module_v1.json,5A80910C7DCFBC636D16926B223D070F32907B18EC18273222ADC23E9B634806,production_source_contract,True
mqw_script,source,D:\project\worktrees\blue_apcd_mdc_np_coupling_v1,work/mdc-np-coupling-v1,92ccb15441d4c5b9bfe6853743738db8747800f5,scripts/mdc_mqw_source_module.py,090A7865103D3F1FBE2095F5C38D04A5E4F4C627B3C0CE4B519C0980924590CE,copied,paper_a_broadband/references/source/mqw/mdc_mqw_source_module.py,090A7865103D3F1FBE2095F5C38D04A5E4F4C627B3C0CE4B519C0980924590CE,production_helper,True
source_interface_contract,source_interface,D:\project\worktrees\blue_apcd_mdc_np_coupling_v1,work/mdc-np-coupling-v1,92ccb15441d4c5b9bfe6853743738db8747800f5,contracts/coupling/matched_emitted_source_physical_contract_v1.json,15B930BC088EF179B60961465BAD9CB93EF22B0C4A09CF840661CC9A88A2D386,copied,paper_a_broadband/references/source/interface/matched_emitted_source_physical_contract_v1.json,15B930BC088EF179B60961465BAD9CB93EF22B0C4A09CF840661CC9A88A2D386,reference_only,True
interface_stack,source_interface,D:\project\worktrees\blue_apcd_mdc_np_coupling_v1,work/mdc-np-coupling-v1,92ccb15441d4c5b9bfe6853743738db8747800f5,contracts/coupling/interface_stack_v1.json,F8F29B95FC1A57A0BBE3B8735165F6BFAFED5C051F23BBC36E1953B7037EF0A6,copied,paper_a_broadband/references/source/interface/interface_stack_v1.json,F8F29B95FC1A57A0BBE3B8735165F6BFAFED5C051F23BBC36E1953B7037EF0A6,reference_only,True
r1c5_source_module,source_reference,D:\project\worktrees\blue_apcd_mdc_np_coupling_v1,work/mdc-np-coupling-v1,92ccb15441d4c5b9bfe6853743738db8747800f5,outputs/r1c5_rcled_source_module_handoff_package/r1c5_source_module_baseline.json,603982A4E602969520F29063F08D8D7D98B36CFADE5BFE74338540759DFE30E4,copied,paper_a_broadband/references/source/reference/r1c5_source_module_baseline.json,603982A4E602969520F29063F08D8D7D98B36CFADE5BFE74338540759DFE30E4,reference_only,True
lp_i03_metrics,LP,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1,work/paper-a-lp-cp-broadband-v1,79b05ea4c6ce69ef295c81ae0c4765aab168e956,reports/bf04_local_diattenuation_truth_v1/BF04R_I03_metrics.json,92AF686BD7E57A934DA34EB2B9CB79B93CE72E2428294B97065924A2FEEFFAA3,referenced,paper_a_broadband/reports/bf04_local_diattenuation_truth_v1/BF04R_I03_metrics.json,92AF686BD7E57A934DA34EB2B9CB79B93CE72E2428294B97065924A2FEEFFAA3,reference_only,True
lp_i03_spectrum,LP,D:\project\worktrees\blue_apcd_paper_a_lp_cp_broadband_v1,work/paper-a-lp-cp-broadband-v1,79b05ea4c6ce69ef295c81ae0c4765aab168e956,paper_a_broadband/reports/bf04_local_diattenuation_truth_v1/BF04R_I03_formal_spectra.csv,9F90237C0C96114B8DFC2FA23BD426BD4E3FED3690FC2D4DFC95EF3CB13128B6,referenced,paper_a_broadband/reports/bf04_local_diattenuation_truth_v1/BF04R_I03_formal_spectra.csv,9F90237C0C96114B8DFC2FA23BD426BD4E3FED3690FC2D4DFC95EF3CB13128B6,reference_only,True
lp_builder,LP,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,templates/lp_fulljones/lp_global_h_h1c1a_broadband_builder_support.py,443243FD195E386546FE963CB6C4EE52455F2FF4FE8F4C731624EE8F966D0E92,referenced,paper_a_broadband/templates/lp_fulljones/lp_global_h_h1c1a_broadband_builder_support.py,443243FD195E386546FE963CB6C4EE52455F2FF4FE8F4C731624EE8F966D0E92,production_template_reference,True
lp_runner_provenance,shared,D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1,work/lp-global-h-manifold-v1,e12858bfa404f55aa17ee57fdf9b99f72293d493,scripts/stage_paper_a_lp_p1_native_wideband_435_465_frozen_provenance.py,6C2A1718C2CD7EE92C1E438A7BB873346F857903B1AE44ACE4F5D385E346936E,referenced,paper_a_broadband/templates/lp_fulljones/stage_paper_a_lp_p1_native_wideband_435_465_frozen_provenance.py,6C2A1718C2CD7EE92C1E438A7BB873346F857903B1AE44ACE4F5D385E346936E,reference_only,True
cp_geometry,CP,D:\project\worktrees\blue_apcd_cp_stage10_bw2a,work/cp/stage10-bw2a-dipole-smoke,1a5e8b72ffe39dd0ddde3ddcc537d9eaa8bbfa81,paper_a_broadband/references/cp/champion_geometry.json,7E02D0D523B943D2863C4D9FF411C42F7EB1FFA20E03F05B0622A80972D4D711,referenced,paper_a_broadband/references/cp/champion_geometry.json,7E02D0D523B943D2863C4D9FF411C42F7EB1FFA20E03F05B0622A80972D4D711,frozen_positive_reference,True
