geometry_id,role,height_nm,j1_length_nm,j1_width_nm,j2_length_nm,j2_width_nm,j1_center_y_nm,j2_center_y_nm,j1_rotation_deg,j2_rotation_deg,geometry_hash_sha256
LPBROAD_G001,CP_LIKE_ANCHOR,525.0,230.0,100.0,180.0,90.0,97.0,-97.0,-9.0,36.0,88ca4b12724d0c9e61d8ad29fb370eaaa89672229ff8ad288b3bfacaacb09360
LPBROAD_G002,LINEAR_ALIGNED_ANCHOR,525.0,230.0,100.0,180.0,90.0,97.0,-97.0,0.0,0.0,29b4049110a5d549c6493e13262465813396e66a1debc94af5d8e6a2347c94e0
LPBROAD_G003,SOBOL_SPACE_FILLING,518.75,221.25,102.5,191.25,87.5,93.25,-93.25,-11.25,45.0,b12571e9df086cd63e8eb2374b4726663446b2bb8ece32170e03438ba70c7954
LPBROAD_G004,SOBOL_SPACE_FILLING,543.75,236.25,92.5,176.25,97.5,98.25,-98.25,-2.25,33.0,46ac4331feec80fd8674f0c02538408e8650bfcf481260d7c8ac3d024ca361c0
LPBROAD_G005,SOBOL_SPACE_FILLING,531.25,213.75,107.5,183.75,92.5,100.75,-100.75,-15.75,27.0,96b151a1a6adde29af285bd6b2d4eb7cf66e95bdf61e5ad560be341617cfeb99
LPBROAD_G006,SOBOL_SPACE_FILLING,506.25,228.75,97.5,168.75,82.5,95.75,-95.75,-6.75,39.0,9922c506d9e8dbc398a03e3693dc0f0c9ceddac84130ec183a56fb62c4e93eb4
