geometry_uid,exact_hash,parent_uid,broadband_status,projector_pass_count,failed_wavelengths,worst_projector_error,median_projector_error,min_Txx,median_Txx,max_Txx,min_throughput,median_throughput,max_throughput,phase_trajectory_deg,missing_polarizations,solver_replay,minimum_projector_margin
H1E1_A_small_P_GLOBAL_015,63ce99c7bf764f34850a5b8d52d69c1c4e563e30e66e434678b4eb607fe6ffaa,GLOBAL_015,CENTER_ONLY_COMPATIBLE,5,"[452.0, 453.0, 453.5, 454.0]",0.46787531338599486,0.16613811512524534,0.10236970080103715,0.9161772425400679,0.9882267888188684,0.09618958054026025,0.5015119497965435,0.6704488011345711,"[86.03197202854648, 82.48316755090616, 73.54671470353509, 51.01152890711376, 114.83187883196786, 92.08060954410814, 86.33676224853326, 80.1075477839828, 75.04517057760233]",[],False,
H1E1_A_small_N_GLOBAL_015,2af4abb9d253f62ee10a513544658f3b40a62313473c2ba396aa2e38848918a8,GLOBAL_015,BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],0.1382565494527126,0.04778318804389148,0.1692319708108286,0.9471199559948279,1.0434471452034049,0.0981916199672597,0.4854808087089256,0.5505979859908983,"[78.38749490324489, 70.78771580014813, 54.123400711974455, 100.52704028079205, 82.82313567240328, 79.33653569180166, 74.10230070668092, 69.36340994331647, 67.62699910194101]",[],False,
H1E1_A_large_P_GLOBAL_015,acd7bff31ada717181d8ad9875140a70079f117146f215ca6bb3fefc5c51869a,GLOBAL_015,CENTER_ONLY_COMPATIBLE,4,"[452.0, 452.5, 453.0, 453.5, 454.0]",0.6044918028911804,0.29552094459875067,0.12344021211279715,0.9281158372653037,1.0701557056560118,0.1560526596100282,0.5167170595338757,0.7400237936789207,"[90.52096960393061, 84.60826586842603, 75.93230446707355, 64.71552114015276, 28.26355474251602, 106.80454654620968, 91.34310505603287, 82.2527890322097, 78.92370005365478]",[],False,
H1E1_A_large_N_GLOBAL_015,e254e5321bd0ad9c09f769af7a47738712a926b254053287452375abda912e0a,GLOBAL_015,INCONCLUSIVE_MISSING_POLARIZATION,,,,,,,,,,,,['y'],False,
H1E1_B_large_P_H1C1B_V2_012,2f9bd5e7f87e7cfa19baaa08227852e28219d087f34b9a3d1334be241847a8e6,H1C1B_V2_012,CENTER_ONLY_COMPATIBLE,4,"[452.0, 452.5, 453.0, 453.5, 454.0]",0.5849584399183296,0.28192376675607056,0.12356573418424274,0.9252209766970606,1.0708187280871002,0.14885947103698227,0.5149837991225343,0.7322799661043226,"[90.34580886497963, 84.17278438992196, 75.5504644165863, 64.716517493114, 28.058512374221152, 106.37269342243019, 90.92622839335405, 82.10915290638752, 78.55207267313222]",[],False,
H1E1_B_large_N_H1C1B_V2_012,8c31913f513d193189c90651045713c79ad42a610f0690b4b231c06c1471556d,H1C1B_V2_012,CENTER_ONLY_COMPATIBLE,8,[451.0],0.20941509941304803,0.030841551539418366,0.30791446213911167,0.9553895963991379,1.0734386660021005,0.19473839046920038,0.4812072841226403,0.5957898686043768,"[71.92686142786596, 69.05725514022515, 43.032230491543544, 93.5629152761507, 78.42237072979219, 72.06904437666162, 70.3679016345917, 68.03806603718328, 64.51416098278008]",[],False,
H1E1_C_large_P_GLOBAL_006,35e943f5d0aab08d0e27ccc631bd5ebc123e8deb905553bf499d675eb3fe9e90,GLOBAL_006,BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],0.14755555788006924,0.08688339865767136,0.366517009025942,0.9726339534050933,1.070515591535885,0.2009676482666334,0.5332542099098768,0.5793681230697617,"[101.8881152060548, 96.33748936529054, 93.1739418753599, 89.36075836573775, 80.33309503750428, 68.24843893243167, 90.36841782173389, 71.99954106818575, 61.89873819301113]",[],False,
H1E1_C_large_N_GLOBAL_006,95a3626c25c17ddefcbb6a3013ff3b5f0710b9e55ba0a6815fefb9c89816dc50,GLOBAL_006,CENTER_ONLY_COMPATIBLE,8,[452.5],0.28055194606012357,0.10407922404185077,0.18126678624662404,0.9928160063114121,1.1162076038461954,0.12597628505210492,0.5540757804447816,0.5940786363711066,"[100.01815060654496, 96.59096715906571, 91.01029364469775, 82.4197440427414, 75.70185181622753, 62.106202280057914, 91.92171649154523, 69.38576189122693, 49.4133185635597]",[],False,
