spectral_peak_nm,spectral_FWHM_nm,T448,T450,T453,max_angle_450_deg,angular_FWHM_450_deg,I0_over_Imax_450,strict_normal,near_normal,angle_symmetry_error_max,energy_residual_max,spectral_boundary_clipped,angular_boundary_clipped,sequence_json,spectral_target_pass,angular_target_pass,combined_pass,candidate_id,scan_mode,sample_index,sample_id,error_bound_nm,layer_errors_json
450.96000000000254,3.38710182788833,0.2393840371021301,0.7494433833358269,0.4096654838305344,-6.0,20.465751443848298,0.7562423944887475,False,False,0.0,4.440892098500626e-16,False,False,"[[""H"",46],[""L"",78],[""H"",47],[""L"",78],[""H"",47],[""L"",312],[""H"",46],[""L"",78],[""H"",45],[""L"",77],[""H"",45],[""L"",77]]",True,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,10,independent_layer_1nm_ZL1_N3_M3_L78_H46_0010,1,"[0,0,1,0,1,0,0,0,-1,-1,-1,-1]"
451.2200000000025,3.3874586488954606,0.2099500799562053,0.6504757894141988,0.4766431049988478,-7.0,21.44610912431062,0.6553902971598462,False,False,0.0,4.440892098500626e-16,False,False,"[[""H"",45],[""L"",78],[""H"",47],[""L"",78],[""H"",46],[""L"",312],[""H"",47],[""L"",78],[""H"",46],[""L"",78],[""H"",45],[""L"",77]]",True,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,11,independent_layer_1nm_ZL1_N3_M3_L78_H46_0011,1,"[-1,0,1,0,0,0,1,0,0,0,-1,-1]"
448.88000000000204,3.36799202085831,0.7753485502930215,0.6908521960742131,0.1471334013255483,0.0,13.740676680492566,1.0,True,True,0.0,6.661338147750939e-16,False,False,"[[""H"",47],[""L"",79],[""H"",47],[""L"",77],[""H"",46],[""L"",311],[""H"",45],[""L"",79],[""H"",45],[""L"",78],[""H"",47],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,12,independent_layer_1nm_ZL1_N3_M3_L78_H46_0012,1,"[1,1,1,-1,0,-1,-1,1,-1,0,1,-1]"
452.10000000000275,3.4136337469669797,0.14170598245278782,0.38856990887541193,0.7795320123609613,-9.0,8.22827515280267,0.391884485005477,False,False,0.0,6.661338147750939e-16,False,False,"[[""H"",46],[""L"",79],[""H"",46],[""L"",79],[""H"",47],[""L"",313],[""H"",46],[""L"",77],[""H"",47],[""L"",77],[""H"",45],[""L"",77]]",False,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,13,independent_layer_1nm_ZL1_N3_M3_L78_H46_0013,1,"[0,1,0,1,1,1,0,-1,1,-1,-1,-1]"
451.6200000000026,3.403382992565298,0.1752618989116694,0.517023768072584,0.6014317327477057,-8.0,22.87249266875935,0.5210384772813244,False,False,0.0,4.440892098500626e-16,False,False,"[[""H"",46],[""L"",77],[""H"",47],[""L"",79],[""H"",46],[""L"",313],[""H"",46],[""L"",78],[""H"",46],[""L"",79],[""H"",46],[""L"",77]]",False,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,14,independent_layer_1nm_ZL1_N3_M3_L78_H46_0014,1,"[0,-1,1,1,0,1,0,0,0,1,0,-1]"
450.9000000000025,3.368574063300173,0.2456240392997962,0.7727269121302658,0.3931690713004463,-6.0,20.11870001941875,0.7784291375190608,False,False,0.0,6.661338147750939e-16,False,False,"[[""H"",45],[""L"",79],[""H"",45],[""L"",79],[""H"",46],[""L"",313],[""H"",46],[""L"",78],[""H"",45],[""L"",78],[""H"",46],[""L"",79]]",True,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,15,independent_layer_1nm_ZL1_N3_M3_L78_H46_0015,1,"[-1,1,-1,1,0,1,0,0,-1,0,0,1]"
450.70000000000243,3.3870027439336354,0.274738724594488,0.8441513740485767,0.3556973327665957,-5.0,19.476948573173015,0.8517216582673318,False,True,0.0,8.881784197001252e-16,False,False,"[[""H"",46],[""L"",79],[""H"",46],[""L"",79],[""H"",46],[""L"",311],[""H"",47],[""L"",78],[""H"",46],[""L"",79],[""H"",46],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,16,independent_layer_1nm_ZL1_N3_M3_L78_H46_0016,1,"[0,1,0,1,0,-1,1,0,0,1,0,-1]"
449.40000000000214,3.335699305467358,0.5810083810107436,0.8785371566788771,0.18208534158140613,0.0,14.196395961995762,1.0,True,True,0.0,4.440892098500626e-16,False,False,"[[""H"",45],[""L"",77],[""H"",45],[""L"",77],[""H"",45],[""L"",312],[""H"",47],[""L"",78],[""H"",45],[""L"",77],[""H"",47],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,17,independent_layer_1nm_ZL1_N3_M3_L78_H46_0017,1,"[-1,-1,-1,-1,-1,0,1,0,-1,-1,1,0]"
449.66000000000224,3.350879499742234,0.49839362046498553,0.9517276386320622,0.20548336687724855,0.0,14.860056157721532,1.0,True,True,0.0,5.551115123125783e-16,False,False,"[[""H"",47],[""L"",78],[""H"",45],[""L"",79],[""H"",45],[""L"",313],[""H"",45],[""L"",79],[""H"",46],[""L"",77],[""H"",45],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,18,independent_layer_1nm_ZL1_N3_M3_L78_H46_0018,1,"[1,0,-1,1,-1,1,-1,1,0,-1,-1,-1]"
450.7800000000025,3.379648307116099,0.26357400163861266,0.8189180863260141,0.3681614036373437,-5.0,19.70980184668734,0.830754775457315,False,True,0.0,1.1102230246251565e-15,False,False,"[[""H"",45],[""L"",78],[""H"",47],[""L"",79],[""H"",46],[""L"",313],[""H"",45],[""L"",78],[""H"",46],[""L"",79],[""H"",45],[""L"",79]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,19,independent_layer_1nm_ZL1_N3_M3_L78_H46_0019,1,"[-1,0,1,1,0,1,-1,0,0,1,-1,1]"
449.1800000000021,3.3381349843403427,0.6606008776914496,0.7982000678238463,0.16490581432669885,0.0,13.866876339589872,1.0,True,True,0.0,6.661338147750939e-16,False,False,"[[""H"",45],[""L"",79],[""H"",46],[""L"",78],[""H"",47],[""L"",311],[""H"",45],[""L"",78],[""H"",45],[""L"",77],[""H"",46],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,20,independent_layer_1nm_ZL1_N3_M3_L78_H46_0020,1,"[-1,1,0,0,1,-1,-1,0,-1,-1,0,0]"
