object,role,enabled_before,set_enabled_status,enabled_after,set_x_status,set_y_status,set_z_status,set_theta_status,set_phi_status,set_wavelength_start_status,set_wavelength_stop_status,dipole_property_used,dipole_set_status,x_after_m,y_after_m,z_after_m,theta_after_deg,phi_after_deg,wavelength_start_after_m,wavelength_stop_after_m
source,PlaneSource disabled for future dipole validation,0.0,set,0.0,,,,,,,,,,,,,,,,
source_1,DipoleSource x-dipole at 453 nm,,set,1.0,set,set,set,set,set,set,set,dipole type,dipole type:set,0.0,-8.000000000000001e-07,0.0,90.0,0.0,4.5300000000000005e-07,4.5300000000000005e-07
