check,status,detail
bottom_dbr_layer_count,True,20
bottom_dbr_group_membership,True,verified_all_20_members
bottom_dbr_y_range,True,-2190.0 to -950.0 nm
source_not_inside_bottom_dbr,True,source y -800.0 nm; DBR top -950.0 nm
mesh_order_overlap_fix,True,verified_all_20_mesh_order_1
monitor_not_moved_without_global_unsafe_confirmation,True,monitor remains at y=1100 nm
no_run_called,True,script does not call run/runanalysis/mesh/optimize/sweep
