wavelength_nm,T_total,R_total,closure,residual,eta_plus1,eta_0,eta_minus1,directionality
445.0,0.7813159017068165,0.21388085026365827,0.9951967519704747,0.004803248029525198,0.6908267487795045,0.051517719779046095,0.00038254515610282167,0.9988931133899411
445.99999999999994,0.7847795078231997,0.21544429429467263,1.0002238021178724,-0.00022380211787234594,0.6913340614225246,0.0516337388465674,0.0005104837789746755,0.9985242818418812
446.99999999999994,0.7727650830493785,0.21929847071668207,0.9920635537660606,0.00793644623393941,0.6748100927111219,0.05064310488987132,0.0006395304852635364,0.998106356230574
448.00000000000006,0.7754348423830397,0.24868473581253336,1.024119578195573,-0.024119578195573088,0.6992679983789094,0.03162302836819568,0.0001923914413512183,0.9994498861003389
449.0,0.7169769668767384,0.2942513202530947,1.011228287129833,-0.011228287129833092,0.5791444848073394,0.05094259800356953,0.004110552802440727,0.9859047842285732
450.0,0.7267741680563367,0.26100222615253255,0.9877763942088692,0.012223605791130798,0.6087855469257185,0.05360130784988615,0.0023391142505546146,0.9923448867337399
450.9999999999999,0.7481913645955629,0.25323653025683135,1.0014278948523943,-0.0014278948523942514,0.6320301886922298,0.050765580969709165,0.0028684917278037105,0.9909639386054292
451.99999999999994,0.7543299677188644,0.24238629297255912,0.9967162606914235,0.0032837393085764777,0.6439376882679924,0.04789579782539962,0.0040478721304019775,0.9875062890972036
453.00000000000006,0.7550816141201805,0.2428971906938752,0.9979788048140557,0.002021195185944319,0.6444808209496602,0.044710511012331595,0.0047309747096211385,0.9854254813567681
453.9999999999999,0.7632268159471394,0.23612420655056518,0.9993510224977046,0.0006489775022954503,0.6559076714334883,0.04219458109311799,0.005978195970730313,0.9819358706232071
455.00000000000006,0.7623682575553297,0.23429091572142627,0.9966591732767559,0.003340826723244067,0.6548934396622977,0.040080381839876854,0.007125727841858995,0.9784727446224154
