variant_id,case_id,object_name,axis,material_assignment_method,index,center_m,thickness_m,status
axis_x_absolute_interfaces,single_SiO2_79nm,axis_x_absolute_interfaces_01_SiO2,x,object_defined_index,1.426,0.0,7.9e-08,created
axis_x_absolute_interfaces,single_TiO2_45nm,axis_x_absolute_interfaces_01_TiO2,x,object_defined_index,2.535,0.0,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_01_TiO2,x,object_defined_index,2.535,-5.975e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_02_SiO2,x,object_defined_index,1.426,-5.355e-07,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_03_TiO2,x,object_defined_index,2.535,-4.735e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_04_SiO2,x,object_defined_index,1.426,-4.115e-07,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_05_TiO2,x,object_defined_index,2.535,-3.495e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_06_SiO2,x,object_defined_index,1.426,-2.875e-07,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_07_TiO2,x,object_defined_index,2.535,-2.255e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_08_SiO2,x,object_defined_index,1.426,-1.635e-07,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_09_TiO2,x,object_defined_index,2.535,-1.015e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_10_SiO2,x,object_defined_index,1.426,-3.949999999999999e-08,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_11_TiO2,x,object_defined_index,2.535,2.2500000000000016e-08,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_12_SiO2,x,object_defined_index,1.426,8.450000000000002e-08,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_13_TiO2,x,object_defined_index,2.535,1.4650000000000002e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_14_SiO2,x,object_defined_index,1.426,2.0850000000000005e-07,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_15_TiO2,x,object_defined_index,2.535,2.7050000000000005e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_16_SiO2,x,object_defined_index,1.426,3.3250000000000005e-07,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_17_TiO2,x,object_defined_index,2.535,3.9450000000000005e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_18_SiO2,x,object_defined_index,1.426,4.5650000000000004e-07,7.9e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_19_TiO2,x,object_defined_index,2.535,5.185e-07,4.5000000000000006e-08,created
axis_x_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_x_absolute_interfaces_20_SiO2,x,object_defined_index,1.426,5.805e-07,7.9e-08,created
axis_z_absolute_interfaces,single_SiO2_79nm,axis_z_absolute_interfaces_01_SiO2,z,object_defined_index,1.426,0.0,7.9e-08,created
axis_z_absolute_interfaces,single_TiO2_45nm,axis_z_absolute_interfaces_01_TiO2,z,object_defined_index,2.535,0.0,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_01_TiO2,z,object_defined_index,2.535,-5.975e-07,4.5000000000000006e-08,created
axis_z_absolute_interfaces,TiO2_SiO2_10pair_QWinteger453_proxy,axis_z_absolute_interfaces_02_SiO2,z,object_defined_index,1.426,-5.355e-07,7.9e-08,created
