architecture,wavelength_nm,target_phase_deg,geometry_uid,relative_phase_error_deg,global_common_residual_deg
PURE_WITH_INTRINSIC_PARENT,450.0,0,H1C1B_V2_009,0.0,31.137026368040548
PURE_WITH_INTRINSIC_PARENT,450.0,60,H1C1B_V2_009,0.0,31.137026368040548
PURE_WITH_INTRINSIC_PARENT,450.0,120,H1C1B_V2_009,0.0,31.137026368040548
PURE_WITH_INTRINSIC_PARENT,450.0,180,H1C1B_V2_009,0.0,31.137026368040548
PURE_WITH_INTRINSIC_PARENT,450.0,240,H1C1B_V2_009,0.0,31.137026368040548
PURE_WITH_INTRINSIC_PARENT,450.0,300,H1C1B_V2_009,0.0,31.137026368040548
PURE_WITH_INTRINSIC_PARENT,450.5,0,H1C1B_V2_009,0.0,16.625655417847383
PURE_WITH_INTRINSIC_PARENT,450.5,60,H1C1B_V2_009,0.0,16.625655417847383
PURE_WITH_INTRINSIC_PARENT,450.5,120,H1C1B_V2_009,0.0,16.625655417847383
PURE_WITH_INTRINSIC_PARENT,450.5,180,H1C1B_V2_009,0.0,16.625655417847383
PURE_WITH_INTRINSIC_PARENT,450.5,240,H1C1B_V2_009,0.0,16.625655417847383
PURE_WITH_INTRINSIC_PARENT,450.5,300,H1C1B_V2_009,0.0,16.625655417847383
PURE_WITH_INTRINSIC_PARENT,451.0,0,H1C1B_V2_009,0.0,9.384716414494275
PURE_WITH_INTRINSIC_PARENT,451.0,60,H1C1B_V2_009,0.0,9.384716414494275
PURE_WITH_INTRINSIC_PARENT,451.0,120,H1C1B_V2_009,0.0,9.384716414494275
PURE_WITH_INTRINSIC_PARENT,451.0,180,H1C1B_V2_009,0.0,9.384716414494275
PURE_WITH_INTRINSIC_PARENT,451.0,240,H1C1B_V2_009,0.0,9.384716414494275
PURE_WITH_INTRINSIC_PARENT,451.0,300,H1C1B_V2_009,0.0,9.384716414494275
PURE_WITH_INTRINSIC_PARENT,451.5,0,H1C1B_V2_009,0.0,6.513064361317618
PURE_WITH_INTRINSIC_PARENT,451.5,60,H1C1B_V2_009,0.0,6.513064361317618
PURE_WITH_INTRINSIC_PARENT,451.5,120,H1C1B_V2_009,0.0,6.513064361317618
PURE_WITH_INTRINSIC_PARENT,451.5,180,H1C1B_V2_009,0.0,6.513064361317618
PURE_WITH_INTRINSIC_PARENT,451.5,240,H1C1B_V2_009,0.0,6.513064361317618
PURE_WITH_INTRINSIC_PARENT,451.5,300,H1C1B_V2_009,0.0,6.513064361317618
PURE_WITH_INTRINSIC_PARENT,452.0,0,H1C1B_V2_009,0.0,0.0
PURE_WITH_INTRINSIC_PARENT,452.0,60,H1C1B_V2_009,0.0,0.0
PURE_WITH_INTRINSIC_PARENT,452.0,120,H1C1B_V2_009,0.0,0.0
PURE_WITH_INTRINSIC_PARENT,452.0,180,H1C1B_V2_009,0.0,0.0
PURE_WITH_INTRINSIC_PARENT,452.0,240,H1C1B_V2_009,0.0,0.0
PURE_WITH_INTRINSIC_PARENT,452.0,300,H1C1B_V2_009,0.0,0.0
PURE_WITH_INTRINSIC_PARENT,452.5,0,H1C1B_V2_009,0.0,-20.51943285956719
PURE_WITH_INTRINSIC_PARENT,452.5,60,H1C1B_V2_009,0.0,-20.51943285956719
PURE_WITH_INTRINSIC_PARENT,452.5,120,H1C1B_V2_009,0.0,-20.51943285956719
PURE_WITH_INTRINSIC_PARENT,452.5,180,H1C1B_V2_009,0.0,-20.51943285956719
PURE_WITH_INTRINSIC_PARENT,452.5,240,H1C1B_V2_009,0.0,-20.51943285956719
PURE_WITH_INTRINSIC_PARENT,452.5,300,H1C1B_V2_009,0.0,-20.51943285956719
PURE_WITH_INTRINSIC_PARENT,453.0,0,H1C1B_V2_009,0.0,12.392298852454868
PURE_WITH_INTRINSIC_PARENT,453.0,60,H1C1B_V2_009,0.0,12.392298852454868
PURE_WITH_INTRINSIC_PARENT,453.0,120,H1C1B_V2_009,0.0,12.392298852454868
PURE_WITH_INTRINSIC_PARENT,453.0,180,H1C1B_V2_009,0.0,12.392298852454868
PURE_WITH_INTRINSIC_PARENT,453.0,240,H1C1B_V2_009,0.0,12.392298852454868
PURE_WITH_INTRINSIC_PARENT,453.0,300,H1C1B_V2_009,0.0,12.392298852454868
PURE_WITH_INTRINSIC_PARENT,453.5,0,H1C1B_V2_009,0.0,-14.82434341283522
PURE_WITH_INTRINSIC_PARENT,453.5,60,H1C1B_V2_009,0.0,-14.82434341283522
PURE_WITH_INTRINSIC_PARENT,453.5,120,H1C1B_V2_009,0.0,-14.82434341283522
PURE_WITH_INTRINSIC_PARENT,453.5,180,H1C1B_V2_009,0.0,-14.82434341283522
PURE_WITH_INTRINSIC_PARENT,453.5,240,H1C1B_V2_009,0.0,-14.82434341283522
PURE_WITH_INTRINSIC_PARENT,453.5,300,H1C1B_V2_009,0.0,-14.82434341283522
PURE_WITH_INTRINSIC_PARENT,454.0,0,H1C1B_V2_009,0.0,-23.22711554529775
PURE_WITH_INTRINSIC_PARENT,454.0,60,H1C1B_V2_009,0.0,-23.22711554529775
PURE_WITH_INTRINSIC_PARENT,454.0,120,H1C1B_V2_009,0.0,-23.22711554529775
PURE_WITH_INTRINSIC_PARENT,454.0,180,H1C1B_V2_009,0.0,-23.22711554529775
PURE_WITH_INTRINSIC_PARENT,454.0,240,H1C1B_V2_009,0.0,-23.22711554529775
PURE_WITH_INTRINSIC_PARENT,454.0,300,H1C1B_V2_009,0.0,-23.22711554529775
HYBRID_INTRINSIC_DETOUR,450.0,0,H1C1B_V2_015,2.6251345998199724,3.488712465598468
HYBRID_INTRINSIC_DETOUR,450.0,60,H1C1B_V2_015,2.6251345998199724,3.488712465598468
HYBRID_INTRINSIC_DETOUR,450.0,120,H1C1B_V2_010,-2.6251345998199724,3.488712465598468
HYBRID_INTRINSIC_DETOUR,450.0,180,H1C1B_V2_010,-2.6251345998199724,3.488712465598468
HYBRID_INTRINSIC_DETOUR,450.0,240,H1C1B_V2_010,-2.6251345998199724,3.488712465598468
HYBRID_INTRINSIC_DETOUR,450.0,300,H1C1B_V2_015,2.6251345998199724,3.488712465598468
HYBRID_INTRINSIC_DETOUR,450.5,0,H1C1B_V2_015,1.9895004186765846,-2.0601318035091944
HYBRID_INTRINSIC_DETOUR,450.5,60,H1C1B_V2_015,1.9895004186765846,-2.0601318035091944
HYBRID_INTRINSIC_DETOUR,450.5,120,H1C1B_V2_010,-1.9895004186765846,-2.0601318035091944
HYBRID_INTRINSIC_DETOUR,450.5,180,H1C1B_V2_010,-1.9895004186765846,-2.0601318035091944
HYBRID_INTRINSIC_DETOUR,450.5,240,H1C1B_V2_010,-1.9895004186765846,-2.0601318035091944
HYBRID_INTRINSIC_DETOUR,450.5,300,H1C1B_V2_015,1.9895004186765846,-2.0601318035091944
HYBRID_INTRINSIC_DETOUR,451.0,0,H1C1B_V2_015,-5.239331998293892,-13.034214001731073
HYBRID_INTRINSIC_DETOUR,451.0,60,H1C1B_V2_015,-5.239331998293892,-13.034214001731073
HYBRID_INTRINSIC_DETOUR,451.0,120,H1C1B_V2_010,5.239331998293892,-13.034214001731073
HYBRID_INTRINSIC_DETOUR,451.0,180,H1C1B_V2_010,5.239331998293892,-13.034214001731073
HYBRID_INTRINSIC_DETOUR,451.0,240,H1C1B_V2_010,5.239331998293892,-13.034214001731073
HYBRID_INTRINSIC_DETOUR,451.0,300,H1C1B_V2_015,-5.239331998293892,-13.034214001731073
HYBRID_INTRINSIC_DETOUR,451.5,0,H1C1B_V2_015,11.61852970197441,-3.1367136563314375
HYBRID_INTRINSIC_DETOUR,451.5,60,H1C1B_V2_015,11.61852970197441,-3.1367136563314375
HYBRID_INTRINSIC_DETOUR,451.5,120,H1C1B_V2_010,-11.61852970197441,-3.1367136563314375
HYBRID_INTRINSIC_DETOUR,451.5,180,H1C1B_V2_010,-11.61852970197441,-3.1367136563314375
HYBRID_INTRINSIC_DETOUR,451.5,240,H1C1B_V2_010,-11.61852970197441,-3.1367136563314375
HYBRID_INTRINSIC_DETOUR,451.5,300,H1C1B_V2_015,11.61852970197441,-3.1367136563314375
HYBRID_INTRINSIC_DETOUR,452.0,0,H1C1B_V2_015,0.0,-24.000000000000004
HYBRID_INTRINSIC_DETOUR,452.0,60,H1C1B_V2_015,0.0,-24.000000000000004
HYBRID_INTRINSIC_DETOUR,452.0,120,H1C1B_V2_010,0.0,-24.000000000000004
HYBRID_INTRINSIC_DETOUR,452.0,180,H1C1B_V2_010,0.0,-24.000000000000004
HYBRID_INTRINSIC_DETOUR,452.0,240,H1C1B_V2_010,0.0,-24.000000000000004
HYBRID_INTRINSIC_DETOUR,452.0,300,H1C1B_V2_015,0.0,-24.000000000000004
HYBRID_INTRINSIC_DETOUR,452.5,0,H1C1B_V2_015,-18.382675165810014,-37.53332711683149
HYBRID_INTRINSIC_DETOUR,452.5,60,H1C1B_V2_015,-18.382675165810014,-37.53332711683149
HYBRID_INTRINSIC_DETOUR,452.5,120,H1C1B_V2_010,18.382675165810014,-37.53332711683149
HYBRID_INTRINSIC_DETOUR,452.5,180,H1C1B_V2_010,18.382675165810014,-37.53332711683149
HYBRID_INTRINSIC_DETOUR,452.5,240,H1C1B_V2_010,18.382675165810014,-37.53332711683149
HYBRID_INTRINSIC_DETOUR,452.5,300,H1C1B_V2_015,-18.382675165810014,-37.53332711683149
HYBRID_INTRINSIC_DETOUR,453.0,0,H1C1B_V2_015,50.12597125948855,20.607717072008548
HYBRID_INTRINSIC_DETOUR,453.0,60,H1C1B_V2_015,50.12597125948855,20.607717072008548
HYBRID_INTRINSIC_DETOUR,453.0,120,H1C1B_V2_010,-50.12597125948855,20.607717072008548
HYBRID_INTRINSIC_DETOUR,453.0,180,H1C1B_V2_010,-50.12597125948855,20.607717072008548
HYBRID_INTRINSIC_DETOUR,453.0,240,H1C1B_V2_010,-50.12597125948855,20.607717072008548
HYBRID_INTRINSIC_DETOUR,453.0,300,H1C1B_V2_015,50.12597125948855,20.607717072008548
HYBRID_INTRINSIC_DETOUR,453.5,0,H1C1B_V2_015,38.909348845169205,-1.2665447083656134
HYBRID_INTRINSIC_DETOUR,453.5,60,H1C1B_V2_015,38.909348845169205,-1.2665447083656134
HYBRID_INTRINSIC_DETOUR,453.5,120,H1C1B_V2_010,-38.909348845169205,-1.2665447083656134
HYBRID_INTRINSIC_DETOUR,453.5,180,H1C1B_V2_010,-38.909348845169205,-1.2665447083656134
HYBRID_INTRINSIC_DETOUR,453.5,240,H1C1B_V2_010,-38.909348845169205,-1.2665447083656134
HYBRID_INTRINSIC_DETOUR,453.5,300,H1C1B_V2_015,38.909348845169205,-1.2665447083656134
HYBRID_INTRINSIC_DETOUR,454.0,0,H1C1B_V2_015,40.49314257913554,-17.12920247385435
HYBRID_INTRINSIC_DETOUR,454.0,60,H1C1B_V2_015,40.49314257913554,-17.12920247385435
HYBRID_INTRINSIC_DETOUR,454.0,120,H1C1B_V2_010,-40.49314257913554,-17.12920247385435
HYBRID_INTRINSIC_DETOUR,454.0,180,H1C1B_V2_010,-40.49314257913554,-17.12920247385435
HYBRID_INTRINSIC_DETOUR,454.0,240,H1C1B_V2_010,-40.49314257913554,-17.12920247385435
HYBRID_INTRINSIC_DETOUR,454.0,300,H1C1B_V2_015,40.49314257913554,-17.12920247385435
