candidate_id,wavelength_nm,source_position_label,cone_half_angle_deg,R_power_incoh,L_power_incoh,L_fraction_incoh,DoCP_RminusL_incoh,total_cone_power_incoh,status,data_source,position_id
BW2_J1J2_D194_T90_PSI97_H525,453.0,center,5.0,1.2573794090242595e-12,5.454099232527259e-12,0.8126524010313193,-0.6253048020626387,6.711478641551518e-12,ok,reused_existing_453_data,
BW2_J1J2_D194_T90_PSI97_H525,453.0,center,10.0,5.451983927734824e-12,2.235738624958593e-11,0.8039515496765528,-0.6079030993531056,2.7809370177320753e-11,ok,reused_existing_453_data,
BW2_J1J2_D194_T90_PSI97_H525,453.0,center,20.0,2.685031069825802e-11,8.318962523174102e-11,0.7559948534017812,-0.5119897068035624,1.1003993592999904e-10,ok,reused_existing_453_data,
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,5.0,1.3786521782885632e-12,5.082510784300433e-12,0.7866247630231361,-0.5732495260462722,6.461162962588996e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,5.0,1.4636746565357037e-12,5.0621126183431425e-12,0.7757091068275931,-0.5514182136551862,6.5257872748788466e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,444.0,center,5.0,1.5086451816244885e-12,5.031870726605995e-12,0.769338504363848,-0.538677008727696,6.540515908230483e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,446.0,center,5.0,1.5290282104430928e-12,5.095012483690358e-12,0.7691698645817093,-0.5383397291634187,6.624040694133451e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,5.0,1.2635802855935891e-12,5.404590468328157e-12,0.8105057095530374,-0.6210114191060747,6.668170753921746e-12,ok,reused_existing_453_data,
BW2_J1J2_D194_T90_PSI99_H525,455.0,center,5.0,1.1155085854375564e-12,5.1853751171625924e-12,0.822959978617408,-0.6459199572348159,6.300883702600148e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,456.0,center,5.0,1.0715076239326876e-12,5.149838997867745e-12,0.8277691810036784,-0.6555383620073566,6.221346621800433e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,458.0,center,5.0,9.798193823597403e-13,5.1214352846320575e-12,0.8394069030324812,-0.6788138060649624,6.101254666991798e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,460.0,center,5.0,9.093928481017252e-13,5.12931896100215e-12,0.8494061520321705,-0.698812304064341,6.038711809103876e-12,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,10.0,5.926887064154224e-12,2.1529578350907465e-11,0.7841351035336496,-0.568270207067299,2.745646541506169e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,10.0,6.1121302413514655e-12,2.141288845886192e-11,0.7779427397335763,-0.5558854794671525,2.7525018700213385e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,444.0,center,10.0,6.208795529329626e-12,2.1266951104755412e-11,0.7740263217587213,-0.5480526435174428,2.747574663408504e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,446.0,center,10.0,6.195082697528156e-12,2.1423702626301255e-11,0.7756931514224467,-0.5513863028448934,2.761878532382941e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,10.0,5.4478710058525905e-12,2.2317057398864877e-11,0.8037858795657129,-0.6075717591314259,2.7764928404717467e-11,ok,reused_existing_453_data,
BW2_J1J2_D194_T90_PSI99_H525,455.0,center,10.0,4.979025636851031e-12,2.1515646191689938e-11,0.8120744552311286,-0.6241489104622573,2.6494671828540968e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,456.0,center,10.0,4.844742353713348e-12,2.141217809875664e-11,0.8154870308388505,-0.6309740616777012,2.625692045246999e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,458.0,center,10.0,4.575595652782994e-12,2.127330764054693e-11,0.8229868555404559,-0.6459737110809118,2.5848903293329926e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,460.0,center,10.0,4.349956541091589e-12,2.115836375933213e-11,0.8294691108681377,-0.6589382217362754,2.550832030042372e-11,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,20.0,2.652605968586856e-11,8.245971391477501e-11,0.7566098876072764,-0.513219775214553,1.0898577360064357e-10,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,20.0,2.6645004378342894e-11,8.195999543740498e-11,0.7546613468666539,-0.5093226937333076,1.0860499981574787e-10,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,444.0,center,20.0,2.6926949015324433e-11,8.118110467512587e-11,0.7509255962333266,-0.5018511924666531,1.081080536904503e-10,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,446.0,center,20.0,2.6987735420334116e-11,8.138867960568542e-11,0.7509814712559484,-0.5019629425118968,1.0837641502601953e-10,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,20.0,2.6629887673050484e-11,8.397496112716709e-11,0.7592339941519987,-0.5184679883039974,1.1060484880021757e-10,ok,reused_existing_453_data,
BW2_J1J2_D194_T90_PSI99_H525,455.0,center,20.0,2.545765036514702e-11,8.143636526602459e-11,0.7618421366731473,-0.5236842733462946,1.0689401563117161e-10,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,456.0,center,20.0,2.5204741958038683e-11,8.126143569281527e-11,0.7632605723791895,-0.5265211447583792,1.0646617765085396e-10,ok,new_spectral_run,center
BW2_J1J2_D194_T90_PSI99_H525,458.0,center,20.0,2.477786718961759e-11,8.099467979656786e-11,0.7657438730973006,-0.5314877461946013,1.0577254698618545e-10,ok,new_spectral_run,center
