candidate_id,wavelength_nm,source_position_label,position_id,source_x_nm,source_y_nm,dipole_axis,result_csv,cone_half_angle_deg,R_power,L_power,L_fraction,DoCP_RminusL,total_cone_power,peak_abs_theta_deg,status
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,9.086827393074486e-13,3.4878830018757867e-12,0.7933198790147291,-0.5866397580294581,4.396565741183235e-12,14.32290283600598,ok
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,3.792875632307588e-12,1.513083729938701e-11,0.7995702193328538,-0.5991404386657075,1.8923712931694597e-11,14.32290283600598,ok
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.4231785380740103e-11,6.044798629051534e-11,0.8094291792509862,-0.6188583585019723,7.467977167125544e-11,14.32290283600598,ok
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,4.699694389811145e-13,1.5946277824246461e-12,0.7723674941976734,-0.5447349883953465,2.0645972214057604e-12,77.23767601290064,ok
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,2.134011431846636e-12,6.398741051520455e-12,0.7499035116738159,-0.49980702334763183,8.532752483367092e-12,77.23767601290064,ok
BW2_J1J2_D194_T90_PSI99_H525,440.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.2294274305128458e-11,2.2011727624259662e-11,0.6416290557426744,-0.28325811148534863,3.4306001929388116e-11,77.23767601290064,ok
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,9.68645151166407e-13,3.298501867654939e-12,0.7729993490043936,-0.5459986980087871,4.267147018821346e-12,13.181416539512536,ok
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,3.89570457687355e-12,1.4542651194403287e-11,0.7887173549963574,-0.5774347099927147,1.8438355771276836e-11,13.181416539512536,ok
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.3989225003378942e-11,5.905929646905177e-11,0.8084940704972569,-0.6169881409945135,7.30485214724307e-11,13.181416539512536,ok
BW2_J1J2_D194_T90_PSI99_H525,442.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_center_spectral_boundary_scout\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,4.950295053692967e-13,1.7636107506882034e-12,0.7808285298902004,-0.5616570597804006,2.2586402560575e-12,77.23767601290066,ok
