case_id,position_id,orientation,fdtd_status,result_fsp,notes,candidate_id,wavelength_nm
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_440NM_CENTER_XDIP,center,x,reused,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\440nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_440NM_CENTER_XDIP.fsp,existing_completed_size_fsp:109144529; saved FSP already exists; not rerun,BW2_J1J2_D194_T90_PSI99_H525,440.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_440NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\440nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_440NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,440.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_442NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\442nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_442NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,442.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_442NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\442nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_442NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,442.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_444NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\444nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_444NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,444.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_444NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\444nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_444NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,444.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_446NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\446nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_446NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,446.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_446NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\446nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_446NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,446.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_455NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\455nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_455NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,455.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_455NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_rt\results\BW2_J1J2_D194_T90_PSI99_H525\455nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_455NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,455.0
