wavelength_nm,T_total,R_total,closure,residual,T_path_B,R_path_B,T_path_C,R_path_C
445.0,0.7854676321032746,0.2110780178905813,0.996545649993856,0.0034543500061440524,0.7854676321032745,0.21107801789058142,0.7854676321032745,0.21107801789058142
445.99999999999994,0.7871431455238945,0.20958900311346024,0.9967321486373548,0.0032678513626452355,0.7871431455238954,0.2095890031134603,0.7871431455238954,0.2095890031134603
446.99999999999994,0.7781491053329134,0.2169664981539021,0.9951156034868155,0.004884396513184536,0.7781491053329128,0.21696649815390184,0.7781491053329128,0.21696649815390184
448.00000000000006,0.7869937185498883,0.21553880140970672,1.002532519959595,-0.0025325199595950254,0.7869937185498882,0.21553880140970702,0.7869937185498882,0.21553880140970702
449.0,0.5897838387979802,0.32745908697327863,0.9172429257712589,0.08275707422874112,0.5897838387979806,0.3274590869732787,0.5897838387979806,0.3274590869732787
450.0,0.5703648932644687,0.3864821448017938,0.9568470380662626,0.043152961933737466,0.5703648932644688,0.3864821448017938,0.5703648932644688,0.3864821448017938
450.9999999999999,0.7588533425545482,0.25122566058842416,1.0100790031429723,-0.010079003142972331,0.7588533425545477,0.2512256605884243,0.7588533425545477,0.2512256605884243
451.99999999999994,0.7491595583534932,0.2411526206707171,0.9903121790242103,0.009687820975789657,0.7491595583534942,0.24115262067071697,0.7491595583534942,0.24115262067071697
453.00000000000006,0.762931707187793,0.23939434768935275,1.0023260548771458,-0.0023260548771457668,0.7629317071877927,0.23939434768935278,0.7629317071877927,0.23939434768935278
453.9999999999999,0.7626354509426144,0.23282152106027293,0.9954569720028874,0.0045430279971126475,0.7626354509426136,0.23282152106027257,0.7626354509426136,0.23282152106027257
455.00000000000006,0.7666415777198577,0.23191516265919537,0.9985567403790532,0.0014432596209468795,0.766641577719858,0.23191516265919546,0.766641577719858,0.23191516265919543
