model,variant,group,value,eta_plus1_mae
LF_paired_shared_contrast,constrained,wavelength,446,0.08926329984922944
LF_paired_shared_contrast,constrained,wavelength,447,0.08642488741637193
LF_paired_shared_contrast,constrained,wavelength,448,0.1048244594748042
LF_paired_shared_contrast,constrained,wavelength,449,0.10872023497915408
LF_paired_shared_contrast,constrained,wavelength,450,0.08342727643440137
LF_paired_shared_contrast,constrained,wavelength,451,0.08282999433120063
LF_paired_shared_contrast,constrained,wavelength,452,0.08493605547675996
LF_paired_shared_contrast,constrained,wavelength,453,0.08080765415164787
LF_paired_shared_contrast,constrained,wavelength,454,0.07957427673787297
LF_paired_shared_contrast,constrained,wavelength,455,0.08157226226489799
corrected_residual_mlp,raw,polarization,p,0.15563397951278352
corrected_residual_mlp,raw,polarization,s,0.11769686706779926
corrected_residual_mlp,raw,wavelength,445,0.13635871234585187
corrected_residual_mlp,raw,wavelength,446,0.1417713488742258
corrected_residual_mlp,raw,wavelength,447,0.1270977461620425
corrected_residual_mlp,raw,wavelength,448,0.14325814286831104
corrected_residual_mlp,raw,wavelength,449,0.14363162778028887
corrected_residual_mlp,raw,wavelength,450,0.1318233437338854
corrected_residual_mlp,raw,wavelength,451,0.12410512447507052
corrected_residual_mlp,raw,wavelength,452,0.12310471710233134
corrected_residual_mlp,raw,wavelength,453,0.12898322137103094
corrected_residual_mlp,raw,wavelength,454,0.1354808469667042
corrected_residual_mlp,raw,wavelength,455,0.1677048245134628
corrected_residual_mlp,constrained,polarization,p,0.10934496406062517
corrected_residual_mlp,constrained,polarization,s,0.08312007598056398
corrected_residual_mlp,constrained,wavelength,445,0.10198108931389178
corrected_residual_mlp,constrained,wavelength,446,0.09906101666174344
corrected_residual_mlp,constrained,wavelength,447,0.0926055227905266
corrected_residual_mlp,constrained,wavelength,448,0.10237944612911706
corrected_residual_mlp,constrained,wavelength,449,0.10307652195546464
corrected_residual_mlp,constrained,wavelength,450,0.08382919715386497
corrected_residual_mlp,constrained,wavelength,451,0.08636238936846694
corrected_residual_mlp,constrained,wavelength,452,0.09199628454765915
corrected_residual_mlp,constrained,wavelength,453,0.09615001869465759
corrected_residual_mlp,constrained,wavelength,454,0.09775709421232788
corrected_residual_mlp,constrained,wavelength,455,0.10335913939882022
M5_direct_MLP_frozen,raw,polarization,p,0.2514319130260668
M5_direct_MLP_frozen,raw,polarization,s,0.2513896978616241
M5_direct_MLP_frozen,raw,wavelength,445,0.27516543712971564
M5_direct_MLP_frozen,raw,wavelength,446,0.2725828785931469
M5_direct_MLP_frozen,raw,wavelength,447,0.26969688460247254
M5_direct_MLP_frozen,raw,wavelength,448,0.2753710689089774
