model,order_profile,eta_plus1,ranking,worst_geometry,negative_power,energy,ps_contrast,paired_geometry_improvement_count,R_T_quantitative,promotion_pass
LF_global_bias,True,True,True,True,True,True,False,12,True,False
LF_wavelength_polarization_affine,False,True,True,False,True,True,False,6,True,False
LF_ridge_residual,False,True,True,False,True,True,False,6,True,False
LF_paired_shared_contrast,False,True,True,False,True,True,False,5,True,False
corrected_residual_mlp,False,True,True,False,True,True,False,2,True,False
M5_direct_MLP_frozen,False,False,False,False,True,True,False,4,True,False
M5_ResMLP_frozen,False,False,False,False,True,True,False,4,True,False
M5_CircularCNN_frozen,False,False,False,False,True,False,False,6,True,False
M5B_corrected_no_refit_residual_mlp,False,False,False,False,True,True,False,7,True,False
