model,variant,order_profile_mae,order_profile_rmse,eta_plus1_mae,eta_plus1_rmse,eta_0_mae,eta_minus1_mae,R_mae,T_mae,negative_power_rate,energy_residual_mae,bookkeeping_max,ranking_spearman,top3_recall,top5_recall,true_champion_predicted_rank,near_champion_retrieval,worst_geometry_mae,worst_geometry,ps_contrast_mae,P_eta_plus1_mae,S_eta_plus1_mae
LF_only_frozen,raw,0.04290870545788542,0.08091040992168103,0.10621356384419711,0.1404896600480872,0.06972417409311067,0.01444062577282774,nan,0.19949338220085125,0.0,nan,0.0,0.9340659340659341,0.6666666666666666,1.0,3,1.0,0.07859126194206575,K6X_D140_D160_D165_D170_D180_D190,0.09582464431120208,0.12208499274388125,0.09034213494451301
LF_only_frozen,constrained,0.04290870319275715,0.080910405944652,0.10621355475996842,0.14048964843051798,0.06972416996998289,0.0144406254026263,nan,0.1994933615586542,0.0,nan,0.0,0.9340659340659341,0.6666666666666666,1.0,3,1.0,0.07859126087229319,K6X_D140_D160_D165_D170_D180_D190,0.09582464431120208,0.12208498391637568,0.09034212560356114
LF_global_bias,raw,0.0450079112149153,0.0734121037847719,0.09622082406953998,0.11685409888873463,0.07858348707377534,0.015745576460875727,0.09732988003533985,0.09868732820040377,0.0,0.0073181166973401044,0.0,0.9340659340659341,0.6666666666666666,1.0,3,1.0,0.07420186680578557,K6X_D120_D145_D200_D215_D220_D230,0.09582464431120208,0.10960993350307117,0.0828317146360088
LF_global_bias,constrained,0.033758079818421736,0.06329515569065197,0.07187850636753772,0.09522062477225209,0.053577591139763965,0.014361958245529601,0.09732988003533985,0.09979743203966786,0.0,4.9688303200007006e-17,0.0,0.9560439560439561,0.6666666666666666,1.0,1,1.0,0.07344917822257303,K6X_D120_D145_D200_D215_D220_D230,0.09582464431120208,0.0759797852622267,0.06777722747284873
LF_wavelength_polarization_affine,raw,0.07113732349262408,0.14754375509716858,0.10178081203688524,0.12910883748150545,0.16216563418332053,0.08168273582717812,0.12731088575824762,0.16919820164465035,0.0,0.0880838156228293,0.0,0.8351648351648352,0.6666666666666666,1.0,5,1.0,0.3333473073864717,K6X_D100_D200_D205_D210_D215_D220,0.09957531787580874,0.10184829843249302,0.10171332564127748
LF_wavelength_polarization_affine,constrained,0.045693868924643895,0.09138812740793108,0.07404109837756707,0.09805950311717461,0.11705751236608285,0.04121267706822048,0.12731088575824762,0.13542790401561985,0.0,0.008507190897929543,0.0,0.9615384615384615,0.6666666666666666,1.0,4,1.0,0.09365054988374193,K6X_D100_D200_D205_D210_D215_D220,0.10177780362289038,0.08403444533051291,0.06404775142462125
LF_ridge_residual,raw,0.07103439504425238,0.14770816496098926,0.10172329828794943,0.12915544555797742,0.16224170956473827,0.08137986286433145,0.12731088575824762,0.16919814399259725,0.0,0.08808377914547015,0.0,0.8351648351648352,0.6666666666666666,1.0,5,1.0,0.3343659863696229,K6X_D100_D200_D205_D210_D215_D220,0.09957531787580873,0.10201736301987324,0.1014292335560256
LF_ridge_residual,constrained,0.04559381457854602,0.09126369573806017,0.07374221340371667,0.09791814935501163,0.11680212952484735,0.0411008768315987,0.12731088575824762,0.13542864146258274,0.0,0.008506433503360774,0.0,0.9615384615384615,0.6666666666666666,1.0,4,1.0,0.09353544235835948,K6X_D100_D200_D205_D210_D215_D220,0.10174084131377285,0.08394476740278879,0.06353965940464455
LF_paired_shared_contrast,raw,0.08165261671528061,0.1645377883224288,0.1415731520809323,0.19905198815294053,0.17376037199606215,0.0803352566391774,0.12641789314257165,0.16519180577476256,0.004807692307692308,0.08685662292683505,0.0,0.8351648351648352,0.6666666666666666,1.0,5,1.0,0.3272699068527824,K6X_D100_D200_D205_D210_D215_D220,0.24828676046451026,0.166430728008084,0.11671557615378059
LF_paired_shared_contrast,constrained,0.05164242100896486,0.09944004265836016,0.08836070333584235,0.11923026301713774,0.13180554302281802,0.040205732112133984,0.125229201657516,0.12658525782363828,0.0,0.012569316257471189,0.0,0.945054945054945,0.6666666666666666,1.0,4,1.0,0.10525114228872323,K6X_D100_D200_D205_D210_D215_D220,0.15664260793884274,0.11434989678812427,0.06237150988356045
corrected_residual_mlp,raw,0.11473655250522984,0.16540119571116127,0.13666542329029138,0.19207805056809787,0.10769840123246692,0.14557407509454864,0.10577125399825897,0.24410861687192276,0.006993006993006993,0.26702926705308894,0.0,0.8791208791208791,0.3333333333333333,1.0,4,1.0,0.20358450072334866,K6X_D100_D140_D145_D155_D225_D230,0.11799011588385715,0.15563397951278352,0.11769686706779926
corrected_residual_mlp,constrained,0.07012354118307147,0.11139594534057899,0.09623252002059457,0.12274436075347697,0.08875169767424781,0.05818277997757129,0.10326843271061788,0.10686075384237433,0.0,0.013246554407443937,0.0,0.8901098901098902,0.6666666666666666,1.0,5,1.0,0.1459281466824988,K6X_D100_D140_D145_D155_D225_D230,0.10053637361068365,0.10934496406062517,0.08312007598056398
M5_direct_MLP_frozen,raw,0.08476329245834313,0.1799440223117024,0.2514108054438455,0.3430619575999742,0.19964481919499705,0.03877826712457981,0.08178340311214263,0.1467585056461689,0.0,0.12878561450979908,0.0,0.510989010989011,0.3333333333333333,0.6,8,1.0,0.22127079724729934,K6X_D100_D110_D115_D220_D225_D230,0.10674184726350973,0.2514319130260668,0.2513896978616241
M5_direct_MLP_frozen,constrained,0.0837999561813406,0.17828492855069725,0.2446558994811581,0.3369136610009777,0.1996395683048222,0.03878404305052333,0.08178340311214263,0.1439409071040849,0.0,0.12042034299471631,0.0,0.510989010989011,0.3333333333333333,0.6,8,1.0,0.22127079724729934,K6X_D100_D110_D115_D220_D225_D230,0.10808017040733431,0.24016926168928324,0.24914253727303287
M5_ResMLP_frozen,raw,0.0830888771065806,0.18208512089982945,0.26339188894728893,0.37248771342221026,0.17752293265144878,0.04161282917653262,0.09454592110817325,0.10104587275203164,0.0,0.08954523445338286,0.0,0.46153846153846156,0.3333333333333333,0.6,7,1.0,0.24085948201677934,K6X_D100_D110_D115_D220_D225_D230,0.11718292234278867,0.2537908279922954,0.2729929499022825
M5_ResMLP_frozen,constrained,0.08263173075537288,0.17899571233341896,0.2553643465647964,0.3603485144598249,0.1857326823894673,0.04112773382268674,0.09454592110817325,0.10508979354368056,0.0,0.026001579726582118,0.0,0.35714285714285715,0.3333333333333333,0.6,9,1.0,0.24020007750080816,K6X_D100_D110_D115_D220_D225_D230,0.12068277715102284,0.23332823196463184,0.27740046116496103
M5_CircularCNN_frozen,raw,0.061685720557285266,0.13785687635010027,0.13345820055421553,0.20345578368858505,0.1706086434452247,0.036999160094608956,0.08062015047511892,0.22143334258847205,0.0,0.22068233270029608,0.0,0.7582417582417583,0.0,0.8,6,1.0,0.1369930854011551,K6X_D100_D140_D145_D155_D225_D230,0.1019501558623754,0.13481950494463332,0.13209689616379777
M5_CircularCNN_frozen,constrained,0.061355953234965996,0.13673283878763162,0.12820881737560824,0.20012471009300004,0.17331680996190338,0.03702684871710448,0.08062015047511892,0.22339483374567431,0.0,0.1934861079879268,0.0,0.7857142857142857,0.3333333333333333,0.8,6,1.0,0.1361741866317957,K6X_D100_D140_D145_D155_D225_D230,0.09971923774713556,0.1264471600910724,0.12997047466014408
M5B_corrected_no_refit_residual_mlp,raw,0.059898191045734024,0.11644731653454113,0.14731592369530458,0.22087227274814503,0.12342071439919196,0.036953919684513746,0.08037612926294405,0.09495340407536905,0.0,0.052726347036880554,0.0,0.8241758241758241,0.3333333333333333,1.0,5,1.0,0.17396165897757213,K6X_D200_D205_D215_D220_D225_D230,0.15188076251083862,0.16487409197013933,0.1297577554204698
M5B_corrected_no_refit_residual_mlp,constrained,0.052768260163301564,0.10261365981358217,0.12487372217230261,0.17648017829698343,0.12241137318953169,0.0286010017648814,0.08037612926294405,0.08536891864661253,0.0,0.019428360909000405,0.0,0.8626373626373626,0.6666666666666666,1.0,4,1.0,0.14089945070192972,K6X_D200_D205_D215_D220_D225_D230,0.13674591069566858,0.13307617330508362,0.11667127103952156
