model,variant,ranking_spearman,top3_recall,top5_recall,true_champion_predicted_rank,near_champion_retrieval
LF_only_frozen,raw,0.9340659340659341,0.6666666666666666,1.0,3,1.0
LF_only_frozen,constrained,0.9340659340659341,0.6666666666666666,1.0,3,1.0
LF_global_bias,raw,0.9340659340659341,0.6666666666666666,1.0,3,1.0
LF_global_bias,constrained,0.9560439560439561,0.6666666666666666,1.0,1,1.0
LF_wavelength_polarization_affine,raw,0.8351648351648352,0.6666666666666666,1.0,5,1.0
LF_wavelength_polarization_affine,constrained,0.9615384615384615,0.6666666666666666,1.0,4,1.0
LF_ridge_residual,raw,0.8351648351648352,0.6666666666666666,1.0,5,1.0
LF_ridge_residual,constrained,0.9615384615384615,0.6666666666666666,1.0,4,1.0
LF_paired_shared_contrast,raw,0.8351648351648352,0.6666666666666666,1.0,5,1.0
LF_paired_shared_contrast,constrained,0.945054945054945,0.6666666666666666,1.0,4,1.0
corrected_residual_mlp,raw,0.8791208791208791,0.3333333333333333,1.0,4,1.0
corrected_residual_mlp,constrained,0.8901098901098902,0.6666666666666666,1.0,5,1.0
M5_direct_MLP_frozen,raw,0.510989010989011,0.3333333333333333,0.6,8,1.0
M5_direct_MLP_frozen,constrained,0.510989010989011,0.3333333333333333,0.6,8,1.0
M5_ResMLP_frozen,raw,0.46153846153846156,0.3333333333333333,0.6,7,1.0
M5_ResMLP_frozen,constrained,0.35714285714285715,0.3333333333333333,0.6,9,1.0
M5_CircularCNN_frozen,raw,0.7582417582417583,0.0,0.8,6,1.0
M5_CircularCNN_frozen,constrained,0.7857142857142857,0.3333333333333333,0.8,6,1.0
M5B_corrected_no_refit_residual_mlp,raw,0.8241758241758241,0.3333333333333333,1.0,5,1.0
M5B_corrected_no_refit_residual_mlp,constrained,0.8626373626373626,0.6666666666666666,1.0,4,1.0
