model,variant,geometry_id,order_profile_mae
LF_only_frozen,raw,K6X_D100_D105_D115_D120_D125_D130,0.015052012145008209
LF_only_frozen,raw,K6X_D100_D110_D115_D220_D225_D230,0.03336736359715758
LF_only_frozen,raw,K6X_D100_D115_D130_D145_D155_D185,0.02489510472016523
LF_only_frozen,raw,K6X_D100_D130_D135_D155_D160_D225,0.040759035139760945
LF_only_frozen,raw,K6X_D100_D140_D145_D155_D225_D230,0.04974727503854652
LF_only_frozen,raw,K6X_D100_D200_D205_D210_D215_D220,0.05801455823637903
LF_only_frozen,raw,K6X_D110_D125_D135_D150_D175_D190,0.03373226178707474
LF_only_frozen,raw,K6X_D120_D125_D180_D185_D190_D195,0.027297120878768746
LF_only_frozen,raw,K6X_D120_D145_D200_D215_D220_D230,0.07451680346832969
LF_only_frozen,raw,K6X_D125_D135_D150_D175_D190_D210,0.036332746429062764
LF_only_frozen,raw,K6X_D130_D145_D155_D180_D195_D230,0.02484744620002528
LF_only_frozen,raw,K6X_D140_D160_D165_D170_D180_D190,0.07859126194206575
LF_only_frozen,raw,K6X_D200_D205_D215_D220_D225_D230,0.06066018137016598
LF_only_frozen,constrained,K6X_D100_D105_D115_D120_D125_D130,0.015052008926903058
LF_only_frozen,constrained,K6X_D100_D110_D115_D220_D225_D230,0.033367361226671305
LF_only_frozen,constrained,K6X_D100_D115_D130_D145_D155_D185,0.024895103148945077
LF_only_frozen,constrained,K6X_D100_D130_D135_D155_D160_D225,0.040759032037882885
LF_only_frozen,constrained,K6X_D100_D140_D145_D155_D225_D230,0.04974727424317022
LF_only_frozen,constrained,K6X_D100_D200_D205_D210_D215_D220,0.058014557263036844
LF_only_frozen,constrained,K6X_D110_D125_D135_D150_D175_D190,0.033732257937120355
LF_only_frozen,constrained,K6X_D120_D125_D180_D185_D190_D195,0.027297118496409645
LF_only_frozen,constrained,K6X_D120_D145_D200_D215_D220_D230,0.0745168022292039
LF_only_frozen,constrained,K6X_D125_D135_D150_D175_D190_D210,0.036332741280658463
LF_only_frozen,constrained,K6X_D130_D145_D155_D180_D195_D230,0.02484744338230821
LF_only_frozen,constrained,K6X_D140_D160_D165_D170_D180_D190,0.07859126087229319
LF_only_frozen,constrained,K6X_D200_D205_D215_D220_D225_D230,0.060660180461239846
LF_global_bias,raw,K6X_D100_D105_D115_D120_D125_D130,0.02745534866807996
LF_global_bias,raw,K6X_D100_D110_D115_D220_D225_D230,0.035624190791361296
LF_global_bias,raw,K6X_D100_D115_D130_D145_D155_D185,0.032766128966709406
LF_global_bias,raw,K6X_D100_D130_D135_D155_D160_D225,0.041013651023397865
LF_global_bias,raw,K6X_D100_D140_D145_D155_D225_D230,0.04169814779054984
LF_global_bias,raw,K6X_D100_D200_D205_D210_D215_D220,0.052795918667401125
LF_global_bias,raw,K6X_D110_D125_D135_D150_D175_D190,0.041363811303380106
LF_global_bias,raw,K6X_D120_D125_D180_D185_D190_D195,0.024131295834864806
LF_global_bias,raw,K6X_D120_D145_D200_D215_D220_D230,0.07420186680578557
LF_global_bias,raw,K6X_D125_D135_D150_D175_D190_D210,0.04309434818604035
LF_global_bias,raw,K6X_D130_D145_D155_D180_D195_D230,0.03210863446592964
LF_global_bias,raw,K6X_D140_D160_D165_D170_D180_D190,0.07381446748601296
LF_global_bias,raw,K6X_D200_D205_D215_D220_D225_D230,0.06503503580438597
LF_global_bias,constrained,K6X_D100_D105_D115_D120_D125_D130,0.028388435969544355
LF_global_bias,constrained,K6X_D100_D110_D115_D220_D225_D230,0.018546010693064045
LF_global_bias,constrained,K6X_D100_D115_D130_D145_D155_D185,0.018134193120293688
LF_global_bias,constrained,K6X_D100_D130_D135_D155_D160_D225,0.02190794422728567
LF_global_bias,constrained,K6X_D100_D140_D145_D155_D225_D230,0.03788172451823386
LF_global_bias,constrained,K6X_D100_D200_D205_D210_D215_D220,0.04318965454105782
LF_global_bias,constrained,K6X_D110_D125_D135_D150_D175_D190,0.022212076591351753
LF_global_bias,constrained,K6X_D120_D125_D180_D185_D190_D195,0.022500059075836003
LF_global_bias,constrained,K6X_D120_D145_D200_D215_D220_D230,0.07344917822257303
LF_global_bias,constrained,K6X_D125_D135_D150_D175_D190_D210,0.014581549993994847
