case_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_layer_count,bottom_layer_count,fdtd_dimension,fdtd_x_span_um,fdtd_y_min_um,fdtd_y_max_um,device_width_um,dbr_lateral_span_um,bottom_dbr_top_equals_cavity_bottom,top_dbr_bottom_equals_cavity_top,geometry_pass
R2_4D6_D5_BASE_13461_453_xm1p40um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xm1p05um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xm0p70um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xm0p35um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xp0p00um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xp0p35um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xp0p70um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xp1p05um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
R2_4D6_D5_BASE_13461_453_xp1p40um_xdipole,10,12,182.0,0.0,113.0,20,25,2D,20.0,-2.5709999999999997,2.495,3.0,8.0,True,True,True
