case_id,source_x_um,source_y_nm,dipole_orientation,theta_requested_deg,phi_requested_deg,theta_readback_deg,phi_readback_deg,physical_x_dipole_verified,source_inside_cavity_x,source_inside_cavity_y,source_inside_cavity
R2_4D6_D5_BASE_13461_453_xm1p40um_xdipole,-1.4,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xm1p05um_xdipole,-1.05,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xm0p70um_xdipole,-0.7,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xm0p35um_xdipole,-0.35,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xp0p00um_xdipole,0.0,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xp0p35um_xdipole,0.35,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xp0p70um_xdipole,0.7,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xp1p05um_xdipole,1.05,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
R2_4D6_D5_BASE_13461_453_xp1p40um_xdipole,1.4,91.0,x,90.0,0.0,90.0,0.0,True,True,True,True
