case_id,candidate_id,role,wavelength_nm,source_x_um,dipole_orientation,theta_deg,phi_deg,fsp_path,status,setup_only,solved
R2_4D6_D5_BASE_13461_453_xm1p40um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,-1.4,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xm1p40um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xm1p05um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,-1.05,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xm1p05um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xm0p70um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,-0.7,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xm0p70um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xm0p35um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,-0.35,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xm0p35um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xp0p00um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,0.0,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xp0p00um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xp0p35um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,0.35,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xp0p35um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xp0p70um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,0.7,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xp0p70um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xp1p05um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,1.05,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xp1p05um_xdipole_setup_only.fsp,setup_only_saved,True,False
R2_4D6_D5_BASE_13461_453_xp1p40um_xdipole,D5_BASE_13461,D5_PRIMARY,453.0,1.4,x,90.0,0.0,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d6_setup_only_fsp_d5_primary\runtime_fsp\R2_4D6_D5_BASE_13461_453_xp1p40um_xdipole_setup_only.fsp,setup_only_saved,True,False
