wavelength_nm,farfield_Ex_real,farfield_Ex_imag,farfield_Ey_real,farfield_Ey_imag,farfield_intensity_angular_integral_raw,farfield_intensity_angular_integral_over_sourcepower,farfield_max_raw,farfield_max_over_sourcepower,normal_S0,normal_S1,normal_S2,normal_S3,normal_DoLP,normal_DoCP,normal_psi_deg
400.00000000000006,3.351416083074978e-08,-1.0112440241662046e-07,1.8875991651863033e-09,-3.942138208598154e-09,1.733170927806974e-14,4.694463264557158,3.8974747889075435e-14,10.556692318982773,5.684223612286029e-15,5.665120128021928e-15,4.619076725942578e-16,-5.876488364157422e-17,0.9999465589402796,-0.010338242766269483,2.330660692958811
401.0000000000001,-6.832211421197511e-08,7.320201678938623e-08,-2.926379516659486e-09,2.3056931361590295e-09,1.8756754240981502e-14,5.131445995743497,4.603018237066083e-14,12.59287145177792,5.020163235170705e-15,5.006283317257049e-15,3.687178232290798e-16,-5.668705272419935e-17,0.99993624475389,-0.011291874401026677,2.106143273391693
402.0000000000001,8.325320411584741e-08,-6.9856744689112514e-09,3.494378991865963e-09,-2.4694757458008655e-09,2.023220159925157e-14,5.59051658470175,4.823449251033588e-14,13.328046827275593,3.4991023191692218e-15,3.4807933241713285e-15,3.0816920113698284e-16,1.8118117421611607e-16,0.9986585507415043,0.051779330150920885,2.5297217646534267
403.0000000000001,-8.81240140733473e-08,6.43419087401301e-08,3.141787478442933e-09,4.2812499947018774e-09,1.9559445233972004e-14,5.458600382732984,5.0011635686164666e-14,13.95712048230538,5.966961503399789e-15,5.938761573322954e-15,-1.4031275129806688e-18,5.79429538003485e-16,0.995274016045671,0.09710629734637034,179.99323147746176
404.00000000000006,-7.309941254762684e-08,1.3818720229263465e-07,6.630334011200332e-09,-2.929695046203868e-10,1.9122309200641927e-14,5.389771837310951,5.262815279338093e-14,14.833654910565931,1.2241637076252195e-14,1.2197589916021479e-14,-5.251581574138448e-16,8.948114085913565e-16,0.9973249290652773,0.07309573082567687,178.76734769086184
405.00000000000017,-1.953985101469072e-07,-2.2783388078835253e-08,4.816047607975279e-09,2.8547812819407025e-09,1.8335353177290147e-14,5.219320386419647,4.0219590120842373e-14,11.448861912905873,1.9365502315355906e-14,1.9334158224625903e-14,-1.0060901172215955e-15,4.480941276278442e-16,0.9997322625525837,0.023138781547253087,178.51059533311312
406.00000000000006,8.16148624571273e-08,-1.04710865446442e-07,-7.759403232814494e-10,5.811981615415615e-10,1.7684685433700793e-14,5.084006036822659,3.295985406270227e-14,9.475322456584175,8.813145495563482e-15,8.81220562087521e-15,-1.241860252504523e-16,3.381497477104276e-17,0.9999926391518538,0.003836879215039074,179.59630627951262
407.0000000000001,9.960048931815826e-08,9.550764043418922e-08,-5.530150331060576e-10,-2.3282488358829462e-09,1.7405795388801666e-14,5.0533117876294416,2.5617291234511918e-14,7.437302166942674,9.523846710995784e-15,9.518120142727151e-15,-2.774461205564889e-16,1.7907756237177918e-16,0.9998232066395041,0.01880307062954139,179.16517171983307
408.00000000000006,1.3344193743213378e-07,3.627731446814622e-08,-2.010465845165838e-09,-1.6378840337756515e-09,1.7306173305363622e-14,5.073951187184537,2.458521729476714e-14,7.208074845830428,9.564759423842477e-15,9.558034786819801e-15,-3.2769849167569686e-16,1.4562811706363292e-16,0.999884085559825,0.015225486665207658,179.01818787264438
409.0,-1.266207981413935e-07,8.715380412273234e-08,2.6404481222526417e-09,-1.0027611788748014e-09,1.6844897767859212e-14,4.987308068845407,3.1795299157825396e-14,9.41370818787278,1.1818294795647643e-14,1.1810317299379476e-14,-4.2173010005610786e-16,1.0315467762871112e-16,0.9999619068847259,0.008728389282242325,178.97745793823557
410.00000000000017,1.5945672880644553e-07,-2.7501340536046526e-08,-3.2253533090656415e-09,-4.3768983090608644e-10,1.6507951395478757e-14,4.935523140244894,3.7094826135737483e-14,11.090556810485673,1.3096683284644144e-14,1.3086088808287765e-14,-5.022672308197388e-16,1.5849412836980956e-16,0.9999267699026162,0.01210185242515896,178.90098279247962
411.0,-1.309403616534452e-07,-5.6389587815861474e-08,3.2754614401918385e-09,2.3876957335354176e-09,1.6341963995983584e-14,4.933738429427677,4.155190354532084e-14,12.544772671620537,1.017079683126995e-14,1.0154367092707824e-14,-5.63531283804387e-16,1.2794382234834991e-16,0.9999208746086855,0.012579527884677501,178.41177310270484
412.0000000000001,1.1332176956762557e-07,-1.2397655923439834e-08,-4.994029198353485e-09,1.6096328515701202e-09,1.6189847408930067e-14,4.935557361529255,3.818302938538516e-14,11.6402907951175,6.511528287942447e-15,6.483997042391586e-15,-5.85887900286639e-16,-1.2049218742131064e-16,0.9998287781834218,-0.01850444044671186,177.4184142883518
413.0000000000001,1.0720431867604054e-07,2.8566041539930322e-08,-4.573606706370286e-09,3.1702571235353664e-09,1.5759505159410164e-14,4.851179757235877,3.0745629020987335e-14,9.464292921725217,6.169876540294481e-15,6.138908131760599e-15,-3.9974869416542503e-16,-4.705150941179506e-16,0.9970879623973258,-0.07626005010717661,178.1371587696963
414.00000000000006,-1.1037191462635943e-07,3.6775933595075254e-08,-1.615345889332411e-09,-5.677350395056614e-09,1.5676549169836034e-14,4.872551269524724,2.7006488109723772e-14,8.39409850336439,6.784635239964096e-15,6.749793590113664e-15,-3.0501042535138786e-17,-6.860258862662832e-16,0.9948747818052389,-0.10111463063265778,179.87054647747172
415.0000000000001,9.47058341786641e-08,4.1974289975382505e-08,1.1002179175203725e-09,3.0907962680797894e-09,1.60030612146434e-14,5.022269774317851,2.5937430300213933e-14,8.139990872561512,5.3708997737254625e-15,5.3601362726886536e-15,2.339310344682907e-16,-2.4653557293868675e-16,0.9989459431374198,-0.04590209896389115,1.2494795208819258
416.0,-5.134355055274071e-08,-1.1733947446154628e-07,4.647985175167247e-10,-1.957310084935732e-09,1.598241529759745e-14,5.064310418375701,3.1194385302726266e-14,9.884491645463026,8.204379775352094e-15,8.200332674921619e-15,2.0580533054368445e-16,-1.5503446306920526e-16,0.9998214442800292,-0.01889654883297402,0.7188307161089804
417.00000000000006,1.772038217118994e-07,2.7676222980216782e-08,1.7249999782841133e-09,6.249794099008567e-10,1.6282766458087194e-14,5.209271559777877,4.256869924378285e-14,13.618810714885495,1.6085266985970596e-14,1.6081900761782713e-14,3.2297365811134874e-16,-6.300725588581928e-17,0.9999923282179978,-0.003917078649721734,0.5752597441132425
418.00000000000006,1.789869872176284e-07,-1.1199739742244141e-07,-2.180536357699896e-10,-1.1090139118141478e-09,1.7074399974715866e-14,5.515122482215979,4.6960938507515245e-14,15.168634220369983,2.2290518040944213e-14,2.2289240581699544e-14,8.517790851014496e-17,2.2292049856279077e-16,0.9999499918773088,0.010000687204905713,0.10947683234639992
419.0000000000001,6.424334121263197e-08,1.4718499577331904e-07,-1.2164712101125496e-09,-8.42946545051736e-10,1.7052316922162665e-14,5.560887017536763,3.609919357995014e-14,11.772214757596227,1.2896410116018725e-14,1.2894219754935877e-14,-2.0221925869717748e-16,-1.2489260740101198e-16,0.9999531061401424,-0.009684292471893551,179.55075372849254
420.00000000000017,-3.089408399455095e-08,-1.2629105085304426e-07,1.0760050737827011e-09,-6.491299603606692e-10,1.6225876517270032e-14,5.342074153919135,2.8284163622824698e-14,9.312045441359812,8.452726554026412e-15,8.451147397402169e-15,4.8737113706138113e-17,-1.559440870099868e-16,0.9998298032948362,-0.018448968627253613,0.16520833408720026
421.00000000000006,2.0152096668199455e-08,1.2029125993063143e-07,1.5331483594913618e-10,1.4467879231322281e-09,1.530054235919566e-14,5.085571831908244,3.159284043919906e-14,10.500781975940924,7.439105458278317e-15,7.436988757544874e-15,1.7712555752071338e-16,-1.0713375302964528e-17,0.9999989629935997,-0.0014401429530808128,0.6821731873065842
422.00000000000006,-1.1078703846901034e-07,-2.4292443157204947e-08,-9.957567193190167e-10,1.0003957819216007e-09,1.440767857421366e-14,4.834464761474739,3.157487245445208e-14,10.594878796249045,6.432941505222283e-15,6.430949182057727e-15,8.601488030193336e-17,1.3502024947844614e-16,0.99977970915441,0.02098888189311783,0.3831468440605498
423.0,-9.802125517180573e-08,2.7289447737462897e-08,1.9279624458587773e-10,1.5695975181860938e-09,1.3745538455870002e-14,4.656159090302076,2.8786977504458845e-14,9.75129111311513,5.177690615016496e-15,5.175189808255474e-15,2.393531955467268e-17,1.591152218877575e-16,0.9995276935880973,0.030730924985414673,0.1324959145794764
424.00000000000006,3.536384845323919e-08,-8.343804938636479e-08,-2.171158869872953e-09,-4.821085510776067e-10,1.3441763974451156e-14,4.596468367939855,2.8958331279681207e-14,9.902424560375666,4.108728111159184e-15,4.103781751665933e-15,-3.6554336147691045e-17,1.982064747484226e-16,0.9988357566714252,0.04824034820169767,179.7448263673342
425.0,-7.197168505020602e-08,4.4710697325087965e-08,2.902669207107768e-09,9.025198452059102e-10,1.3715299871275034e-14,4.734407237373348,3.157332165241829e-14,10.898847560175831,3.5941049674292795e-15,3.584864936832398e-15,-1.6855770235000482e-16,1.9473623840456895e-16,0.9985310698809192,0.05418212327389427,178.65398871796145
