geometry_id,geometry_hash,case_hash,source_position,source_position_nm,dipole_orientation,case_count_per_geometry,solver_authorized
V2_PILOT_000,e29a8ee1eae8dfbb7320bc814969a5bd00ecb615cbee328209c4332d6ad1b763,44c98efcbfe2a914f1beb67a5de790a52b4a8a7a1ffc5b6c9b826a3448ab8ed3,top,-171.5,x,6,False
V2_PILOT_000,e29a8ee1eae8dfbb7320bc814969a5bd00ecb615cbee328209c4332d6ad1b763,03afc2667bdf68e1c042076d94ed8f773ff8da0f1f40c03a1ebeeb133fe0ee84,top,-171.5,z,6,False
V2_PILOT_000,e29a8ee1eae8dfbb7320bc814969a5bd00ecb615cbee328209c4332d6ad1b763,68bfc316ce66ac3895cb162ad91bc0d795d8220fa695d278bfce7a0dc221c36e,centroid,-276.0,x,6,False
V2_PILOT_000,e29a8ee1eae8dfbb7320bc814969a5bd00ecb615cbee328209c4332d6ad1b763,9a077b265eb7833562f6ee2c73b3df82f4d07a64a932608c161455e816d267fc,centroid,-276.0,z,6,False
V2_PILOT_000,e29a8ee1eae8dfbb7320bc814969a5bd00ecb615cbee328209c4332d6ad1b763,48e5dde12683afa32c27b68bc6384e334ad8fe75a837dfe58dd9d9ea3878d659,bottom,-380.5,x,6,False
V2_PILOT_000,e29a8ee1eae8dfbb7320bc814969a5bd00ecb615cbee328209c4332d6ad1b763,44879c50c0cbb067d52bec9f5e39fb3f9819dd82927d5b266df46ef40d8e23c3,bottom,-380.5,z,6,False
V2_PILOT_001,ab7dd8dcb11dc61904a2c374edf638cce7510606c0fb0130216d33547b61816a,864fba927403212cb5508708079b0c24596baef68a06a57057d0a33646cefeac,top,-171.5,x,6,False
V2_PILOT_001,ab7dd8dcb11dc61904a2c374edf638cce7510606c0fb0130216d33547b61816a,9fe67c9a9eb0ba37bc9c3cd37c9318597b9d05e0fd3e632a2e95bde4613805b0,top,-171.5,z,6,False
V2_PILOT_001,ab7dd8dcb11dc61904a2c374edf638cce7510606c0fb0130216d33547b61816a,f9b34d28cf12c13aab237ef55e83ee6267b506105edc1a5ab3e4e0a70b9d8022,centroid,-276.0,x,6,False
V2_PILOT_001,ab7dd8dcb11dc61904a2c374edf638cce7510606c0fb0130216d33547b61816a,350545ee6d2022976c4038d56262f768e1e92611802e549d79e3578663433467,centroid,-276.0,z,6,False
V2_PILOT_001,ab7dd8dcb11dc61904a2c374edf638cce7510606c0fb0130216d33547b61816a,fd8eb222857e1b2acff2ca52953783e05b7be7daac1fa6d9a9c0480a45470473,bottom,-380.5,x,6,False
V2_PILOT_001,ab7dd8dcb11dc61904a2c374edf638cce7510606c0fb0130216d33547b61816a,d0f456c6ec2305bb6e62fcd9f0fe887f9f8d2c61cb52dd189777530ac619483e,bottom,-380.5,z,6,False
V2_PILOT_002,42fcfe9e0c820b902d3f2e2fd9955e9c2e3df0ba54771692934d34b7f7d3bde8,ed0a1926075dd371e38e4ac9538c6c0e4162a211f3015b01ff583d711ba53bd6,top,-171.5,x,6,False
V2_PILOT_002,42fcfe9e0c820b902d3f2e2fd9955e9c2e3df0ba54771692934d34b7f7d3bde8,5f0d39e7b87b93942def9c5c20739be1aefd09f1cf5ef76b20a660ec75d5a111,top,-171.5,z,6,False
V2_PILOT_002,42fcfe9e0c820b902d3f2e2fd9955e9c2e3df0ba54771692934d34b7f7d3bde8,93203749d35ac867013ce183dad526de2f6b2371005c349b63ba257aee83a006,centroid,-276.0,x,6,False
V2_PILOT_002,42fcfe9e0c820b902d3f2e2fd9955e9c2e3df0ba54771692934d34b7f7d3bde8,af0fcb66be71a0bac0e01f2fe0d500e953a7b4c23b5ee473d96eda882522c598,centroid,-276.0,z,6,False
V2_PILOT_002,42fcfe9e0c820b902d3f2e2fd9955e9c2e3df0ba54771692934d34b7f7d3bde8,c8c52e4af025cc518aeb12b7751d3b141308cd5e3c0c4c422786fe26991d15b4,bottom,-380.5,x,6,False
V2_PILOT_002,42fcfe9e0c820b902d3f2e2fd9955e9c2e3df0ba54771692934d34b7f7d3bde8,793a8fc61eb9b687922e50ef03c7d415dc6e64da83ded024f57f7318a46fec5a,bottom,-380.5,z,6,False
V2_PILOT_003,2d3611983d28c91e8534b258e419bb595ea33a2ca713234341a33f9fbb5be99d,a47c7fe009a870cf3b298aa9085f48ddb56ec3c9ff399cd113d36d76f65b766f,top,-171.5,x,6,False
V2_PILOT_003,2d3611983d28c91e8534b258e419bb595ea33a2ca713234341a33f9fbb5be99d,203eb7bee8305dd262af66ddbc4fd9269a5c72eb886d1114e0eff63282ae9291,top,-171.5,z,6,False
V2_PILOT_003,2d3611983d28c91e8534b258e419bb595ea33a2ca713234341a33f9fbb5be99d,647ec6f5448d9ab7239d572dd8a8c44146ba19f899707da57ebd010758d281ae,centroid,-276.0,x,6,False
V2_PILOT_003,2d3611983d28c91e8534b258e419bb595ea33a2ca713234341a33f9fbb5be99d,1003a957ed3cd216cc9aa35cb4bf49827e3e2dd31e72b41660b2b70babce0178,centroid,-276.0,z,6,False
V2_PILOT_003,2d3611983d28c91e8534b258e419bb595ea33a2ca713234341a33f9fbb5be99d,6375d7951cb39db1269d074459e386c1fe1c4879c6d8bcabb18e2556a15fb3e7,bottom,-380.5,x,6,False
V2_PILOT_003,2d3611983d28c91e8534b258e419bb595ea33a2ca713234341a33f9fbb5be99d,8686553b71a4d6436a244e7018e3b6425c9e97602dbea4faabefc99f46ca83c9,bottom,-380.5,z,6,False
