geometry_id,geometry_hash,case_hash,source_position,source_position_nm,dipole_orientation,case_count_per_geometry,solver_authorized
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,fcf15c701e20ec92f1e4fb4b32a84554517c23f9abe5b53835af4a518074caa7,top,-171.5,z,6,False
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,446db25d9f2902bd91be66d3a0d6fecae559f12ebf891266b6ddf0e7833d1422,centroid,-276.0,x,6,False
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,aa5e8f81d2c41f9648ef883d4901b996779dc042275df09a240320a3d06345e4,centroid,-276.0,z,6,False
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,931f8936e6c8385e73fcd2802ed7acfa2c1985d59b0be066817f4a073287487a,bottom,-380.5,x,6,False
V2_DOE_004,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,6a8295e76b9e5a9fe6c1db908ba5a52a0d209b64f4c8cb1061ae474b62919570,bottom,-380.5,z,6,False
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,b0cf04d5d58bc4d5a5c4743a3fa305edc6d65e49edd1a092cd4dc21e1c8ac0dc,top,-171.5,x,6,False
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,ed66eba1f5f961aa6081e975b1ad71624a5ead92bcd823c19cc36ae412fa065a,top,-171.5,z,6,False
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,994ff11df6db360ed3031bc48e08aec2610f8127fc719157ecb01f9e7453dc8b,centroid,-276.0,x,6,False
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,22d94d54e026424e242f4388effa8cd21f2b08fb32ee7adab4e3396f534bef68,centroid,-276.0,z,6,False
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,8a38ca1876eb5e509ea685104ce75147fa92a94232cfa075659b247414859bf7,bottom,-380.5,x,6,False
V2_DOE_005,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,0ef0d5d82c8a1635d12dca244c2854f4af8f78f0e3de93c415d8d386758cdf2a,bottom,-380.5,z,6,False
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,ab7c1c1eed11b1c6d202b90cd65f38acdfbf6e20c2bc60e42953ab755f25e31c,top,-171.5,x,6,False
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,932b3268b46905fa60673ac2ddd5302e048fd0fd66e584543c90a5b3604f9c09,top,-171.5,z,6,False
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,a1f9870484ca316f5115651d46cf65e158b2b422183224381beb656e9035ba47,centroid,-276.0,x,6,False
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,e0bbbef511a66b37d51fc11a368dc8f0f8a7957339935baf5ad3ca26bbfb9434,centroid,-276.0,z,6,False
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,2dbce5b1b0838b291e5cc9f6a054213c295fbcd181f18648816b83a6b02fb18d,bottom,-380.5,x,6,False
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,b9d6a1a3398a4797e7a94525bb858f957bd029b0dd92da9c9a7a66f28fe00c5a,bottom,-380.5,z,6,False
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,07980e6ed8cf57df6a35648e2a05d1839ca8b99bf86c9d042987b90ba13a18d6,top,-171.5,x,6,False
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,f4b56921d564903637bdb0cee55a895cf289ecf759e646ec665a7015569be030,top,-171.5,z,6,False
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,b694468c5dbb9b1343a016d8510e225da2bde4d68348faed05d184c8f35468c3,centroid,-276.0,x,6,False
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,2e6f8f13e9269962ee7ba057679791177e99296aaa55620d0cd15251ca6c4ad1,centroid,-276.0,z,6,False
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,9d6bf5e1da7484aedf431cfcd1521fb5999303d01275b9fee99e4154e0a3ca11,bottom,-380.5,x,6,False
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,9b6a99db392f7e26d90c73ee8a407eae2b6a7b24613ebd47708d80e5f611aadb,bottom,-380.5,z,6,False
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,487061af5b14dd7442a6291bfe105798178b8cbd8a57e78b3be8dbe2d25998f2,top,-171.5,x,6,False
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,320e107dcfa79071617a5f194173ca1250836d858ba2b57ab21280900a7f23ea,top,-171.5,z,6,False
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,bf433227e6507f01c6d2114ef852d8684adfffecf75b4e8d312f739a9de37459,centroid,-276.0,x,6,False
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,27943c71edea133318217a17d755fee965523db2ab12a4c0c9ca3373f1875a92,centroid,-276.0,z,6,False
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,454565d359cc1717e37dfac073fa6a61dfa1e9894c073cc77d861b76b6fee874,bottom,-380.5,x,6,False
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,bf4451bdc2d16ff925382e73593c52cc367398335ebc250c2b81c6f90f35b9fe,bottom,-380.5,z,6,False
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,00ed1c65469339e5ee879842e7ac195b1d33137264a18b6b02ccb9bfa90740a4,top,-171.5,x,6,False
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,867edd747d1e53fe17e4b4fab62dbcdfc8f074229869dba01f8a00d4b8bf9d55,top,-171.5,z,6,False
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,5cc444d72b6830845976a5c6912c37c7d9837da737cd447f18b83b3e09ea45c8,centroid,-276.0,x,6,False
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,bb6122a5f01222358b3c9d9793cf3b4903c217bf9a664f9acfeae5c05f8cbf1f,centroid,-276.0,z,6,False
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,6af8a8849d963a22b2c4102167522e9f906038c0ec7c495c59296f942ce1e5ac,bottom,-380.5,x,6,False
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,9d04e698a270c2de73be760a5db03817d9e4c6ff9af6f163fb6d825ed2287dca,bottom,-380.5,z,6,False
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,66688915f9f47350fe44849e33d6c00d6c7ed9c2fff307f5ca8695941003320a,top,-171.5,x,6,False
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,18511c8e5e609a90906ba24a7428ccb25a11decb5a82815feae79d5e43a9475a,top,-171.5,z,6,False
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,7b491d4dfe5aa6077cf14227206ccda0d83a596da9c356d92765b177678d5deb,centroid,-276.0,x,6,False
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,f9da0bc0f559995322c51a786e70b949ad239f52f5eed21112bd28b8a41452fe,centroid,-276.0,z,6,False
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,552740e381d10ee2ff7378c645f61014e225458564d518cd35cb0843a8580053,bottom,-380.5,x,6,False
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,956b79a740d98f6ceb01d712a4d99dd13443dffd9f2a373e9a884ffe285c807b,bottom,-380.5,z,6,False
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,e6f921902f895d3d66d85c0dba6c825cd80ba20980c4f3e5b3c7d7b950aea67e,top,-171.5,x,6,False
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,d7f9e9564a2a91a2246f5d78e711e52fae049291cf16ba917fd79e834bd5353a,top,-171.5,z,6,False
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,f65327a555d92facb5fa5fbecedc75f4ca85298cb646c9d859e0ef48734e9832,centroid,-276.0,x,6,False
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,0267fa0770e6d3df82c426c357e09beac9495b4320b89eb7f7b0565edb05a5bd,centroid,-276.0,z,6,False
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,b522a4e939bd58efb3b1388c856137bd0025288bf735b0dbac79f183e22d64cf,bottom,-380.5,x,6,False
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,5d5c6dc226d69dd267a4165b8d429e6ef11adbe43bed2ef017fe2d9c1b52d341,bottom,-380.5,z,6,False
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,8875c4069df3a737c15690478ea61cb714becfa997099774c13f6972b0546e08,top,-171.5,x,6,False
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,d4c1ba96ca56ec23fcdcb467738dfc1187a1bd31bd4cb370b122883c22f317fb,top,-171.5,z,6,False
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,4be4aa36cfda7c722712200474cf90bcfd2facff1f4e03d5e0e5bb20e635a215,centroid,-276.0,x,6,False
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,d7713c47c17a057f54b900c6b45acc83af65c7e3cdc2e374cc66e3b831739240,centroid,-276.0,z,6,False
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,7d42a21f6bd478d0aa51224ca751f2fc7e5b74507b03fe59a19bd8762d0d1633,bottom,-380.5,x,6,False
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,9cac502dcc53c6a80d3a944a9f7e5ed143997c045fba8387feafe185e6d4894d,bottom,-380.5,z,6,False
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,ee266190e9df39aca4411535c3f9823b032415b8d7e819b28c6cd48c1f7f59f7,top,-171.5,x,6,False
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,905c8b50d28343b9cee20a5169fc1b2bf2160ae6030d793de6f2eed39b41514a,top,-171.5,z,6,False
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,db7aa22cf662b6f30c2510d4188fa12e9f15e5298c00bb1a6ba0aff3ffe131ee,centroid,-276.0,x,6,False
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,8c1f9a1bfea856510b30755508c1f9dc222bd63423336510a71363fd5078ed92,centroid,-276.0,z,6,False
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,3e850b1afc943f22c9b71eeccbd88ac7f7bec5f8e5a46733aa517d4f521a37d9,bottom,-380.5,x,6,False
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,719d302d16219ba6db50462d7c84a16824937cd23f2fe7c592dc1d2575e8d1c4,bottom,-380.5,z,6,False
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,2f26686a75fb8129c78360692cc8946f7b3bdddfd2659a7a779b4f2cfe74ed28,top,-171.5,x,6,False
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,39bf4173ed3c30fd60b09e740696257fbefd4fddfada794203d382c9f023f16f,top,-171.5,z,6,False
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,3fe170fb94e3e8b67258e3733ee0eb8f3f634201c36c3a03da4b919c138a87a4,centroid,-276.0,x,6,False
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,b621ccd8e4f6c0764bdca72077a9eb3250544cb0ef350bee49e972b6988bd4cd,centroid,-276.0,z,6,False
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,dce8e8583f14a7f50991580243db0a66e156d3750c8eb05ee481f58f3f40b29d,bottom,-380.5,x,6,False
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,128489e48e0d16ebb7d84b83688f76ce6aed15400b1252e5f0834be4a533c0b1,bottom,-380.5,z,6,False
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,4b688342a4bd7d0627573846bc403062f0733e7fab5f4858f6ca2705da2fcc76,top,-171.5,x,6,False
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,18c01b4a619274b69240ea714c1c3dc35d5d2d0fecc714b8c0eb398cfc01f140,top,-171.5,z,6,False
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,41f0ed80f8f96b4eb9e412732fddb5c142e2ea44f86b8ded74cfdd14b729ebf6,centroid,-276.0,x,6,False
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,835a5e7f94f14295d5204467666f5c241de55f34029b4bb78a6bae1a9ff2ef0b,centroid,-276.0,z,6,False
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,3efea04c709bfc031d44fb3a0ad64a7d3e28ee77df87008f86b492957f8260a8,bottom,-380.5,x,6,False
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,1cb205858bb68e7645fab8f78697a27b15f3f6cc58aa42444a6531ca8b890e7f,bottom,-380.5,z,6,False
V2_DOE_016,f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,d7f5fdf591d9bfa69001425ccd3023a3fdb963e2fc20916417870f403ef1e553,top,-171.5,x,6,False
V2_DOE_016,f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,f9242fac37c3be957546670c5e8360ec423e2758b5679338f0c5ae8a71099bae,top,-171.5,z,6,False
V2_DOE_016,f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,f7beec2138423143851ca36f3311ad3dd2965c24f0d93654773cc0adc2110b08,centroid,-276.0,x,6,False
V2_DOE_016,f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,3350103e800617c8d9554e014e71fff772e3ffeebfd1b928c224f5913add0d0b,centroid,-276.0,z,6,False
V2_DOE_016,f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,62361fbb0f8f51e314758443229c996b2f0a0706286af31d164b7ca9b3b6b9d7,bottom,-380.5,x,6,False
V2_DOE_016,f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,1bd1427e27dbaa1c9fb3d67370ff84c6e52018a9e287cba7c2279e1793b78426,bottom,-380.5,z,6,False
V2_DOE_017,7df6f22cb98341c64d637441983bc46c61d60c3f495c8f5187fd0b2a50774024,64ddb3bc044c9fa2ff44d4d03f49d56b3e35326c4d97c5e5b094e8752d87c133,top,-171.5,x,6,False
V2_DOE_017,7df6f22cb98341c64d637441983bc46c61d60c3f495c8f5187fd0b2a50774024,b0c5ff474e7b56999f63fc0f80d252c89348b16de96a1daee9175931b96280d6,top,-171.5,z,6,False
V2_DOE_017,7df6f22cb98341c64d637441983bc46c61d60c3f495c8f5187fd0b2a50774024,833236b7855076f9749a48a7f2db44238fa68d9d422bc4aac1ba0fabbef3bd86,centroid,-276.0,x,6,False
V2_DOE_017,7df6f22cb98341c64d637441983bc46c61d60c3f495c8f5187fd0b2a50774024,0fa51f997e8bb413b1c385491411f11492cc688627c04f09bb3ed85cb0d4c904,centroid,-276.0,z,6,False
V2_DOE_017,7df6f22cb98341c64d637441983bc46c61d60c3f495c8f5187fd0b2a50774024,209c1a083f84d9776e78d52beab6a3f3ee7874c450ba8ac194973a5e48d29e5d,bottom,-380.5,x,6,False
V2_DOE_017,7df6f22cb98341c64d637441983bc46c61d60c3f495c8f5187fd0b2a50774024,06e55e22f6e45d81580617530f70a204ea2ad04860185ce66e0cde198a0d4425,bottom,-380.5,z,6,False
V2_DOE_018,47b32cd936a59f093348d2dec45dd4dfe382b298c2af8a62aa9d1cec786c07b0,51d64fe1032c1f2c0a236295a8b81874d1c36244462a353a65a80953511269b2,top,-171.5,x,6,False
V2_DOE_018,47b32cd936a59f093348d2dec45dd4dfe382b298c2af8a62aa9d1cec786c07b0,699192b788fbb797da868cb5200654309ef0bb09b9a017afdf084ac171bac11f,top,-171.5,z,6,False
V2_DOE_018,47b32cd936a59f093348d2dec45dd4dfe382b298c2af8a62aa9d1cec786c07b0,42cc93917518e7bec10a7ab53ee3f7d870e839a5afcc24ff0e215424ccc43e8e,centroid,-276.0,x,6,False
V2_DOE_018,47b32cd936a59f093348d2dec45dd4dfe382b298c2af8a62aa9d1cec786c07b0,73fa539b35e347a86fccb2b41a4b8cc4d51c192cbb101ddab2a86524e676e6bc,centroid,-276.0,z,6,False
V2_DOE_018,47b32cd936a59f093348d2dec45dd4dfe382b298c2af8a62aa9d1cec786c07b0,0ba0df613b5b8a6dd06bac5f2c8d234dc138d84518b4fe60fdb33dc498a1878d,bottom,-380.5,x,6,False
V2_DOE_018,47b32cd936a59f093348d2dec45dd4dfe382b298c2af8a62aa9d1cec786c07b0,6a61c48b5f25401304b6a618616e722832ea998f36d1dc67cca74a5e6ada1539,bottom,-380.5,z,6,False
V2_DOE_019,72540b39575585f2870d25dbbb0cebd7ba0b05c6ed5c4ee8378e7be6b1482aa3,06bee40aba6cecb14f1f478dcd8a580dca2468cd96daec243c0e31ed4f53af0e,top,-171.5,x,6,False
V2_DOE_019,72540b39575585f2870d25dbbb0cebd7ba0b05c6ed5c4ee8378e7be6b1482aa3,81ca9a25b06132f699aff2a5ac06df6476488580acbfaeb2d095fc2720feac6d,top,-171.5,z,6,False
V2_DOE_019,72540b39575585f2870d25dbbb0cebd7ba0b05c6ed5c4ee8378e7be6b1482aa3,d28480732148c669f0542019af4022cb0d7c601cabbea1acd4a6e8f2cfb956ec,centroid,-276.0,x,6,False
V2_DOE_019,72540b39575585f2870d25dbbb0cebd7ba0b05c6ed5c4ee8378e7be6b1482aa3,3352af879144a2710d028080e0dabdb08fca0a1b51b8f39d1eac7b495341f0a3,centroid,-276.0,z,6,False
V2_DOE_019,72540b39575585f2870d25dbbb0cebd7ba0b05c6ed5c4ee8378e7be6b1482aa3,71589ad6d6b64aa8f4a8a162ca113b2d65faba150a2184a8cc115ee43fab1724,bottom,-380.5,x,6,False
V2_DOE_019,72540b39575585f2870d25dbbb0cebd7ba0b05c6ed5c4ee8378e7be6b1482aa3,3227b3dda45c714abd5179b691f8266927adee3d70752ae993078570e26217e3,bottom,-380.5,z,6,False
V2_DOE_020,d2ef57bc112e900e3e5167b2ade7afc46a4d61e83ffe64c83745894092e7378c,6dd4895aab756fc50d08d2011679b5d6253c290664da867b8598a24967eaa4ba,top,-171.5,x,6,False
V2_DOE_020,d2ef57bc112e900e3e5167b2ade7afc46a4d61e83ffe64c83745894092e7378c,a0ba159a1eeaf34a5aae24607045e4244418541fbbda455be5613b054c037ebe,top,-171.5,z,6,False
V2_DOE_020,d2ef57bc112e900e3e5167b2ade7afc46a4d61e83ffe64c83745894092e7378c,cf3150eb7709870ec804a6e6effd2c9e4d2bdaa2280621f4688451a6c2f94ada,centroid,-276.0,x,6,False
V2_DOE_020,d2ef57bc112e900e3e5167b2ade7afc46a4d61e83ffe64c83745894092e7378c,fbc45cce802d34aec0dc1f6cea3930739b9ea754f6f035fe583e0b416cf5e29e,centroid,-276.0,z,6,False
V2_DOE_020,d2ef57bc112e900e3e5167b2ade7afc46a4d61e83ffe64c83745894092e7378c,57a5ff34df4f71eb15435764850535308c6af1c4ed89c66fce3d749ef02f9872,bottom,-380.5,x,6,False
V2_DOE_020,d2ef57bc112e900e3e5167b2ade7afc46a4d61e83ffe64c83745894092e7378c,32c2eb754a312f1a7e41040c76f00c938bb27c2b4c58e887e89d5616ccab0971,bottom,-380.5,z,6,False
