sample_role,future_training_role,geometry_id,geometry_hash,candidate_id_primary,candidate_aliases,topology_family,N,M,H_nm,L_nm,C_nm,effective_central_L_thickness_nm,physical_layer_count,total_thickness_nm,compiled_sequence,material_model,propagation_direction,record_id,source_id,fidelity_level,simulation_method,tmm_angular_FWHM_450_deg,tmm_max_transmission_angle_450_deg,strict_normal_450,near_normal_450,normal_to_40_60_ratio,angular_FWHM_valid,quality_status,has_angular_fwhm_label,has_max_angle_label,angular_label_status,angular_missing_reason
canonical_tmm_sweep,sparse_angular_analysis,GEO_a7caf466f0eab788,a7caf466f0eab788eb1c42acb37a8e9dfc367c3cd05ecc9faed6cf1a0048ad7a,EX_N2_L77_H42_C153,EX_N2_L77_H42_C153,Explicit,2,,42,77,153,,9,629,L77 H42 L77 H42 L153 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_a7caf466f0eab788,tmm_coarse,coarse,TMM,,,,,4.111296446705752,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_d0faef5c8174d5f5,d0faef5c8174d5f5ab5babddfcb2657e10f91f08a18a2b74b2dd36e5349fc67d,EX_N2_L77_H42_C154,EX_N2_L77_H42_C154,Explicit,2,,42,77,154,,9,630,L77 H42 L77 H42 L154 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_d0faef5c8174d5f5,tmm_coarse,coarse,TMM,,,,,4.423910105542009,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_e02cbb40700422b8,e02cbb40700422b8c6d816790f2734374b94d08120435fb3b66babf97afee7f9,EX_N2_L77_H42_C155,EX_N2_L77_H42_C155,Explicit,2,,42,77,155,,9,631,L77 H42 L77 H42 L155 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_e02cbb40700422b8,tmm_coarse,coarse,TMM,,,,,4.759596757165672,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_430c534fa8681d81,430c534fa8681d810b70d3b3b199fd5649816defb2b65bcb2182b0c28161e595,EX_N2_L77_H42_C156,EX_N2_L77_H42_C156,Explicit,2,,42,77,156,,9,632,L77 H42 L77 H42 L156 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_430c534fa8681d81,tmm_coarse,coarse,TMM,,,,,5.115284338437142,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_2e03c0387ae40d32,2e03c0387ae40d323f4057326cedf0e114823d93e91353ddd0abdd5badee5eee,EX_N2_L77_H42_C157,EX_N2_L77_H42_C157,Explicit,2,,42,77,157,,9,633,L77 H42 L77 H42 L157 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_2e03c0387ae40d32,tmm_coarse,coarse,TMM,,,,,5.485060249876013,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_185f15de7d576106,185f15de7d5761065d9d8ddef68e70ed9efc3f20d3d04cd83f3f064f714ed986,EX_N2_L77_H42_C158,EX_N2_L77_H42_C158,Explicit,2,,42,77,158,,9,634,L77 H42 L77 H42 L158 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_185f15de7d576106,tmm_coarse,coarse,TMM,,,,,5.859227420282547,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_e5789e750ea00380,e5789e750ea00380823415f88538e90bc1420d509abf9925353aa0828ba45820,EX_N2_L77_H42_C159,EX_N2_L77_H42_C159,Explicit,2,,42,77,159,,9,635,L77 H42 L77 H42 L159 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_e5789e750ea00380,tmm_coarse,coarse,TMM,,,,,6.223458531576821,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_13bdbb03b4a0c15a,13bdbb03b4a0c15aad0b5f62a16d9fe6ee935082fc6b45f08ad5ff7cce5c1cc9,EX_N2_L77_H42_C160,EX_N2_L77_H42_C160,Explicit,2,,42,77,160,,9,636,L77 H42 L77 H42 L160 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_13bdbb03b4a0c15a,tmm_coarse,coarse,TMM,,,,,6.558402483802244,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_9a24e3dcbc50e7c0,9a24e3dcbc50e7c0100de7dbd1b422d4f982bec390ceb17128877bf7f0c08273,EX_N2_L77_H42_C161,EX_N2_L77_H42_C161,Explicit,2,,42,77,161,,9,637,L77 H42 L77 H42 L161 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_9a24e3dcbc50e7c0,tmm_coarse,coarse,TMM,,,,,6.84024569740461,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_06d1ac1f287d979b,06d1ac1f287d979b915fa4b4035d6958da9a72a4134635e5ff0820a247935e0d,EX_N2_L77_H42_C162,EX_N2_L77_H42_C162,Explicit,2,,42,77,162,,9,638,L77 H42 L77 H42 L162 H42 L77 H42 L77,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_06d1ac1f287d979b,tmm_coarse,coarse,TMM,,,,,7.0427360313677525,false,accepted,false,false,missing,not_computed
canonical_tmm_sweep,sparse_angular_analysis,GEO_468599a0b34d8513,468599a0b34d8513263ebba5f11e6eeb769b1e9ddce866330491d9057b4b8298,EX_N2_L78_H42_C152,EX_N2_L78_H42_C152,Explicit,2,,42,78,152,,9,632,L78 H42 L78 H42 L152 H42 L78 H42 L78,native_m1,GaN -> reverse(stack) -> Air,TMM_GEO_468599a0b34d8513,tmm_coarse,coarse,TMM,,,,,4.034056863027183,false,accepted,false,false,missing,not_computed
