candidate_id,wavelength_nm,S0,S1,S2,S3,DoLP,LP_TARGET_FRACTION
GLOBAL_018,435.0,1.830099720579521,0.01040837369539005,0.013033613051047697,-0.003528588867114669,0.00911404306885613,0.5028436629923353
GLOBAL_018,436.0,1.7740131593790391,-0.005771103518628085,-0.010075626155279222,0.0016202061619636915,0.00654525499432587,0.498373432720012
GLOBAL_018,437.0,1.7248195970795361,-0.07416069523112256,0.007980493700103754,-0.0038766000909129655,0.04324443736599814,0.47850189800814785
GLOBAL_018,438.0,1.5695332705989435,-0.17726032148597104,-0.012962280850556892,0.0005501410159918091,0.11323979599511515,0.4435308811840837
GLOBAL_018,439.0,1.3180951147420705,-0.42594147618085343,-0.005682690587728844,-0.00700697312363744,0.32317802978500554,0.3384253642180431
GLOBAL_018,440.0,0.9417001211699227,-0.7594400280193161,-0.028792292057867562,-0.003950985607569778,0.8070357104696377,0.09677183269562264
GLOBAL_018,441.0,0.8955677742962433,-0.7756713577403331,-0.025408422733358985,-0.009016675756410365,0.8665870035742129,0.06693877336649783
GLOBAL_018,442.0,1.1726574317531018,-0.4639899997102278,-0.02383936615747474,-0.005600430534169743,0.3961958586590416,0.30216302427872255
GLOBAL_018,443.0,1.3586521501411672,-0.20128474491420778,0.003827893457814821,0.002372307514772046,0.1481771031035062,0.4259248421704946
GLOBAL_018,444.0,1.5033325943189388,-0.05361139380867597,-0.016248757760635793,-0.0049050784212683295,0.03726365837132964,0.48216915072177896
GLOBAL_018,445.0,1.5196178925696864,0.07687217388973833,0.00524496862919127,0.0013897973941370406,0.05070412630339554,0.5252932576885322
GLOBAL_018,446.0,1.5895759723397689,0.12067838082696625,-0.021132669669954564,-0.007724216384588735,0.07707384947489988,0.5379592995009022
GLOBAL_018,447.0,1.5113896642701174,0.25285575427705353,0.01731542999879731,0.0015235608503438754,0.16769198746795105,0.5836500871531244
GLOBAL_018,448.0,1.103010264603664,0.6751197436834264,0.18111646665120684,0.07438941266024617,0.6337130682807133,0.8060351137919881
GLOBAL_018,449.0,1.3908332524375786,0.4746467255561354,0.01660922042069343,0.009842573993283595,0.3414767639655093,0.6706339436177083
GLOBAL_018,450.0,1.287892010704719,0.5993395672956465,0.03254808070555098,0.011533367119598157,0.46605049109961383,0.7326823842038181
GLOBAL_018,451.0,1.198239790124313,0.745476656732188,0.02813315020174067,0.011525932800420205,0.6225860007839913,0.8110715663410107
GLOBAL_018,452.0,1.061257950973617,0.8833637883059745,0.035092250822159124,0.011148073440420918,0.833030786664531,0.916187123731587
