candidate_id,wavelength_nm,metric,value
GLOBAL_018,450.0,DoLP,0.46605049109961383
GLOBAL_018,450.0,useful_lp_power,0.4718078945000913
GLOBAL_018,450.0,x_fidelity,0.7326823842038181
GLOBAL_018,450.0,LP_TARGET_FRACTION,0.7326823842038181
GLOBAL_018,450.0,leakage,0.17213811085226807
H1C1B_V2_012,450.0,DoLP,0.9009979764660458
H1C1B_V2_012,450.0,useful_lp_power,0.49274458934691384
H1C1B_V2_012,450.0,x_fidelity,0.9504745696852236
H1C1B_V2_012,450.0,LP_TARGET_FRACTION,0.9504745696852236
H1C1B_V2_012,450.0,leakage,0.025674950809852354
