architecture,fold,seed,best_epoch_count,best_stop_loss,history_sha256,checkpoint_sha256,checkpoint_epochs,provenance_complete
M1,0,20260804,3,0.3194348812103271,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,9c8a31beedea29f57575cee8853550a31ab2f62a177c933834ac57d3bcc7daeb,3,True
M1,0,20260805,3,0.3173912465572357,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,4d93550b3a546e00849dbc47d1b54cfbae280b3490c29f44cd13d99ee217d58b,3,True
M1,0,20260806,3,0.3159790933132171,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,0523e07df4b16a951fb2954ed60c803eacdb4fecc960b2b68b7b2d3276a5daa8,3,True
M1,1,20260804,3,0.2811313271522522,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,160580d5b5587728ebc77187657ef689628e97749e39e0a6f58aa7c71348aa13,3,True
M1,1,20260805,3,0.2806079685688019,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,af2659423ba745f70bfb959c3b7e182e3a26f6548052c3c8b69cfc72bd64eeb8,3,True
M1,1,20260806,3,0.2813749015331268,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,bb1a3cee5af9c6e20bf2048429f4ccc433ead1c19e792b78cc076268c0278eed,3,True
M1,2,20260804,3,0.2950744926929474,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,6cb21764f76fec51f776df12595459c3954f49c5f528853b36ce99e5fe558ac7,3,True
M1,2,20260805,1,0.2932989001274109,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,9c8931c356428e9448f38db22e09efa48203c131fd604b4b688cc001e88c5c74,3,True
M1,2,20260806,3,0.2940282225608825,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,2b76a714eeda8ded6b5dc5b8e49ffa5f51ac3904486856a74f0d878d85c102c0,3,True
M1,3,20260804,3,0.2310763299465179,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,ba1b52d8fcbd92ad63f108fe6799376376eb43037097f7b1dac0c4e093de2cdc,3,True
M1,3,20260805,3,0.2286296784877777,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,99d565ce19abc325ca4f3b8488a0af7ee0b872da044b09db2c364743324398ab,3,True
M1,3,20260806,3,0.2299988269805908,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,b085ef82e77a7be896f954c52c5851c9c3979f0003ead317a3dbe1545793450f,3,True
M1,4,20260804,3,0.2294512242078781,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,630ced2a61fa544cb685bb60cb5446a709fbd1cdd0fe8c2a44b6508efc30254d,3,True
M1,4,20260805,3,0.2300767004489898,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,35ea32daddd0efc401b9b50ba11a15671e284d599ad466378ce2e4076dc7b647,3,True
M1,4,20260806,3,0.2289749830961227,464cdee760080d0e15ab1d2f71f364d5d9b5cb99d195346c04a78b09e51b16e1,28bacaec7fea6441a3421cce25252cc1998bf0d262dd07932b5b82d0358ab812,3,True
