seed,epoch,total_loss,L_profile,L_JS,L_spectral_CDF,L_angular_CDF,L_log_power,L_auxiliary,optimizer_steps,backward_calls,scope
20260804,1,0.5930690575701494,1.4100891252358754,0.11806893224517505,0.11298413077990214,0.04904450414081415,0.30200055489937466,0.42839453121026355,6,6,IN_SAMPLE_TRAINING_SANITY_ONLY
20260804,2,0.5917858047566066,1.408382495244344,0.11746478577454884,0.11221333841482799,0.0486651531731089,0.29856956005096436,0.4274048904577891,12,12,IN_SAMPLE_TRAINING_SANITY_ONLY
20260804,3,0.5897556050680579,1.4055675566196442,0.11650705958406131,0.1110215683778127,0.04813077487051487,0.2934858699639638,0.4256821970144908,18,18,IN_SAMPLE_TRAINING_SANITY_ONLY
20260805,1,0.5934643431566655,1.4114229281743367,0.11894409731030464,0.11267014965415001,0.04898766987025738,0.29953300952911377,0.42951049904028576,6,6,IN_SAMPLE_TRAINING_SANITY_ONLY
20260805,2,0.5921470124584932,1.409556269645691,0.11826685940225919,0.11213411514957745,0.04866601340472698,0.29565927386283875,0.4292599906524022,12,12,IN_SAMPLE_TRAINING_SANITY_ONLY
20260805,3,0.5900600179408987,1.4064415991306305,0.11718617379665375,0.11137223367889722,0.04825387398401896,0.2898021837075551,0.42888177931308746,18,18,IN_SAMPLE_TRAINING_SANITY_ONLY
20260806,1,0.5937059310264885,1.4095670680205028,0.11853525911768277,0.11192165190974872,0.04839144088327885,0.31271115442117053,0.42664652069409686,6,6,IN_SAMPLE_TRAINING_SANITY_ONLY
20260806,2,0.5921998575950663,1.408118228117625,0.1179981529712677,0.11147982130448024,0.04816616699099541,0.3050389438867569,0.42616109053293866,12,12,IN_SAMPLE_TRAINING_SANITY_ONLY
20260806,3,0.5897293009174366,1.4055793583393097,0.11706311504046123,0.11086225261290868,0.04783229467769464,0.2930416166782379,0.42511117458343506,18,18,IN_SAMPLE_TRAINING_SANITY_ONLY
20260807,1,0.5925381237951418,1.408324619134267,0.1185327817996343,0.11222308625777562,0.048723201577862106,0.30472609400749207,0.4260679632425308,6,6,IN_SAMPLE_TRAINING_SANITY_ONLY
20260807,2,0.5912419264825681,1.4067642986774445,0.11793796718120575,0.11169407640894254,0.04851861111819744,0.29963603367408115,0.4258264402548472,12,12,IN_SAMPLE_TRAINING_SANITY_ONLY
20260807,3,0.5893002858075003,1.4044312636057537,0.11700353523095448,0.1109936311841011,0.048237000281612076,0.29195017615954083,0.42538048326969147,18,18,IN_SAMPLE_TRAINING_SANITY_ONLY
20260808,1,0.5932079034547011,1.4112303753693898,0.11830450221896172,0.11289270967245102,0.04928053170442581,0.29898114999135333,0.42784540851910907,6,6,IN_SAMPLE_TRAINING_SANITY_ONLY
20260808,2,0.5920178862909476,1.4095491568247478,0.11773319790760677,0.11212605237960815,0.04890687266985575,0.2960245609283447,0.42743293941020966,12,12,IN_SAMPLE_TRAINING_SANITY_ONLY
20260808,3,0.5900677534751594,1.406737744808197,0.11681882664561272,0.11101428295175235,0.04835964801410834,0.29106321434179944,0.42666732768217724,18,18,IN_SAMPLE_TRAINING_SANITY_ONLY
