geometry_hash,JS,joint_L1,spectral_CDF,angular_CDF,normalization_closure,power_abs_error,auxiliary_MAE,scope,not_OOF,not_external_validation,not_promotion_evidence
ade5b21d24b86d5d215aadb225fdbd3b5e60061fba0add89812aff0dc479ca47,0.08826352784691685,0.7251332965330852,0.10732897714247504,0.04562997407867699,2.220446049250313e-16,0.011684289873754878,9.932348840010933,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,0.10671193722974535,0.6811224702517834,0.1269334876927593,0.01106351015884746,4.440892098500626e-16,0.016886338639363497,12.505804438447253,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
b1f80af1bc7a5f28ddbb3048e70c62c9f48a9feb95f65ff57ac33aa79d21554e,0.23896224078109016,1.1346030429778657,0.23534162756511726,0.0892553029211744,3.3306690738754696e-16,0.009120226971082005,21.043217452955286,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
b56d54e2664550858761b4c197b0f0317c09c93e4b2eda4cb551577d99eb6c50,0.12328756635967489,0.7694960197319006,0.16435524575294622,0.01344576636239977,2.220446049250313e-16,0.01847300368464461,12.428193633838033,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
b5fb5a45b01a0a87a2465c28e92b15bf9812c341af17bf3b37162c57767196f5,0.12643454753726482,0.8269355181188723,0.09494813657579848,0.04968737105500442,2.220446049250313e-16,0.015420803157613953,5.512679736224312,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
b7989bd6ee362ed4ff9f536ae48b52dad95a2c0c4918b5784863050c33b6ee21,0.03022211250478516,0.35700532443947725,0.039851336229265254,0.041261335620937985,3.3306690738754696e-16,0.03601495617876767,4.3537405154013715,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,0.025386360662124824,0.31916130524240804,0.02645898897107038,0.045097772469504846,2.220446049250313e-16,0.05082901930880379,7.072547301907522,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,0.19455946150476935,1.016558049824905,0.22174699883763493,0.052882274360152456,2.220446049250313e-16,0.00648360572130938,20.804134024044718,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
bb69cff1e2c4268b3aaa6a38a90d1c5801b3e7f74efab529d046ac22682306a2,0.08450214750948154,0.6357940851413827,0.06199773177192966,0.06810967279929846,0.0,0.017371789001877087,11.101853487751118,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
bc8447b50312e823e17440d084c8a118825920532130874b736716a2ff987d18,0.019010560395007512,0.26120399097897967,0.025807070367765052,0.03575039653506165,6.661338147750939e-16,0.032482011378022264,6.6805799312887535,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
c0290b43f24c00a86f7a6cbf3e4a5c7d191ba4f2be06acb85f03dbbbd5be2f90,0.25549429355892567,1.1936502839254108,0.20909595931428943,0.12346755504289919,2.220446049250313e-16,0.011807183797868999,21.804089621468457,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
c1440cbfd312dd7f8fcedf1951837cd8d9b7eb021f3b08ce94ca94572f3780db,0.1333016912669984,0.7486360058324979,0.16370391818021493,0.01988609117813325,3.3306690738754696e-16,0.014597325393576131,16.016958229195563,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
c5c1d892909f33763669e699a21a5116ec605610598477d0d86451a3e7f9971e,0.2340252773017339,1.102492813862889,0.22965331443331052,0.08364243312906634,6.661338147750939e-16,0.0056424989746850715,11.845868902640287,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
c7c1efcdd9b90e410b4203a5fdc28896acdc284482bb696e7d7247b6d4e45f65,0.22144438735102984,1.0460954941673672,0.23078383752525222,0.0632315171341733,5.551115123125783e-16,0.008193150889477592,19.84774222457232,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
cae579789652bd04d40bdfbdead70de2183c41922499d96795bf974c864f94d9,0.06633203382004656,0.4987148249715166,0.11334787450329621,0.012909098776948952,3.3306690738754696e-16,0.02540738846055967,8.06502171922521,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
d18846855c31a6765b63a8b85e941f3e99667c9ed34c8636bb7d6890c67dddc1,0.28315587304291157,1.3051535649399317,0.2104690994878157,0.14334966990522888,1.1102230246251565e-16,0.014956274318383433,21.45632030812143,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
d2ef57bc112e900e3e5167b2ade7afc46a4d61e83ffe64c83745894092e7378c,0.08964958792047795,0.6794538149475539,0.1451227217683814,0.06882589168704388,0.0,0.017260860748431913,10.634338183658102,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
d9ce33a8b1ac692deb8262e2b4cd03294cfb9f46690a9f9ea34502de0143059b,0.04072066962133262,0.39408290379335087,0.009190691220020976,0.050525041609457255,3.3306690738754696e-16,0.034035448627153214,10.058584860549429,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
dde1aea4dc7ea2925e2a5aa3bddf93895c3ae1de875382bfdfc06f2c55d9dd18,0.01483709775097346,0.24648195485992322,0.01840416924444579,0.024021633262606364,6.661338147750939e-16,0.03928712770366694,5.246217876613868,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
decaadd388169a917ec0130ea0989412c36451f24315dc61a1345b01d4f51116,0.23262874177745585,1.166076289036319,0.20804638060746278,0.10297212418888944,1.1102230246251565e-16,0.01682369428088896,17.939428790750565,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
e06d6cca614ba6d48b9d4810052b6fbc7835fd799f389591d92b254f39bfc803,0.024295332299426837,0.3390986710375509,0.02063696467164472,0.03199903617572886,3.3306690738754696e-16,0.03978977315744163,4.503690579841396,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
e33d654e6075b967602b04414126ab59361d48993c4ab1a4f787d2e443ae0c10,0.08884790496707601,0.6587729885937359,0.11287160563395852,0.07081237864695902,2.220446049250313e-16,0.019449682254724134,9.260843531595679,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
e548aca0a05a27392bdd325a857ad8c6ad1537e8679bdd3001fea52ed9090e5c,0.17373699855289168,0.9693825163580693,0.2355595003216064,0.030921118539939344,4.440892098500626e-16,0.0008828752224939521,18.51491883268138,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
e78dd44cb0a1a957a456e5834a533d8601bce60011e3d557dcd68c7ff538e1ac,0.2316135747318808,1.1905009412302425,0.1750726832491957,0.04127630127338278,2.220446049250313e-16,0.01856087947404481,7.025864306961035,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
ef1e291f9eb5116f051597a5803fd3716bfd8c4fb571cfc0dcd4048e6546f316,0.04334696553473568,0.45723047032032765,0.05751469714741416,0.021474844430200604,4.440892098500626e-16,0.0432257308157627,8.117143644222399,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
f0c87fb0117933dd74d380264f46f12148d61d477199abb354621227e692bcda,0.06281873379024336,0.5761677922921645,0.09855426014419187,0.047241533453606877,2.220446049250313e-16,0.019965001881673317,4.568424445059953,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
f235421c541eab69be275642c39cea99bcde49dfff0fe47ed1b1ad350a7ff54f,0.22514217291364155,1.1912406517011653,0.22136054187198687,0.12781662040069416,5.551115123125783e-16,0.012705825710744063,22.82203418854242,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,0.026364921069516878,0.34475135665539874,0.023774510996405863,0.03854014632752043,5.551115123125783e-16,0.051379025312406165,5.996220139370084,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
f7dc75daa673c5f253ed3207ffbdf94936856402aea54ff7b59937dd1478b17f,0.12634743412589447,0.7829353782264741,0.15538410509008663,0.07254105849244857,1.1102230246251565e-16,0.02231833193609242,10.109628496316777,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
f7dd87a2342cfa3691b843f2446af6860aac48fd837d8a10c1d4a10491f38052,0.027165590005344298,0.2912140163499237,0.010299521807883988,0.039605148989642444,2.220446049250313e-16,0.038350885572850775,8.1389831950779,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
f962e44a7c1455f733cd4b7e40e4db2a21fc279ffade30861e2aacea76246382,0.04814440483377454,0.49049517611602195,0.03840148975528825,0.05124806160365594,1.1102230246251565e-16,0.03899009943621787,5.329253713402369,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,0.022719518481664095,0.3011690502093736,0.015370757061829372,0.03562842557475466,2.220446049250313e-16,0.04899964986545663,6.013985179268517,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
fdc351cb14ee43280047309cba245e764cef04c35b68eea1b6bea31700edf784,0.28561092579747915,1.322940896087986,0.09077023608858445,0.08241855691297588,0.0,0.018597059070941956,17.294832468610586,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
ff73fc6622cb7c3f671e60bcd08a9026b91998da3b22d4b0243d46d0ce0cffcb,0.22709079027195217,1.0585607893994846,0.22236967437116217,0.08621761528260025,0.0,0.012073351928851547,12.498456446765994,IN_SAMPLE_TRAINING_SANITY_ONLY,True,True,True
