defect_thickness_nm,fdtd_selection_used,geometry_hash,geometry_id,layer_count,ml_prediction_selection_used,namespace,performance_selection_used,selection_stratum,tmm_selection_used,topology_family,total_thickness_nm,uncertainty_selection_used,fold,role,final_training_eligible
130,False,9a2cb3a5d5e531f6de593bcea1cb27f8ed1f9eb895b684251656f2acdd8b0d74,V2_DOE_000,9,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,off_center_defect,700,False,2,FORMAL_FIXED_V2_DEVELOPMENT,True
131,False,f0c87fb0117933dd74d380264f46f12148d61d477199abb354621227e692bcda,V2_DOE_001,10,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,grouped_chirped,713,False,3,FORMAL_FIXED_V2_DEVELOPMENT,True
132,False,a2b34071ba3c5c2d1b118547a6511eba0b9d6c826c6549a0d117d3dbadbd4675,V2_DOE_002,11,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,dual_defect,726,False,3,FORMAL_FIXED_V2_DEVELOPMENT,True
133,False,391ead889422de8638a22fe112be38ee40de3d6b9574211015653cccb6c3a91d,V2_DOE_003,12,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,termination_reversed,739,False,2,FORMAL_FIXED_V2_DEVELOPMENT,True
134,False,bb02463ca4ba8d623e65d621fd3460d468bf715d35850bdbe67d90a11b8b12cb,V2_DOE_004,13,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,locally_aperiodic,752,False,3,FORMAL_FIXED_V2_DEVELOPMENT,True
135,False,7c4eb9320d1fce687df19bd600f49ea264fde6cb2d36ca25d7918d28dc235483,V2_DOE_005,14,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,hybrid_periodic_aperiodic,765,False,2,FORMAL_FIXED_V2_DEVELOPMENT,True
136,False,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,V2_DOE_006,15,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,symmetric_periodic,778,False,0,FORMAL_FIXED_V2_DEVELOPMENT,True
137,False,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,V2_DOE_007,16,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,asymmetric_pair_count,791,False,3,FORMAL_FIXED_V2_DEVELOPMENT,True
138,False,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,V2_DOE_008,17,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,off_center_defect,804,False,1,FORMAL_FIXED_V2_DEVELOPMENT,True
139,False,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,V2_DOE_009,18,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,grouped_chirped,817,False,4,FORMAL_FIXED_V2_DEVELOPMENT,True
140,False,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,V2_DOE_010,19,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,dual_defect,830,False,4,FORMAL_FIXED_V2_DEVELOPMENT,True
141,False,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,V2_DOE_011,20,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,termination_reversed,843,False,3,FORMAL_FIXED_V2_DEVELOPMENT,True
142,False,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,V2_DOE_012,21,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,locally_aperiodic,856,False,1,FORMAL_FIXED_V2_DEVELOPMENT,True
143,False,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,V2_DOE_013,22,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,hybrid_periodic_aperiodic,869,False,3,FORMAL_FIXED_V2_DEVELOPMENT,True
144,False,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,V2_DOE_014,23,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,symmetric_periodic,882,False,4,FORMAL_FIXED_V2_DEVELOPMENT,True
145,False,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,V2_DOE_015,24,False,MDC_HF_SURROGATE_V2_NEW_GEOMETRY,False,maximin_farthest_point_space_filling,False,asymmetric_pair_count,895,False,4,FORMAL_FIXED_V2_DEVELOPMENT,True
