file,relative_file,keywords,matched_symbol_names,symbol_count
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\__init__.py,fmmax\__init__.py,source;brillouin;gaussian;amplitude;flux;poynting,,0
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_fields.py,fmmax\_fields.py,source;brillouin;amplitude;flux;poynting,propagate_amplitude;colocate_amplitudes;_validate_amplitudes_shape;amplitude_poynting_flux;directional_poynting_flux;eigenmode_poynting_flux;_poynting_flux_a_matrix;stack_amplitudes_interior;stack_amplitudes_interior_with_source;layer_amplitudes_interior;fields_from_wave_amplitudes;_poynting_flux_subset,26
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\basis.py,fmmax\basis.py,brillouin,brillouin_zone_in_plane_wavevector,1
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\beams.py,fmmax\beams.py,source,,2
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\farfield.py,fmmax\farfield.py,source;brillouin;bz;flux,farfield_integrated_flux;_integrated_flux_weights;_integrated_flux_upsampled;_unflatten_flux,10
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\fields.py,fmmax\fields.py,source;amplitude;flux;poynting,time_average_z_poynting_flux,1
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\fmm.py,fmmax\fmm.py,source,,12
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\fmm_matrices.py,fmmax\fmm_matrices.py,flux,,12
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\sources.py,fmmax\sources.py,dipole;source;brillouin;gaussian;amplitude,amplitudes_for_fields;dirac_delta_source;gaussian_source;amplitudes_for_source,7
C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\vector.py,fmmax\vector.py,amplitude,,30
