module,is_package,import_ok,path,public_callables_preview
fmmax._basis,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_basis.py,"Any(*args, **kwargs) | Tuple(*args, **kwargs) | LatticeVectors(u: jax.Array, v: jax.Array) -> None | Expansion(basis_coefficients: numpy.ndarray[typing.Any, typing.Any]) -> None | Truncation(*values) | min_array_shape_for_expansion(expansion: fmmax._basis.Expansion) -> Tuple[int, int] | validate_shape_for_expansion(shape: Tuple[int, ...], expansion: fmmax._basis.Expansion) -> None | generate_expansion(primitive_lattice_vectors: fmmax._basis.LatticeVectors, approximate_num_terms: int, truncation: fmmax._basis.Truncation = <Truncation.CIRCULAR: 'circular'>) -> fmmax._basis.Expansion | unit_cell_coordinates(primitive_lattice_vectors: fmmax._basis.LatticeVectors, shape: Tuple[int, int], num_unit_cells: Tuple[int, int] = (1, 1)) -> Tuple[jax.Array, jax.Array] | plane_wave_in_plane_wavevector(wavelength: jax.Array, polar_angle: jax.Array, azimuthal_angle: jax.Array, permittivity: jax.Array) -> jax.Array | transverse_wavevectors(in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion) -> jax.Array"
fmmax._fft,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_fft.py,
fmmax._fields,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_fields.py,"Callable(*args, **kwargs) | Optional(*args, **kwds) | Sequence(*args, **kwargs) | Tuple(*args, **kwargs) | Field(*args, **kwargs) | propagate_amplitude(amplitude: jax.Array, distance: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> jax.Array | colocate_amplitudes(forward_amplitude_start: jax.Array, backward_amplitude_end: jax.Array, z_offset: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult, layer_thickness: jax.Array) -> Tuple[jax.Array, jax.Array] | amplitude_poynting_flux(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[jax.Array, jax.Array] | directional_poynting_flux(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[jax.Array, jax.Array] | eigenmode_poynting_flux(layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> jax.Array | stack_amplitudes_interior(s_matrices_interior: Tuple[Tuple[fmmax._scattering.ScatteringMatrix, fmmax._scattering.ScatteringMatrix], ...], forward_amplitude_0_start: jax.Array, backward_amplitude_N_end: jax.Array) -> Tuple[Tuple[jax.Array, jax.Array], ...] | stack_amplitudes_interior_with_source(s_matrices_interior_before_source: Tuple[Tuple[fmmax._scattering.ScatteringMatrix, fmmax._scattering.ScatteringMatrix], ...], s_matrices_interior_after_source: Tuple[Tuple[fmmax._scattering.ScatteringMatrix, fmmax._scattering.ScatteringMatrix], ...], backward_amplitude_before_end: jax.Array, forward_amplitude_after_start: jax.Array) -> Tuple[Tuple[jax.Array, jax.Array], ...]"
fmmax._fmm,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_fmm.py,"Callable(*args, **kwargs) | Tuple(*args, **kwargs) | LayerSolveResult(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion, eigenvalues: jax.Array, eigenvectors: jax.Array, omega_script_k_matrix: jax.Array, z_permittivity_matrix: jax.Array, inverse_z_permittivity_matrix: jax.Array, transverse_permittivity_matrix: jax.Array, z_permeability_matrix: jax.Array, inverse_z_permeability_matrix: jax.Array, transverse_permeability_matrix: jax.Array, tangent_vector_field: Optional[Tuple[jax.Array, jax.Array]]) -> None | TensorComponents(*args, **kwargs) | VectorFn(*args, **kwargs) | Formulation(*values) | broadcast_result(layer_solve_result: 'LayerSolveResult', shape: Tuple[int, ...]) -> 'LayerSolveResult'"
fmmax._fmm_result,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_fmm_result.py,"Optional(*args, **kwds) | Tuple(*args, **kwargs) | LayerSolveResult(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion, eigenvalues: jax.Array, eigenvectors: jax.Array, omega_script_k_matrix: jax.Array, z_permittivity_matrix: jax.Array, inverse_z_permittivity_matrix: jax.Array, transverse_permittivity_matrix: jax.Array, z_permeability_matrix: jax.Array, inverse_z_permeability_matrix: jax.Array, transverse_permeability_matrix: jax.Array, tangent_vector_field: Optional[Tuple[jax.Array, jax.Array]]) -> None"
fmmax._scattering,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_scattering.py,"Tuple(*args, **kwargs) | ScatteringMatrix(s11: jax.Array, s12: jax.Array, s21: jax.Array, s22: jax.Array, start_layer_solve_result: fmmax._fmm_result.LayerSolveResult, start_layer_thickness: jax.Array, end_layer_solve_result: fmmax._fmm_result.LayerSolveResult, end_layer_thickness: jax.Array) -> None | append_layer(s_matrix: fmmax._scattering.ScatteringMatrix, next_layer_solve_result: fmmax._fmm_result.LayerSolveResult, next_layer_thickness: jax.Array, force_x64_solve: bool = False) -> fmmax._scattering.ScatteringMatrix | prepend_layer(s_matrix: fmmax._scattering.ScatteringMatrix, next_layer_solve_result: fmmax._fmm_result.LayerSolveResult, next_layer_thickness: jax.Array, force_x64_solve: bool = False) -> fmmax._scattering.ScatteringMatrix | set_end_layer_thickness(s_matrix: fmmax._scattering.ScatteringMatrix, thickness: jax.Array) -> fmmax._scattering.ScatteringMatrix | set_start_layer_thickness(s_matrix: fmmax._scattering.ScatteringMatrix, thickness: jax.Array) -> fmmax._scattering.ScatteringMatrix"
fmmax._utils,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\_utils.py,"Tuple(*args, **kwargs) | interpolate_permittivity(permittivity_solid: jax.Array, permittivity_void: jax.Array, density: jax.Array) -> jax.Array | angular_frequency_for_wavelength(wavelength: jax.Array) -> jax.Array | absolute_axes(axes: Tuple[int, ...], ndim: int) -> Tuple[int, ...]"
fmmax.basis,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\basis.py,"Tuple(*args, **kwargs) | Expansion(basis_coefficients: numpy.ndarray[typing.Any, typing.Any]) -> None | LatticeVectors(u: jax.Array, v: jax.Array) -> None | Truncation(*values) | generate_expansion(primitive_lattice_vectors: fmmax._basis.LatticeVectors, approximate_num_terms: int, truncation: fmmax._basis.Truncation = <Truncation.CIRCULAR: 'circular'>) -> fmmax._basis.Expansion | min_array_shape_for_expansion(expansion: fmmax._basis.Expansion) -> Tuple[int, int] | plane_wave_in_plane_wavevector(wavelength: jax.Array, polar_angle: jax.Array, azimuthal_angle: jax.Array, permittivity: jax.Array) -> jax.Array | transverse_wavevectors(in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion) -> jax.Array | unit_cell_coordinates(primitive_lattice_vectors: fmmax._basis.LatticeVectors, shape: Tuple[int, int], num_unit_cells: Tuple[int, int] = (1, 1)) -> Tuple[jax.Array, jax.Array] | validate_shape_for_expansion(shape: Tuple[int, ...], expansion: fmmax._basis.Expansion) -> None | brillouin_zone_in_plane_wavevector(brillouin_grid_shape: Tuple[int, int], primitive_lattice_vectors: fmmax._basis.LatticeVectors) -> jax.Array"
fmmax.beams,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\beams.py,"Callable(*args, **kwargs) | Tuple(*args, **kwargs) | Fields(*args, **kwargs) | shifted_rotated_fields(field_fn: Callable[[jax.Array, jax.Array, jax.Array], Tuple[Tuple[jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array, jax.Array]]], x: jax.Array, y: jax.Array, z: jax.Array, beam_origin_x: jax.Array, beam_origin_y: jax.Array, beam_origin_z: jax.Array, polar_angle: jax.Array, azimuthal_angle: jax.Array, polarization_angle: jax.Array) -> Tuple[Tuple[jax.Array, jax.Array, jax.Array], Tuple[jax.Array, jax.Array, jax.Array]]"
fmmax.eig,False,True,C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\site-packages\fmmax\eig.py,"Tuple(*args, **kwargs) | eig(matrix: jax.Array, eps_relative: float = 1e-12) -> Tuple[jax.Array, jax.Array]"
