selection,rank_ascending_eta_plus1_mae,geometry_id,polarization,wavelength_nm,eta_plus1_truth,eta_plus1_prediction,absolute_error,spectral_provider
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,445,0.00400693273757737,-0.03355295459840597,0.03755988733598334,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,446,0.004395352579229613,-0.027615478810122884,0.0320108313893525,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,447,0.00761187137654857,-0.02576668964923874,0.03337856102578731,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,448,0.01107465047545405,-0.026386641554678365,0.03746129203013242,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,449,0.0032334335717909544,-0.027906947135939397,0.031140380707730352,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,450,0.03313127564214439,-0.028322089969992092,0.061453365612136476,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,451,0.025387206498470382,-0.025796033275488472,0.051183239773958854,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,452,0.008371759123151617,-0.017442541420076785,0.0258143005432284,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,453,0.028951032840567072,-0.0003735895403177217,0.029324622380884794,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,454,0.027508995763197795,0.018136068263486557,0.009372927499711237,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,p,455,0.02683500978535579,0.02944748246448105,0.0026124726791252606,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,445,0.026333580527421636,0.0011085576820274584,0.025225022845394178,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,446,0.025310544627278803,0.00704603347031052,0.018264511156968283,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,447,0.023543231141579562,0.008894822631194663,0.0146484085103849,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,448,0.02115764828927555,0.008274870725755001,0.012882777563520548,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,449,0.01877537695506496,0.006754565144494018,0.012020811810570943,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,450,0.0172990233256634,0.006339422310441323,0.010959601015222076,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,451,0.018144340261006617,0.008865479004944915,0.009278861256061702,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,452,0.02345604517624746,0.017218970860356606,0.006237074315890854,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,453,0.031590093434391585,0.03428792274011569,0.0026978293057241046,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,454,0.03279978170966338,0.05279758054391995,0.01999779883425657,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,s,455,0.028487932542487923,0.06410899474491444,0.035621062202426515,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,445,0.572324908298,0.5927795669038521,0.02045465860585216,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,446,0.566773037886,0.6119192456546696,0.04514620776866962,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,447,0.529854454215,0.616254507298688,0.08640005308368803,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,448,0.379287115141,0.6232979037742894,0.2440107886332894,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,449,0.550696078373,0.6324396793923988,0.0817436010193987,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,450,0.592670829829,0.6430690906259445,0.05039826079694454,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,451,0.606820703107,0.6549072758959925,0.04808657278899253,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,452,0.615706233938,0.6671542364494779,0.051448002511477964,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,453,0.622987710439,0.6806179037190315,0.057630193280031494,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,454,0.629141211626,0.6941386737024486,0.06499746207644863,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,p,455,0.631591639435,0.7089036000462349,0.07731196061123491,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,445,0.583513753288,0.6254850153479963,0.04197126205999624,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,446,0.596919429016,0.6446246940988137,0.0477052650828137,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,447,0.606914861199,0.6489599557428322,0.04204509454383221,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,448,0.615226494194,0.6560033522184336,0.04077685802443365,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,449,0.62277198635,0.6651451278365429,0.04237314148654292,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,450,0.629290184138,0.6757745390700887,0.04648435493208869,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,451,0.632802594661,0.6876127243401365,0.054810129679136566,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,452,0.63463288117,0.6998596848936222,0.0652268037236221,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,453,0.63566494283,0.7133233521631758,0.0776584093331758,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,454,0.638056132221,0.7268441221465928,0.08878798992559278,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,s,455,0.640306377159,0.7416090484903791,0.10130267133137916,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,445,0.36910622557513906,0.6164819543515442,0.24737572877640512,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,446,0.3621607727936685,0.6142412905545607,0.2520805177608922,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,447,0.25806555448117263,0.6097944306850549,0.35172887620388227,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,448,0.25161579997238614,0.6040010700150601,0.35238527004267395,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,449,0.358247451030232,0.5962599095595287,0.2380124585292967,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,450,0.20695992651606712,0.5834398446858088,0.3764799181697417,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,451,0.1677509104181098,0.5613329564179922,0.3935820459998824,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,452,0.030698343706850383,0.5222130263663991,0.49151468265954873,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,453,0.14164388400454628,0.4685318454665029,0.32688796146195664,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,454,0.23971298153253154,0.4201413695224651,0.18042838798993358,LF_ridge_residual/ensemble_raw
Worst,22,K6X_D135_D155_D190_D220_D225_D230,p,455,0.28104969485907216,0.3992200179231271,0.11817032306405495,LF_ridge_residual/ensemble_raw
