structure_id,gan_representation,delta_r_abs,delta_t_abs,delta_R,delta_T,delta_power_entering,delta_A_stack,oracle_status
complex_GaN_air_interface,native_m1_raw_table,5.551115123125783e-17,1.734723475976807e-18,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,pass
one_absorbing_finite_film,synthetic_passive_gate,1.6653571243298153e-16,0.0,1.1102230246251565e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,pass
P1_EXPLICIT_FAB_G3_A3,native_m1_raw_table,3.292209391721612e-15,8.749348150435328e-15,-2.7200464103316335e-15,1.0103029524088925e-14,2.7755575615628914e-15,-7.327471962526033e-15,pass
P1_ZL1_NOMINAL_G3_A3,native_m1_raw_table,9.972800793413393e-15,1.6236988012411384e-14,-9.922618282587337e-16,1.965094753586527e-14,5.551115123125783e-16,-1.9095836023552692e-14,pass
P1_ZL1_ALTERNATIVE_G3_A3,native_m1_raw_table,2.3833055165004076e-15,4.599392841359542e-15,-1.1796119636642288e-16,5.773159728050814e-15,3.3306690738754696e-16,-5.440092820663267e-15,pass
