static_structure_id,topology,geometry_hash,canonical_sequence_hash,layer_count,total_thickness_nm,effective_center_nm,sequence_GaN_to_Air
P1_EXPLICIT_FAB_G3_A3,Explicit,d44569052e0f3a8a152560418bd816b72732300d993a080fe75186331599ebdf,b9e36efe180e91309a5b25d830192573c74d76fca7b48f8945cd36eab8a1cb58,13,900,,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79
P1_ZL1_NOMINAL_G3_A3,ZL-1,ad8cbef5a96144d8d7d0e2d9bdba185905a6250f90a83b945bfb99b967482af5,e111e88a5a13e61d7bcb89f48307f6e54fc850b296565ea03bba57c3fd1f2747,12,978,312,H46 L78 H46 L78 H46 L312 H46 L78 H46 L78 H46 L78
P1_ZL1_ALTERNATIVE_G3_A3,ZL-1,c38694d6f162c04322ae8a87def91622d4fd4f272e4ec286e85acc978f74d888,07a8ecbcb195f5620d693d95fb485c416395b380d1cb60b1e76aac0ef0127730,12,975,316,H44 L79 H44 L79 H44 L316 H44 L79 H44 L79 H44 L79
