wavelength_nm,plus1_absolute_efficiency,plus1_blank_normalized
445.0,0.4421528448249277,0.45269888830480143
445.99999999999994,0.6301597614197759,0.6451836096745323
446.99999999999994,0.7074207102584205,0.7242858959768936
448.00000000000006,0.7470144952073162,0.7648274520721675
449.0,0.7743777793022739,0.7928420445259634
450.0,0.7996363414976205,0.8186954865309863
450.9999999999999,0.8072102644966399,0.8264457867945989
451.99999999999994,0.7308969985553563,0.7483172617967297
453.00000000000006,0.7804760626095216,0.7990820945353676
453.9999999999999,0.8041646341208498,0.8233335110675737
455.00000000000006,0.8179085778592732,0.8374011423019603
