subrun_id,candidate_id,input_polarization,status,solver_entered,failure_code,wavelength_nm_contract,physics_label
LPML_R1_PHASE_REGION_132_x,LPML_R1_PHASE_REGION_132,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_PHASE_REGION_132_y,LPML_R1_PHASE_REGION_132,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_PROJECTOR_REGION_193_x,LPML_R1_PROJECTOR_REGION_193,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_PROJECTOR_REGION_193_y,LPML_R1_PROJECTOR_REGION_193,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_PROJECTOR_REGION_194_x,LPML_R1_PROJECTOR_REGION_194,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_PROJECTOR_REGION_194_y,LPML_R1_PROJECTOR_REGION_194,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_BOUNDARY_FAILURE_225_x,LPML_R1_BOUNDARY_FAILURE_225,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_BOUNDARY_FAILURE_225_y,LPML_R1_BOUNDARY_FAILURE_225,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_BOUNDARY_FAILURE_226_x,LPML_R1_BOUNDARY_FAILURE_226,x,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
LPML_R1_BOUNDARY_FAILURE_226_y,LPML_R1_BOUNDARY_FAILURE_226,y,NOT_RUN_AFTER_HARD_STOP,False,NOT_SCHEDULED_AFTER_STOP,450.0..454.0 step 0.5,ABSENT_NOT_SIMULATED
