material_object_name,wavelength_nm,n,k
GaN,420,2.4664692814058395,0.09466566831108154
GaN,448,2.417746223656739,0.08468287446906603
GaN,450,2.4149464763535775,0.08415346869326513
GaN,453,2.4108839274125042,0.08339183334098219
GaN,480,2.3805013634416925,0.07786828096441842
