lobe,peak_angle_deg,left_halfmax_deg,right_halfmax_deg,fwhm_deg
negative,-36.07150156714285,-38.40635370835972,-33.95723346366574,4.4491202446939795
positive,36.07150156714285,33.95723361187606,38.40635380688906,4.449120195012995
