trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-89.99999914622636,8.381238578917781e-08
case,-0.7,-87.43680027996089,1.6170690667005837e-07
case,-0.7,-86.37478578672372,2.135405140739534e-07
case,-0.7,-85.55966694730674,2.6359920999638957e-07
case,-0.7,-84.87231698093369,3.13451582315592e-07
case,-0.7,-84.26659730796267,3.633026842813357e-07
case,-0.7,-83.7188473002472,4.12937465762839e-07
case,-0.7,-83.21501265029943,4.619570555080523e-07
case,-0.7,-82.74593696669073,5.098681535473431e-07
case,-0.7,-82.30526072729027,5.561275913707365e-07
case,-0.7,-81.88835398580235,6.00169974506515e-07
case,-0.7,-81.49172179461118,6.414279402698253e-07
case,-0.7,-81.11264914981503,6.793487498647874e-07
case,-0.7,-80.74897712783695,7.134087689403004e-07
case,-0.7,-80.39895542436832,7.431264838599003e-07
case,-0.7,-80.06114165487263,7.680742876987176e-07
case,-0.7,-79.73433047718744,7.878890715346996e-07
case,-0.7,-79.41750240380574,8.022815603883816e-07
case,-0.7,-79.10978600479763,8.110442897697303e-07
case,-0.7,-78.8104294537864,8.140581048797584e-07
case,-0.7,-78.51877874041668,8.11297068288448e-07
case,-0.7,-78.23426073431965,8.028316769564914e-07
case,-0.7,-77.95636984216819,7.888303120085374e-07
case,-0.7,-77.68465736788467,7.695588722614501e-07
case,-0.7,-77.41872293538925,7.453785734278539e-07
case,-0.7,-77.15820750531542,7.167419278049326e-07
case,-0.7,-76.90278763795686,6.841869529961516e-07
case,-0.7,-76.65217074095705,6.483296918173246e-07
case,-0.7,-76.40609110272075,6.098551581294898e-07
case,-0.7,-76.1643065583835,5.695068541282859e-07
case,-0.7,-75.92659566925778,5.280750328946126e-07
case,-0.7,-75.6927553222919,4.863839051514653e-07
case,-0.7,-75.46259867554336,4.4527801064315604e-07
case,-0.7,-75.2359533905971,4.056079919168024e-07
case,-0.7,-75.01266010441917,3.6821602120127373e-07
case,-0.7,-74.79257110216234,3.339211393070208e-07
case,-0.7,-74.57554915954199,3.0350476887484837e-07
case,-0.7,-74.36146652903307,2.7769666284777926e-07
case,-0.7,-74.15020404863628,2.57161542791161e-07
case,-0.7,-73.94165035557546,2.424866707988831e-07
case,-0.7,-73.73570119021143,2.3417058344161472e-07
case,-0.7,-73.5322587778365,2.3261319685821557e-07
case,-0.7,-73.33123127795712,2.381074690549573e-07
case,-0.7,-73.13253229227459,2.5083277920850356e-07
case,-0.7,-72.9360804238938,2.7085015476510024e-07
case,-0.7,-72.74179888138862,2.98099445923954e-07
case,-0.7,-72.5496151222685,3.323985142465922e-07
case,-0.7,-72.35946053115805,3.734444682197025e-07
case,-0.7,-72.17127012864599,4.2081694419432324e-07
case,-0.7,-71.9849823073061,4.739833968013942e-07
case,-0.7,-71.80053859185354,5.323063292601827e-07
case,-0.7,-71.6178834207933,5.950523614872882e-07
case,-0.7,-71.43696394725384,6.614030030855867e-07
case,-0.7,-71.25772985698381,7.304669696152288e-07
case,-0.7,-71.08013320173983,8.012938544528124e-07
case,-0.7,-70.90412824650302,8.728889454157746e-07
case,-0.7,-70.7296713291473,9.442289555048278e-07
case,-0.7,-70.55672073134137,1.014278420885248e-06
case,-0.7,-70.38523655960435,1.0820065068229955e-06
case,-0.7,-70.21518063555617,1.1464039538950652e-06
case,-0.7,-70.04651639450873,1.2064998925311443e-06
case,-0.7,-69.87920879163549,1.2613782538859252e-06
case,-0.7,-69.7132242150396,1.3101935092024854e-06
case,-0.7,-69.54853040510996,1.3521854781651718e-06
case,-0.7,-69.38509637961832,1.3866929591572694e-06
case,-0.7,-69.22289236406615,1.4131659506808688e-06
case,-0.7,-69.06188972683796,1.4311762532556836e-06
case,-0.7,-68.90206091876227,1.44042626462801e-06
case,-0.7,-68.74337941671942,1.4407558077774828e-06
case,-0.7,-68.5858196709698,1.4321468606445533e-06
case,-0.7,-68.4293570559072,1.4147260883067246e-06
case,-0.7,-68.27396782396883,1.3887651120546004e-06
case,-0.7,-68.11962906245793,1.3546784849699537e-06
case,-0.7,-67.9663186530576,1.3130193796650266e-06
case,-0.7,-67.8140152338336,1.2644730302568826e-06
case,-0.7,-67.66269816354124,1.2098480068554162e-06
case,-0.7,-67.51234748806844,1.150065436260996e-06
case,-0.7,-67.36294390886036,1.0861463166177237e-06
case,-0.7,-67.21446875318475,1.019197105879067e-06
case,-0.7,-67.06690394610837,9.503937935597948e-07
case,-0.7,-66.9202319840658,8.809646918451982e-07
case,-0.7,-66.77443590991125,8.121722052176157e-07
case,-0.7,-66.62949928935345,7.452938569011652e-07
case,-0.7,-66.48540618868022,6.816028652369731e-07
case,-0.7,-66.34214115368837,6.22348573268031e-07
case,-0.7,-66.19968918973962,5.68737040095629e-07
case,-0.7,-66.05803574287006,5.219121028099437e-07
case,-0.7,-65.91716668188604,4.829372129248333e-07
case,-0.7,-65.77706828138395,4.527783412807967e-07
case,-0.7,-65.6377272056365,4.3228823043235563e-07
case,-0.7,-65.49913049329244,4.221922538109968e-07
case,-0.7,-65.36126554283915,4.230761167466215e-07
case,-0.7,-65.22412009878309,4.353756061192987e-07
case,-0.7,-65.0876822385048,4.5936856345906464e-07
case,-0.7,-64.95194035974859,4.951692212462823e-07
case,-0.7,-64.81688316871022,5.427250045825403e-07
case,-0.7,-64.68249966868754,6.018158609469112e-07
case,-0.7,-64.5487791492625,6.720561401078929e-07
case,-0.7,-64.4157111759837,7.528990051356011e-07
case,-0.7,-64.28328558052225,8.43643314571039e-07
case,-0.7,-64.15149245127412,9.434428758753679e-07
case,-0.7,-64.02032212438473,1.051317932000107e-06
case,-0.7,-63.88976517517275,1.166168706955723e-06
case,-0.7,-63.75981240993156,1.2867908032327264e-06
case,-0.7,-63.630454858088555,1.411892214411018e-06
case,-0.7,-63.501683764702946,1.5401116907764494e-06
case,-0.7,-63.37349058328467,1.6700381746683788e-06
case,-0.7,-63.24586696891765,1.8002310059430846e-06
case,-0.7,-63.118804771672075,1.929240586600237e-06
case,-0.7,-62.99229603029031,2.055629187434087e-06
case,-0.7,-62.866332966133506,2.1779915785927823e-06
case,-0.7,-62.74090797737537,2.294975170119516e-06
case,-0.7,-62.616013633430946,2.4052993577758883e-06
case,-0.7,-62.49164266960896,2.5077737834919625e-06
case,-0.7,-62.367787981976925,2.6013152383478125e-06
case,-0.7,-62.2444426224285,2.6849629586931383e-06
case,-0.7,-62.12159979394388,2.757892092414936e-06
case,-0.7,-61.999252846033514,2.8194251419741413e-06
case,-0.7,-61.87739527035707,2.8690412231119796e-06
case,-0.7,-61.756020696509225,2.9063830125053454e-06
case,-0.7,-61.63512288796456,2.931261293536228e-06
case,-0.7,-61.51469573817442,2.9436570461326412e-06
case,-0.7,-61.39473326680869,2.943721063739142e-06
case,-0.7,-61.275229616136194,2.931771117298797e-06
case,-0.7,-61.15617904753717,2.9082867221117394e-06
case,-0.7,-61.03757593814228,2.8739015980480448e-06
case,-0.7,-60.91941477759251,2.829393946342782e-06
case,-0.7,-60.801690164914675,2.7756746966433546e-06
case,-0.7,-60.684396805507426,2.7137739057208812e-06
case,-0.7,-60.56752950823321,2.6448255139593226e-06
case,-0.7,-60.45108318261152,2.5700506871197803e-06
case,-0.7,-60.33505283610929,2.490739988721752e-06
case,-0.7,-60.219433571524206,2.408234642528378e-06
case,-0.7,-60.104220584457096,2.3239071549665093e-06
case,-0.7,-59.98940916086991,2.239141573810008e-06
case,-0.7,-59.87499467472562,2.155313662113995e-06
case,-0.7,-59.76097258570651,2.0737712652675453e-06
case,-0.7,-59.64733843700814,1.995815144236497e-06
case,-0.7,-59.534087853205754,1.922680539742118e-06
case,-0.7,-59.42121653818987,1.8555197204468614e-06
case,-0.7,-59.30872027316898,1.7953857534087172e-06
case,-0.7,-59.19659491473636,1.7432177173603317e-06
case,-0.7,-59.084836392998334,1.6998275590304887e-06
case,-0.7,-58.97344070976207,1.665888770033128e-06
case,-0.7,-58.86240393678012,1.641927037097118e-06
case,-0.7,-58.751722214049956,1.6283129919027772e-06
case,-0.7,-58.64139174816628,1.6252571588412076e-06
case,-0.7,-58.531408810723825,1.6328071699374591e-06
case,-0.7,-58.42176973676931,1.6508472862998684e-06
case,-0.7,-58.312470923300324,1.6791002350989265e-06
case,-0.7,-58.20350882780943,1.717131340564098e-06
case,-0.7,-58.09487996687213,1.764354897140866e-06
case,-0.7,-57.98658091477663,1.820042703096668e-06
case,-0.7,-57.87860830219438,1.8833346438265439e-06
case,-0.7,-57.770958814889624,1.953251186208172e-06
case,-0.7,-57.663629192466495,2.028707618909709e-06
case,-0.7,-57.55661622715268,2.1085298488772962e-06
case,-0.7,-57.44991676261811,2.1914715416304188e-06
case,-0.7,-57.34352769282732,2.2762323727739997e-06
case,-0.7,-57.237445960924745,2.3614771405863885e-06
case,-0.7,-57.13166855815133,2.445855474938906e-06
case,-0.7,-57.026192522791696,2.528021866404543e-06
case,-0.7,-56.92101493915078,2.6066557314569014e-06
case,-0.7,-56.816132936558745,2.6804812253550673e-06
case,-0.7,-56.71154368840345,2.7482865138322803e-06
case,-0.7,-56.607244411189534,2.8089422181935487e-06
case,-0.7,-56.503232363622914,2.861418755973759e-06
case,-0.7,-56.399504845720315,2.9048023109558087e-06
case,-0.7,-56.29605919794279,2.9383091820863516e-06
case,-0.7,-56.192892800352176,2.9612982805807373e-06
case,-0.7,-56.09000307179042,2.973281568141164e-06
case,-0.7,-55.987387469080225,2.973932256516467e-06
case,-0.7,-55.885043486246964,2.9630906193316164e-06
case,-0.7,-55.78296865376096,2.9407673008627673e-06
case,-0.7,-55.681160537799265,2.907144042812507e-06
case,-0.7,-55.57961673952677,2.8625717886649667e-06
case,-0.7,-55.47833489439563,2.807566165325738e-06
case,-0.7,-55.37731267146262,2.7428003828732953e-06
case,-0.7,-55.276547772724015,2.6690956347168927e-06
case,-0.7,-55.176037932467004,2.587409121581996e-06
case,-0.7,-55.075780916637626,2.4988198628142138e-06
case,-0.7,-54.97577452222446,2.4045124967793195e-06
case,-0.7,-54.87601657665749,2.3057593079155396e-06
case,-0.7,-54.77650493722212,2.2039007505563555e-06
case,-0.7,-54.67723749048727,2.10032476831285e-06
case,-0.7,-54.5782121517477,1.996445231957635e-06
case,-0.7,-54.47942686447983,1.8936798378260458e-06
case,-0.7,-54.38087959981064,1.7934278222624074e-06
case,-0.7,-54.282568355999494,1.697047855200807e-06
case,-0.7,-54.18449115793227,1.6058364772977893e-06
case,-0.7,-54.08664605662754,1.5210074399606752e-06
case,-0.7,-53.98903112875451,1.4436722960958476e-06
case,-0.7,-53.891644476162206,1.3748225715204537e-06
case,-0.7,-53.79448422541982,1.3153138229537372e-06
case,-0.7,-53.69754852736772,1.2658518586758924e-06
case,-0.7,-53.60083555667886,1.2269813627834869e-06
case,-0.7,-53.504343511430285,1.1990771240713993e-06
case,-0.7,-53.40807061268459,1.182338026629247e-06
case,-0.7,-53.31201510408083,1.1767839120493951e-06
case,-0.7,-53.216175251434755,1.1822553735761176e-06
case,-0.7,-53.12054934234811,1.198416491515722e-06
case,-0.7,-53.02513568582671,1.2247604677511124e-06
case,-0.7,-52.92993261190705,1.2606180662572993e-06
case,-0.7,-52.83493847129136,1.3051687170911057e-06
case,-0.7,-52.740151634990475,1.3574540943989824e-06
case,-0.7,-52.645570493974915,1.4163939354758195e-06
case,-0.7,-52.55119345883336,1.4808038286722644e-06
case,-0.7,-52.45701895943875,1.5494146637590748e-06
case,-0.7,-52.36304544462159,1.6208934098814711e-06
case,-0.7,-52.26927138185027,1.6938648640214414e-06
case,-0.7,-52.17569525691843,1.7669339973481769e-06
case,-0.7,-52.08231557363882,1.838708518251491e-06
case,-0.7,-51.9891308535438,1.907821269350114e-06
case,-0.7,-51.8961396355923,1.972952081327384e-06
case,-0.7,-51.80334047588273,2.0328487189057837e-06
case,-0.7,-51.71073194737209,2.086346573321969e-06
case,-0.7,-51.61831263960105,2.1323867808650934e-06
case,-0.7,-51.526081158424454,2.1700324778309363e-06
case,-0.7,-51.43403612574782,2.1984829379528854e-06
case,-0.7,-51.342176179268826,2.217085378237049e-06
case,-0.7,-51.25049997222457,2.225344262318929e-06
case,-0.7,-51.15900617314364,2.2229279760867825e-06
case,-0.7,-51.067693465603426,2.2096727974631548e-06
case,-0.7,-50.97656054799229,2.1855841299708563e-06
case,-0.7,-50.88560613327656,2.150835017112295e-06
case,-0.7,-50.7948289487722,2.1057620007696303e-06
case,-0.7,-50.70422773592103,2.050858430943838e-06
case,-0.7,-50.613801250071404,1.986765375414076e-06
case,-0.7,-50.5235482602633,1.914260315614435e-06
case,-0.7,-50.43346754901757,1.8342438485851553e-06
case,-0.7,-50.34355791212937,1.7477246437526145e-06
case,-0.7,-50.253818158465634,1.6558029271287024e-06
case,-0.7,-50.16424710976652,1.5596527840102308e-06
case,-0.7,-50.07484360045067,1.4605035842314917e-06
case,-0.7,-49.985606477424184,1.3596208414202247e-06
case,-0.7,-49.89653459989347,1.2582868195802835e-06
case,-0.7,-49.80762683918137,1.1577811968281747e-06
case,-0.7,-49.71888207854712,1.0593620874954285e-06
case,-0.7,-49.63029921300947,9.6424771041044e-07
case,-0.7,-49.54187714917329,8.73598973402408e-07
case,-0.7,-49.45361480505946,7.885032223993646e-07
case,-0.7,-49.36551110993778,7.099593784449609e-07
case,-0.7,-49.277565004163215,6.388646580945218e-07
case,-0.7,-49.18977543901511,5.760030425536574e-07
case,-0.7,-49.10214137653926,5.220356291876977e-07
case,-0.7,-49.01466178939312,4.774929662520522e-07
case,-0.7,-48.92733566069365,4.427694384553464e-07
case,-0.7,-48.840161983868065,4.1811973783021557e-07
case,-0.7,-48.753139762507345,4.036574218817137e-07
case,-0.7,-48.666268010222204,3.9935552960311894e-07
case,-0.7,-48.57954575050194,4.050491961416336e-07
case,-0.7,-48.49297201657554,4.2044017906103273e-07
case,-0.7,-48.406545851275546,4.451031836305333e-07
case,-0.7,-48.320266306904145,4.78493851659736e-07
case,-0.7,-48.23413244510175,5.19958258332461e-07
case,-0.7,-48.14814333671792,5.68743744445241e-07
case,-0.7,-48.06229806168447,6.240108975510358e-07
case,-0.7,-47.9765957088909,6.848464848131415e-07
case,-0.7,-47.89103537606197,7.502771329046764e-07
