kind,lambda_nm,monitor,order_m,power_raw,state_air,state_substrate,u1
transmission,445.99999999999994,transmission_monitor,6,0.18376367472633212,PROPAGATING,PROPAGATING,0.8554651879890719
reflection,445.99999999999994,reflection_monitor,-2,0.03258306174809761,EVANESCENT,PROPAGATING,-0.8379783298960078
reflection,445.99999999999994,reflection_monitor,-1,0.11376481668732662,PROPAGATING,PROPAGATING,-0.6582524200965749
reflection,445.99999999999994,reflection_monitor,0,0.014678845143886475,PROPAGATING,PROPAGATING,-0.478526510297142
reflection,445.99999999999994,reflection_monitor,1,0.14114595948590777,PROPAGATING,PROPAGATING,-0.298800600497709
reflection,445.99999999999994,reflection_monitor,2,0.0743923715869561,PROPAGATING,PROPAGATING,-0.11907469069827606
reflection,445.99999999999994,reflection_monitor,3,0.03996113447951509,PROPAGATING,PROPAGATING,0.06065121910115692
reflection,445.99999999999994,reflection_monitor,4,0.013792401011443436,PROPAGATING,PROPAGATING,0.24037712890058985
reflection,445.99999999999994,reflection_monitor,5,0.11561138322162452,PROPAGATING,PROPAGATING,0.4201030387000229
reflection,445.99999999999994,reflection_monitor,6,0.22552774377857102,PROPAGATING,PROPAGATING,0.5998289484994558
reflection,445.99999999999994,reflection_monitor,7,0.06203400537361549,EVANESCENT,PROPAGATING,0.7795548582988887
reflection,445.99999999999994,reflection_monitor,8,0.16650827748305583,EVANESCENT,PROPAGATING,0.9592807680983217
transmission,446.99999999999994,transmission_monitor,-1,0.16744483823242573,PROPAGATING,PROPAGATING,-0.9408925906987521
transmission,446.99999999999994,transmission_monitor,0,0.11044194669248987,PROPAGATING,PROPAGATING,-0.6839960389746141
transmission,446.99999999999994,transmission_monitor,1,0.18784921573098656,PROPAGATING,PROPAGATING,-0.4270994872504763
transmission,446.99999999999994,transmission_monitor,2,0.19893010690877408,PROPAGATING,PROPAGATING,-0.1702029355263384
transmission,446.99999999999994,transmission_monitor,3,0.054528672789059075,PROPAGATING,PROPAGATING,0.08669361619779954
transmission,446.99999999999994,transmission_monitor,4,0.06903108180359599,PROPAGATING,PROPAGATING,0.3435901679219374
transmission,446.99999999999994,transmission_monitor,5,0.02484035711330556,PROPAGATING,PROPAGATING,0.6004867196460754
transmission,446.99999999999994,transmission_monitor,6,0.1869337807293631,PROPAGATING,PROPAGATING,0.8573832713702133
