lambda_nm,nearest_any_medium_order,nearest_any_medium,min_distance_to_cutoff,nearest_air_order,nearest_air_distance,nearest_substrate_order,nearest_substrate_distance,nearest_air_state,nearest_substrate_state
445,-3,substrate,0.037667464296674114,-1,0.06331721955045921,-3,0.037667464296674114,PROPAGATING,EVANESCENT
446,-3,substrate,0.03775211028385783,-1,0.0612123144258534,-3,0.03775211028385783,PROPAGATING,EVANESCENT
447,-3,substrate,0.037836756271041105,-1,0.059107409301247804,-3,0.037836756271041105,PROPAGATING,EVANESCENT
448,-3,substrate,0.037921402258225045,-1,0.05700250417664221,-3,0.037921402258225045,PROPAGATING,EVANESCENT
449,-3,substrate,0.03800604824540832,-1,0.054897599052036394,-3,0.03800604824540832,PROPAGATING,EVANESCENT
450,-3,substrate,0.03809069423259204,-1,0.05279269392743058,-3,0.03809069423259204,PROPAGATING,EVANESCENT
451,-3,substrate,0.03817534021977487,-1,0.05068778880282476,-3,0.03817534021977487,PROPAGATING,EVANESCENT
452,-3,substrate,0.03825998620695881,-1,0.04858288367821917,-3,0.03825998620695881,PROPAGATING,EVANESCENT
453,-3,substrate,0.038344632194142525,-1,0.046477978553613686,-3,0.038344632194142525,PROPAGATING,EVANESCENT
454,-3,substrate,0.03842927818132602,-1,0.04437307342900776,-3,0.03842927818132602,PROPAGATING,EVANESCENT
455,-3,substrate,0.03851392416850952,-1,0.042268168304402165,-3,0.03851392416850952,PROPAGATING,EVANESCENT
