node,u_x,nearest_lambda_nm,nearest_order_m,nearest_medium,nearest_distance_to_cutoff,min_kz_proxy,hf_max_abs_closure,hf_mean_closure,hf_source_available
plus_0.22413793103448276_S,0.22413793103448276,455.0,-5,air,0.015781897228128505,0.17695967386989003,0.0033364261140408358,0.0021734032589973266,True
plus_0.37868939998860307_P,0.37868939998860307,445.0,-6,air,0.00033773624788779877,0.543995108277011,0.003561468566444681,0.0032043888523977508,True
plus_0.37868939998860307_S,0.37868939998860307,445.0,-6,air,0.00033773624788779877,0.543995108277011,0.002974215979772654,0.0015808511423354558,True
minus_0.37868939998860307,-0.37868939998860307,445.0,6,air,0.00033773624788779877,0.543995108277011,,,False
minus_0.9549788465408765,-0.9549788465408765,455.0,9,air,0.023828341160394784,0.2169997522540829,,,False
